,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
4755,65377.0,LTI,20210412,4380.0,4389.0,4124.15,4257.75,294617.0,1250792666.05,33497.0,-,0,4257.75,4257.75,4257.75,4257.75,0
5121,71133.0,LTI,20210413,4270.0,4323.15,4065.0,4108.25,335455.0,1392281507.3,39518.0,DOWN,-3.51,4183.0,4183.0,4183.0,4183.0,0
5796,81656.0,LTI,20210415,4110.0,4111.6,3962.2,4045.2,265495.0,1068684985.0,34789.0,DOWN,-1.53,4137.066666666667,4137.066666666667,4137.066666666667,4137.066666666667,0
6182,86428.0,LTI,20210416,4095.0,4175.0,4052.3,4089.9,307827.0,1267749726.3,31307.0,UP,1.11,4125.275,4125.275,4125.275,4125.275,0
6728,103194.0,LTI,20210419,4060.0,4090.0,3962.3,4063.35,174917.0,707015842.65,20608.0,DOWN,-0.65,4112.89,4112.89,4112.89,4112.89,0
7359,107529.0,LTI,20210420,4065.1,4120.0,3915.1,3969.25,269477.0,1077092153.65,37217.0,DOWN,-2.32,4088.9500000000003,4088.9500000000003,4088.9500000000003,4088.9500000000003,0
7840,118555.0,LTI,20210422,3986.0,3999.0,3883.0,3915.25,202748.0,800138259.05,28030.0,DOWN,-1.36,4064.1357142857146,4064.1357142857146,4064.1357142857146,4064.1357142857146,0
8049,124791.0,LTI,20210423,3918.0,3990.0,3850.0,3901.05,184712.0,727150204.85,28026.0,DOWN,-0.36,4043.75,4043.75,4043.75,4043.75,0
8628,142078.0,LTI,20210426,3961.35,3995.95,3901.0,3934.05,152758.0,603214815.1,18397.0,UP,0.85,4031.5611111111116,4031.5611111111116,4031.5611111111116,4031.5611111111116,0
8846,146867.0,LTI,20210427,3965.0,3965.0,3901.0,3909.7,156767.0,614756652.05,25857.0,DOWN,-0.62,4019.375,4019.375,4019.375,4019.375,0
9524,152614.0,LTI,20210428,3930.0,3947.45,3834.15,3890.85,297881.0,1155139431.5,35127.0,DOWN,-0.48,4007.690909090909,4007.690909090909,4007.690909090909,4007.690909090909,0
10019,158838.0,LTI,20210429,3940.8,3940.8,3830.0,3851.0,257788.0,995015328.25,33691.0,DOWN,-1.02,3994.633333333333,3994.633333333333,3994.633333333333,3994.633333333333,0
10332,164599.0,LTI,20210430,3840.0,3929.7,3831.0,3890.25,303588.0,1181659508.45,43682.0,UP,1.02,3986.603846153846,3986.603846153846,3986.603846153846,3986.603846153846,0
10952,16563.0,LTI,20210503,3903.0,3940.0,3850.0,3923.6,178549.0,697747970.35,18354.0,UP,0.86,3982.1035714285713,3982.1035714285713,3982.1035714285713,3982.1035714285713,0
11222,22283.0,LTI,20210504,3941.0,3943.95,3835.0,3846.4,249163.0,962946635.85,29163.0,DOWN,-1.97,3952.7214285714285,3973.0566666666664,3973.0566666666664,3973.0566666666664,WILL_CROSS_1
11642,27531.0,LTI,20210505,3903.35,3964.95,3810.3,3915.15,390169.0,1518415438.65,42914.0,UP,1.79,3938.9285714285716,3969.4375,3969.4375,3969.4375,WILL_CROSS_1
12442,33287.0,LTI,20210506,3905.0,3905.0,3794.95,3812.35,517358.0,1974534183.8,65830.0,DOWN,-2.63,3922.296428571429,3960.19705882353,3960.19705882353,3960.19705882353,WILL_CROSS_1
12650,40493.0,LTI,20210507,3864.9,3864.9,3752.0,3768.6,269501.0,1020132612.1,46636.0,DOWN,-1.15,3899.3464285714285,3949.5527777777775,3949.5527777777775,3949.5527777777775,WILL_CROSS_1
13437,58670.0,LTI,20210510,3798.0,3798.0,3633.8,3665.45,680722.0,2500641536.6,99373.0,DOWN,-2.74,3870.925,3934.6,3934.6,3934.6,WILL_CROSS_1
13552,63969.0,LTI,20210511,3645.45,3654.85,3588.7,3618.85,612773.0,2211539129.25,70967.0,DOWN,-1.27,3845.8964285714287,3918.8125,3918.8125,3918.8125,WILL_CROSS_1
14191,68728.0,LTI,20210512,3618.0,3693.0,3615.0,3662.0,307626.0,1127978418.85,35645.0,UP,1.19,3827.807142857143,3906.5833333333335,3906.5833333333335,3906.5833333333335,WILL_CROSS_1
14792,80249.0,LTI,20210514,3698.0,3699.9,3592.0,3598.35,256284.0,926294536.15,43544.0,DOWN,-1.74,3806.1857142857143,3875.1833333333334,3892.5727272727277,3892.5727272727277,WILL_CROSS_1
14872,96002.0,LTI,20210517,3600.0,3600.0,3525.0,3583.65,371290.0,1323752854.1,58912.0,DOWN,-0.41,3781.157142857143,3850.2023809523807,3879.141304347826,3879.141304347826,WILL_CROSS_1
15411,101282.0,LTI,20210518,3625.0,3656.85,3588.0,3635.4,655849.0,2369461953.95,53197.0,UP,1.44,3761.5642857142857,3830.6880952380952,3868.9854166666664,3868.9854166666664,WILL_CROSS_1
15874,106094.0,LTI,20210519,3670.0,3760.9,3651.05,3747.7,718564.0,2680510528.0,65441.0,UP,3.09,3751.339285714286,3814.3928571428573,3864.134,3864.134,WILL_CROSS_1
16591,111362.0,LTI,20210520,3753.9,3766.45,3656.05,3673.75,360209.0,1325787092.05,32321.0,DOWN,-1.97,3738.6785714285716,3795.8404761904767,3856.8115384615385,3856.8115384615385,WILL_CROSS_1
17005,117153.0,LTI,20210521,3702.0,3702.4,3635.1,3655.65,259149.0,948967473.25,31462.0,DOWN,-0.49,3721.921428571429,3780.907142857143,3849.3611111111113,3849.3611111111113,WILL_CROSS_1
17588,134381.0,LTI,20210524,3685.0,3695.0,3643.0,3664.25,169770.0,622568508.0,19397.0,UP,0.24,3703.3964285714287,3768.954761904762,3842.75,3842.75,WILL_CROSS_1
17733,140162.0,LTI,20210525,3688.0,3744.0,3665.0,3707.5,317127.0,1176529565.6,35490.0,UP,1.18,3693.475,3759.7380952380954,3838.0862068965516,3838.0862068965516,WILL_CROSS_1
18245,144950.0,LTI,20210526,3730.0,3818.0,3689.0,3799.85,364653.0,1374752786.35,35202.0,UP,2.49,3685.2392857142854,3753.347619047619,3836.811666666667,3836.811666666667,WILL_CROSS_1
18985,150709.0,LTI,20210527,3818.8,3938.0,3801.0,3924.3,788685.0,3059433879.3,59913.0,UP,3.28,3693.2357142857145,3754.042857142857,3839.6338709677416,3839.6338709677416,WILL_CROSS_1
19154,157432.0,LTI,20210528,3960.0,3994.9,3912.95,3930.45,464949.0,1841113944.45,36469.0,UP,0.16,3704.796428571429,3755.9285714285716,3842.471875,3842.471875,WILL_CROSS_1
19864,172696.0,LTI,20210531,3969.0,3970.0,3911.1,3942.4,186099.0,734792308.1,21063.0,UP,0.3,3724.578571428571,3760.280952380952,3845.5,3845.5,WILL_CROSS_1
20005,4092.0,LTI,20210601,3956.0,3965.0,3856.8,3890.65,180333.0,701298130.35,22153.0,DOWN,-1.31,3743.9928571428572,3760.2999999999993,3846.8279411764706,3846.8279411764706,WILL_CROSS_1
20720,9326.0,LTI,20210602,3847.95,3850.0,3770.0,3838.45,383860.0,1461657804.75,35258.0,DOWN,-1.34,3756.5964285714285,3756.2452380952386,3846.5885714285714,3846.5885714285714,WILL_CROSS_1
20980,15108.0,LTI,20210603,3881.1,3881.1,3812.0,3837.5,199548.0,765701492.0,17614.0,DOWN,-0.02,3773.6785714285716,3755.8214285714284,3846.336111111111,3846.336111111111,WILL_CROSS_1
21655,21327.0,LTI,20210604,3849.0,3879.6,3830.0,3856.6,170587.0,658438323.15,20053.0,UP,0.5,3793.1749999999997,3753.0333333333333,3846.6135135135137,3846.6135135135137,WILL_CROSS_1
22039,39036.0,LTI,20210607,3851.25,3907.1,3808.95,3889.8,149995.0,579974337.2,16028.0,UP,0.86,3811.3464285714285,3756.721428571428,3847.75,3847.75,WILL_CROSS_1
22500,45760.0,LTI,20210608,3890.0,4047.1,3784.15,4001.2,662186.0,2636205506.95,49500.0,UP,2.86,3829.453571428571,3767.7976190476193,3851.684615384616,3851.684615384616,WILL_CROSS_1
23055,51443.0,LTI,20210609,4020.05,4045.0,3905.05,3936.5,391867.0,1561124352.4,35386.0,DOWN,-1.62,3848.2214285714285,3780.704761904762,3853.8050000000003,3853.8050000000003,WILL_CROSS_1
23456,57219.0,LTI,20210610,3946.0,4042.0,3928.8,4034.85,290365.0,1163132386.85,29244.0,UP,2.5,3875.307142857143,3800.514285714286,3858.2207317073166,3858.2207317073166,CROSSED_2
23879,63018.0,LTI,20210611,4050.0,4210.0,4040.0,4173.85,651592.0,2688398162.3,50771.0,UP,3.44,3911.707142857143,3824.888095238095,3865.735714285714,3865.735714285714,CROSSED_2
24417,78798.0,LTI,20210614,4215.0,4229.0,4125.65,4167.3,420066.0,1762790363.5,31941.0,DOWN,-0.16,3944.5499999999997,3851.9809523809517,3872.7488372093026,3872.7488372093026,CROSSED_2
24697,84032.0,LTI,20210615,4167.5,4201.0,4112.0,4153.35,308870.0,1285701352.5,30543.0,DOWN,-0.33,3969.8,3879.109523809524,3879.1261363636363,3879.1261363636363,CROSSED_2
25468,89260.0,LTI,20210616,4153.35,4247.85,4125.0,4209.5,505404.0,2124314258.8,37237.0,UP,1.35,3990.171428571429,3906.4476190476194,3886.4677777777774,3886.4677777777774,CROSSED_2
25822,94551.0,LTI,20210617,4199.0,4216.0,4134.4,4170.2,297058.0,1240564601.2,23527.0,DOWN,-0.93,4007.296428571429,3926.5666666666666,3892.6358695652175,3892.6358695652175,CROSSED_2
26391,100822.0,LTI,20210618,4200.0,4233.75,4000.15,4072.5,463743.0,1895877768.25,50319.0,DOWN,-2.34,4016.589285714286,3945.5547619047616,3896.4627659574467,3896.4627659574467,CROSSED_2
26487,115702.0,LTI,20210621,4052.1,4092.9,4008.0,4078.85,108975.0,441501830.7,16802.0,UP,0.16,4030.032142857143,3965.707142857143,3900.2625000000003,3900.2625000000003,CROSSED_2
27028,121927.0,LTI,20210622,4079.8,4144.0,4052.0,4110.8,181327.0,746115016.85,21103.0,UP,0.78,4049.4857142857145,3986.971428571428,3904.5591836734693,3904.5591836734693,CROSSED_2
