,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
4756,65378.0,LTTS,20210412,2909.85,2909.85,2737.0,2838.7,450892.0,1270121372.9,35769.0,-,0,2838.7,2838.7,2838.7,2838.7,0
5120,71134.0,LTTS,20210413,2828.7,2880.6,2673.15,2689.35,452777.0,1234463767.85,35962.0,DOWN,-5.26,2764.0249999999996,2764.0249999999996,2764.0249999999996,2764.0249999999996,0
5797,81657.0,LTTS,20210415,2703.5,2787.65,2643.85,2756.85,441352.0,1203133154.25,34449.0,UP,2.51,2761.633333333333,2761.633333333333,2761.633333333333,2761.633333333333,0
6181,86429.0,LTTS,20210416,2759.6,2784.85,2711.0,2725.55,236366.0,649511981.5,19555.0,DOWN,-1.14,2752.6125,2752.6125,2752.6125,2752.6125,0
6729,103195.0,LTTS,20210419,2680.0,2784.0,2655.0,2686.95,368259.0,1001420203.85,29964.0,DOWN,-1.42,2739.48,2739.48,2739.48,2739.48,0
7360,107530.0,LTTS,20210420,2690.95,2748.9,2595.0,2608.65,442373.0,1167016113.8,34810.0,DOWN,-2.91,2717.6749999999997,2717.6749999999997,2717.6749999999997,2717.6749999999997,0
7839,118556.0,LTTS,20210422,2590.0,2642.45,2546.5,2551.7,404082.0,1043260314.95,26726.0,DOWN,-2.18,2693.964285714286,2693.964285714286,2693.964285714286,2693.964285714286,0
8050,124792.0,LTTS,20210423,2553.0,2666.0,2543.05,2642.7,497800.0,1311401676.2,35295.0,UP,3.57,2687.55625,2687.55625,2687.55625,2687.55625,0
8629,142079.0,LTTS,20210426,2660.0,2685.0,2606.95,2620.9,178170.0,469927261.6,14495.0,DOWN,-0.82,2680.1499999999996,2680.1499999999996,2680.1499999999996,2680.1499999999996,0
8847,146868.0,LTTS,20210427,2620.5,2628.95,2583.55,2592.65,221458.0,576406486.9,23710.0,DOWN,-1.08,2671.4,2671.4,2671.4,2671.4,0
9523,152615.0,LTTS,20210428,2607.0,2665.0,2607.0,2624.4,207582.0,547586108.75,12170.0,UP,1.22,2667.127272727273,2667.127272727273,2667.127272727273,2667.127272727273,0
10020,158839.0,LTTS,20210429,2640.0,2665.0,2611.0,2628.15,146831.0,386930511.1,11066.0,UP,0.14,2663.8791666666666,2663.8791666666666,2663.8791666666666,2663.8791666666666,0
10331,164600.0,LTTS,20210430,2611.0,2766.7,2605.65,2728.9,562025.0,1526107700.3,33250.0,UP,3.83,2668.880769230769,2668.880769230769,2668.880769230769,2668.880769230769,0
10951,16564.0,LTTS,20210503,2730.0,2820.0,2640.0,2797.4,572400.0,1593177875.2,34696.0,UP,2.51,2678.0607142857143,2678.0607142857143,2678.0607142857143,2678.0607142857143,0
11223,22284.0,LTTS,20210504,2690.0,2690.0,2557.8,2575.5,1559787.0,4046611728.15,103875.0,DOWN,-7.93,2659.2607142857146,2671.2233333333334,2671.2233333333334,2671.2233333333334,WILL_CROSS_1
11641,27532.0,LTTS,20210505,2602.0,2620.0,2560.0,2567.85,351009.0,907165870.7,23188.0,DOWN,-0.3,2650.5821428571426,2664.7625,2664.7625,2664.7625,WILL_CROSS_1
12441,33288.0,LTTS,20210506,2588.0,2592.0,2485.0,2549.15,612140.0,1546526018.15,45872.0,DOWN,-0.73,2635.746428571428,2657.961764705882,2657.961764705882,2657.961764705882,WILL_CROSS_1
12651,40494.0,LTTS,20210507,2555.5,2575.0,2510.3,2521.4,215711.0,547768850.45,19463.0,DOWN,-1.09,2621.164285714286,2650.375,2650.375,2650.375,WILL_CROSS_1
13436,58671.0,LTTS,20210510,2533.0,2533.0,2492.1,2505.85,336123.0,842413295.65,28752.0,DOWN,-0.62,2608.2285714285713,2642.7684210526313,2642.7684210526313,2642.7684210526313,WILL_CROSS_1
13551,63970.0,LTTS,20210511,2500.0,2585.0,2476.05,2530.45,448830.0,1139057154.25,38230.0,UP,0.98,2602.6428571428573,2637.1525,2637.1525,2637.1525,WILL_CROSS_1
14192,68729.0,LTTS,20210512,2528.2,2599.0,2528.0,2538.5,322548.0,825751037.55,25108.0,UP,0.32,2601.7000000000003,2632.454761904762,2632.454761904762,2632.454761904762,WILL_CROSS_1
14793,80250.0,LTTS,20210514,2550.0,2583.0,2531.55,2539.55,138909.0,354273895.65,12765.0,UP,0.04,2594.332142857143,2618.209523809524,2628.231818181818,2628.231818181818,WILL_CROSS_1
14871,96003.0,LTTS,20210517,2572.0,2579.95,2517.25,2566.65,142850.0,365187219.55,10705.0,UP,1.07,2590.457142857143,2612.3666666666663,2625.554347826087,2625.554347826087,WILL_CROSS_1
15410,101283.0,LTTS,20210518,2584.0,2650.95,2560.0,2640.4,316147.0,827591051.75,20089.0,UP,2.87,2593.8678571428572,2606.8214285714284,2626.172916666667,2626.172916666667,WILL_CROSS_1
15873,106095.0,LTTS,20210519,2645.0,2669.7,2630.95,2638.25,155644.0,412018262.6,13595.0,DOWN,-0.08,2594.8571428571427,2602.664285714286,2626.656,2626.656,WILL_CROSS_1
16592,111363.0,LTTS,20210520,2635.4,2664.0,2599.2,2610.8,97601.0,256005991.85,7542.0,DOWN,-1.04,2593.617857142857,2599.038095238095,2626.0461538461536,2626.0461538461536,WILL_CROSS_1
17006,117154.0,LTTS,20210521,2627.2,2654.65,2610.25,2624.25,131585.0,346639534.15,10307.0,UP,0.52,2586.1428571428573,2599.780952380952,2625.9796296296295,2625.9796296296295,WILL_CROSS_1
17589,134382.0,LTTS,20210524,2640.0,2648.0,2585.0,2588.1,122409.0,319444990.3,8632.0,DOWN,-1.38,2571.1928571428575,2601.514285714286,2624.6267857142857,2624.6267857142857,WILL_CROSS_1
17732,140163.0,LTTS,20210525,2600.2,2631.0,2592.5,2616.9,183201.0,479264298.0,18852.0,UP,1.11,2574.15,2600.285714285714,2624.3603448275862,2624.3603448275862,WILL_CROSS_1
18244,144951.0,LTTS,20210526,2630.0,2715.0,2610.65,2704.15,364185.0,975273632.85,23852.0,UP,3.33,2583.8857142857146,2604.25,2627.02,2627.02,WILL_CROSS_1
18986,150710.0,LTTS,20210527,2714.0,2751.95,2678.45,2725.45,343826.0,935834721.65,21248.0,UP,0.79,2596.4785714285717,2610.57380952381,2630.1951612903226,2630.1951612903226,WILL_CROSS_1
19141,157433.0,LTTS,20210528,2735.0,2747.9,2694.0,2705.25,98747.0,267925980.45,9616.0,DOWN,-0.74,2609.6107142857145,2614.4238095238097,2632.540625,2632.540625,WILL_CROSS_1
19865,172697.0,LTTS,20210531,2705.0,2743.65,2696.4,2710.85,121822.0,331490834.2,10026.0,UP,0.21,2624.253571428572,2618.3619047619045,2634.913636363636,2634.913636363636,WILL_CROSS_1
20004,4093.0,LTTS,20210601,2712.0,2730.9,2676.0,2687.0,101899.0,274717659.25,10663.0,DOWN,-0.88,2635.4357142857143,2616.366666666667,2636.445588235294,2636.445588235294,WILL_CROSS_1
20721,9327.0,LTTS,20210602,2699.0,2704.15,2649.35,2668.6,129201.0,345039238.8,10198.0,DOWN,-0.68,2644.7285714285713,2610.2333333333336,2637.364285714286,2637.364285714286,CROSSED_2
20981,15109.0,LTTS,20210603,2667.0,2709.75,2667.0,2701.65,145050.0,390838861.65,10372.0,UP,1.24,2656.307142857143,2616.2404761904763,2639.1499999999996,2639.1499999999996,CROSSED_2
21654,21328.0,LTTS,20210604,2704.0,2779.5,2688.0,2720.9,432106.0,1188551828.0,21411.0,UP,0.71,2667.3250000000003,2623.528571428572,2641.3594594594597,2641.3594594594597,CROSSED_2
22038,39037.0,LTTS,20210607,2730.0,2805.0,2730.0,2776.95,447386.0,1243748873.1,26633.0,UP,2.06,2677.078571428571,2634.3761904761905,2644.9276315789475,2644.9276315789475,CROSSED_2
