,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
4757,65379.0,LUPIN,20210412,1078.0,1099.95,1036.0,1045.15,3872497.0,4151082521.5,74629.0,-,0,1045.15,1045.15,1045.15,1045.15,0
5119,71135.0,LUPIN,20210413,1050.0,1058.7,1022.1,1036.0,1528367.0,1587976536.35,32263.0,DOWN,-0.88,1040.575,1040.575,1040.575,1040.575,0
5798,81658.0,LUPIN,20210415,1020.25,1056.75,1020.05,1050.05,1780723.0,1860045721.2,35910.0,UP,1.36,1043.7333333333333,1043.7333333333333,1043.7333333333333,1043.7333333333333,0
6180,86430.0,LUPIN,20210416,1054.0,1069.15,1043.5,1055.85,1745500.0,1845960656.35,36355.0,UP,0.55,1046.7625,1046.7625,1046.7625,1046.7625,0
6730,103196.0,LUPIN,20210419,1045.0,1072.75,1028.7,1064.65,2241444.0,2360045237.85,67312.0,UP,0.83,1050.34,1050.34,1050.34,1050.34,0
7361,107531.0,LUPIN,20210420,1076.0,1099.0,1063.15,1089.8,3814733.0,4130666831.45,76672.0,UP,2.36,1056.9166666666667,1056.9166666666667,1056.9166666666667,1056.9166666666667,0
7838,118557.0,LUPIN,20210422,1100.0,1106.9,1057.0,1060.75,5134587.0,5557512338.15,106858.0,DOWN,-2.67,1057.4642857142858,1057.4642857142858,1057.4642857142858,1057.4642857142858,0
8051,124793.0,LUPIN,20210423,1046.0,1083.6,1036.6,1076.25,4659292.0,4947010302.35,82413.0,UP,1.46,1059.8125,1059.8125,1059.8125,1059.8125,0
8630,142080.0,LUPIN,20210426,1074.95,1080.9,1056.65,1062.55,2024621.0,2163828684.65,35025.0,DOWN,-1.27,1060.1166666666666,1060.1166666666666,1060.1166666666666,1060.1166666666666,0
8848,146869.0,LUPIN,20210427,1068.0,1072.95,1051.1,1066.55,1349263.0,1434309927.6,37191.0,UP,0.38,1060.76,1060.76,1060.76,1060.76,0
9522,152616.0,LUPIN,20210428,1070.0,1074.55,1051.1,1054.75,1483859.0,1575031605.0,28159.0,DOWN,-1.11,1060.2136363636364,1060.2136363636364,1060.2136363636364,1060.2136363636364,0
10021,158840.0,LUPIN,20210429,1060.0,1064.9,1049.2,1055.5,1468236.0,1553571449.7,28620.0,UP,0.07,1059.8208333333334,1059.8208333333334,1059.8208333333334,1059.8208333333334,0
10330,164601.0,LUPIN,20210430,1045.0,1082.9,1045.0,1069.5,1822879.0,1950093219.6,35359.0,UP,1.33,1060.5653846153846,1060.5653846153846,1060.5653846153846,1060.5653846153846,0
10950,16565.0,LUPIN,20210503,1068.0,1082.9,1060.35,1072.85,1472210.0,1576450555.45,24793.0,UP,0.31,1061.4428571428573,1061.4428571428573,1061.4428571428573,1061.4428571428573,0
11224,22285.0,LUPIN,20210504,1077.85,1077.85,1049.5,1057.95,1639164.0,1744137482.2,30319.0,DOWN,-1.39,1062.357142857143,1061.21,1061.21,1061.21,CROSSED_2
11640,27533.0,LUPIN,20210505,1078.1,1209.0,1068.95,1200.5,26466899.0,30778094872.35,548467.0,UP,13.47,1074.107142857143,1069.915625,1069.915625,1069.915625,CROSSED_2
12440,33289.0,LUPIN,20210506,1209.9,1219.2,1170.5,1198.3,9044946.0,10789914206.3,180311.0,DOWN,-0.18,1084.6964285714287,1077.4676470588236,1077.4676470588236,1077.4676470588236,CROSSED_2
12652,40495.0,LUPIN,20210507,1194.9,1241.0,1190.0,1196.55,6631281.0,8045459428.6,141997.0,DOWN,-0.15,1094.7464285714286,1084.0833333333333,1084.0833333333333,1084.0833333333333,CROSSED_2
13435,58672.0,LUPIN,20210510,1229.0,1241.55,1205.5,1222.55,4876282.0,5985049873.3,93229.0,UP,2.17,1106.0249999999999,1091.371052631579,1091.371052631579,1091.371052631579,CROSSED_2
13550,63971.0,LUPIN,20210511,1219.9,1246.8,1193.0,1197.35,3814186.0,4635849977.9,79833.0,DOWN,-2.06,1113.7071428571428,1096.67,1096.67,1096.67,CROSSED_2
14193,68730.0,LUPIN,20210512,1211.95,1226.6,1193.4,1212.25,3613876.0,4377515387.5,68223.0,UP,1.24,1124.5285714285715,1102.1738095238095,1102.1738095238095,1102.1738095238095,CROSSED_2
14794,80251.0,LUPIN,20210514,1210.0,1233.8,1166.0,1178.45,5406128.0,6436723855.05,118330.0,DOWN,-2.79,1131.8285714285714,1108.5214285714285,1105.640909090909,1105.640909090909,CROSSED_2
14870,96004.0,LUPIN,20210517,1194.0,1194.0,1170.0,1189.15,2610218.0,3085147101.05,63581.0,UP,0.91,1140.8714285714286,1115.8142857142857,1109.2717391304348,1109.2717391304348,CROSSED_2
15409,101284.0,LUPIN,20210518,1196.0,1201.0,1182.05,1186.9,1888387.0,2244225639.05,40013.0,DOWN,-0.19,1149.4678571428572,1122.3309523809523,1112.5062500000001,1112.5062500000001,CROSSED_2
15872,106096.0,LUPIN,20210519,1189.9,1219.35,1185.5,1206.85,2944046.0,3544878803.65,53397.0,UP,1.68,1160.3321428571428,1129.5214285714287,1116.28,1116.28,CROSSED_2
16593,111364.0,LUPIN,20210520,1217.7,1220.0,1197.45,1204.3,1837382.0,2223736930.15,37310.0,DOWN,-0.21,1170.9607142857144,1136.1714285714286,1119.6653846153845,1119.6653846153845,CROSSED_2
17007,117155.0,LUPIN,20210521,1210.6,1217.9,1205.5,1214.55,1248152.0,1513781311.35,24423.0,UP,0.85,1181.3214285714287,1142.1119047619047,1123.1796296296295,1123.1796296296295,CROSSED_2
17590,134383.0,LUPIN,20210524,1214.6,1237.6,1195.6,1198.8,3053876.0,3705410746.0,80091.0,DOWN,-1.3,1190.3178571428573,1148.6857142857143,1125.8803571428573,1125.8803571428573,CROSSED_2
17731,140164.0,LUPIN,20210525,1209.7,1217.9,1191.1,1211.05,1714228.0,2064420511.2,34992.0,UP,1.02,1201.2535714285714,1155.104761904762,1128.8172413793104,1128.8172413793104,CROSSED_2
18243,144952.0,LUPIN,20210526,1218.6,1219.35,1193.3,1195.95,1187994.0,1431642428.55,26698.0,DOWN,-1.25,1200.9285714285713,1161.4571428571428,1131.055,1131.055,CROSSED_2
18987,150711.0,LUPIN,20210527,1203.9,1206.95,1188.0,1203.35,2727038.0,3273658131.5,40860.0,UP,0.62,1201.2892857142856,1167.9714285714285,1133.3870967741937,1133.3870967741937,CROSSED_2
19142,157434.0,LUPIN,20210528,1203.35,1211.7,1190.55,1208.9,1128334.0,1355020637.9,25756.0,UP,0.46,1202.1714285714286,1175.311904761905,1135.746875,1135.746875,CROSSED_2
19866,172698.0,LUPIN,20210531,1208.0,1224.9,1194.55,1219.5,1983470.0,2409247488.5,55725.0,UP,0.88,1201.9535714285714,1183.1214285714286,1138.2848484848485,1138.2848484848485,CROSSED_2
20003,4094.0,LUPIN,20210601,1221.0,1224.9,1200.0,1209.2,1062305.0,1285437842.2,32311.0,DOWN,-0.84,1202.8,1189.7738095238096,1140.370588235294,1140.370588235294,CROSSED_2
20722,9328.0,LUPIN,20210602,1211.8,1267.65,1211.0,1247.25,7160455.0,8938738743.3,167095.0,UP,3.15,1205.3,1198.0785714285714,1143.4242857142856,1143.4242857142856,CROSSED_2
20982,15110.0,LUPIN,20210603,1254.85,1254.85,1226.5,1232.4,1723616.0,2133994873.15,39592.0,DOWN,-1.19,1209.1535714285712,1206.3857142857141,1145.8958333333333,1145.8958333333333,CROSSED_2
21653,21329.0,LUPIN,20210604,1243.5,1244.0,1223.0,1231.5,1507257.0,1860347446.15,32078.0,DOWN,-0.07,1212.1785714285713,1207.8619047619047,1148.2094594594594,1148.2094594594594,CROSSED_2
22037,39038.0,LUPIN,20210607,1231.95,1237.7,1223.15,1233.55,1039414.0,1280235395.65,30585.0,UP,0.17,1215.5107142857144,1209.540476190476,1150.4552631578947,1150.4552631578947,CROSSED_2
22502,45762.0,LUPIN,20210608,1234.9,1242.7,1218.4,1236.4,1034753.0,1275054475.85,20951.0,UP,0.23,1217.6214285714286,1211.4380952380952,1152.6589743589743,1152.6589743589743,CROSSED_2
23057,51445.0,LUPIN,20210609,1237.0,1258.8,1214.3,1219.85,2217064.0,2752255273.9,51548.0,DOWN,-1.34,1218.732142857143,1211.3095238095239,1154.3387500000001,1154.3387500000001,CROSSED_2
23458,57221.0,LUPIN,20210610,1221.0,1243.0,1221.0,1228.8,1049039.0,1295934411.15,21060.0,UP,0.73,1219.75,1212.807142857143,1156.1548780487803,1156.1548780487803,CROSSED_2
23881,63020.0,LUPIN,20210611,1230.0,1239.9,1225.0,1230.35,1161116.0,1429229328.0,27311.0,UP,0.13,1222.0035714285714,1213.6690476190477,1157.9214285714286,1157.9214285714286,CROSSED_2
24419,78800.0,LUPIN,20210614,1190.0,1205.5,1173.1,1192.65,2902671.0,3459948420.15,67997.0,DOWN,-3.06,1220.689285714286,1214.345238095238,1158.7290697674418,1158.7290697674418,CROSSED_2
24699,84034.0,LUPIN,20210615,1192.65,1199.85,1183.1,1186.45,1221666.0,1455065861.05,31547.0,DOWN,-0.52,1220.0107142857144,1214.2166666666667,1159.359090909091,1159.359090909091,CROSSED_2
25470,89262.0,LUPIN,20210616,1190.0,1193.2,1173.3,1176.85,940258.0,1112551135.5,25217.0,DOWN,-0.81,1218.1178571428572,1213.7380952380952,1159.7477777777779,1159.7477777777779,CROSSED_2
25824,94553.0,LUPIN,20210617,1171.0,1181.55,1153.0,1162.75,1287180.0,1505553241.65,29054.0,DOWN,-1.2,1214.8214285714287,1211.6380952380953,1159.8130434782609,1159.8130434782609,CROSSED_2
26389,100824.0,LUPIN,20210618,1165.0,1172.9,1141.1,1155.6,1379262.0,1596714788.9,31604.0,DOWN,-0.61,1210.2571428571428,1209.3190476190478,1159.723404255319,1159.723404255319,CROSSED_2
26485,115704.0,LUPIN,20210621,1150.0,1163.55,1137.6,1156.55,954168.0,1100064654.35,18204.0,UP,0.08,1206.4964285714286,1206.557142857143,1159.6572916666667,1159.6572916666667,CROSSED_2
27030,121929.0,LUPIN,20210622,1162.1,1165.9,1152.85,1158.95,889616.0,1031104944.45,16592.0,UP,0.21,1200.1892857142855,1204.659523809524,1159.642857142857,1159.642857142857,CROSSED_2
27581,127631.0,LUPIN,20210623,1161.0,1173.8,1151.5,1154.45,1244350.0,1447724179.4,23314.0,DOWN,-0.39,1194.6214285714286,1201.9642857142858,1159.539,1159.539,CROSSED_2
28031,132931.0,LUPIN,20210624,1154.45,1158.6,1131.35,1139.7,1157636.0,1322347089.0,27606.0,DOWN,-1.28,1188.064285714286,1199.2857142857142,1161.43,1159.15,CROSSED_2
