,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
4759,65381.0,LXCHEM,20210412,186.0,187.85,175.65,181.25,2826111.0,512715957.35,37309.0,-,0,181.25,181.25,181.25,181.25,0
5117,71137.0,LXCHEM,20210413,184.0,192.0,182.55,188.25,1869384.0,350437213.25,21922.0,UP,3.86,184.75,184.75,184.75,184.75,0
5800,81660.0,LXCHEM,20210415,190.5,195.6,183.55,191.6,2358127.0,448340852.05,28705.0,UP,1.78,187.03333333333333,187.03333333333333,187.03333333333333,187.03333333333333,0
6178,86432.0,LXCHEM,20210416,193.1,196.0,190.0,190.9,1664641.0,321767809.35,21657.0,DOWN,-0.37,188.0,188.0,188.0,188.0,0
6732,103198.0,LXCHEM,20210419,185.0,187.0,182.3,185.45,1217314.0,225165516.55,14587.0,DOWN,-2.85,187.49,187.49,187.49,187.49,0
7363,107533.0,LXCHEM,20210420,188.45,192.4,184.0,185.9,1085709.0,204465787.1,12656.0,UP,0.24,187.225,187.225,187.225,187.225,0
7836,118559.0,LXCHEM,20210422,184.95,186.75,181.25,182.05,1877354.0,343470649.65,52899.0,DOWN,-2.07,186.4857142857143,186.4857142857143,186.4857142857143,186.4857142857143,0
8053,124795.0,LXCHEM,20210423,181.8,184.2,178.2,179.2,1699072.0,308321072.2,38041.0,DOWN,-1.57,185.575,185.575,185.575,185.575,0
8632,142082.0,LXCHEM,20210426,181.0,193.6,178.45,191.45,3975987.0,744197389.55,48968.0,UP,6.84,186.22777777777776,186.22777777777776,186.22777777777776,186.22777777777776,0
8850,146871.0,LXCHEM,20210427,192.9,199.75,191.05,195.05,3198829.0,625471778.35,35163.0,UP,1.88,187.10999999999999,187.10999999999999,187.10999999999999,187.10999999999999,0
9520,152618.0,LXCHEM,20210428,196.6,214.4,196.05,210.05,10206205.0,2121595909.05,129476.0,UP,7.69,189.19545454545457,189.19545454545457,189.19545454545457,189.19545454545457,0
10023,158842.0,LXCHEM,20210429,212.0,217.9,208.25,209.6,3930863.0,835216620.5,47981.0,DOWN,-0.21,190.89583333333334,190.89583333333334,190.89583333333334,190.89583333333334,0
10328,164603.0,LXCHEM,20210430,206.0,215.0,204.5,207.85,2343085.0,491759162.5,26388.0,DOWN,-0.83,192.2,192.2,192.2,192.2,0
10948,16567.0,LXCHEM,20210503,205.4,214.85,205.05,212.05,2427377.0,514548391.5,33710.0,UP,2.02,193.61785714285716,193.61785714285716,193.61785714285716,193.61785714285716,0
11226,22287.0,LXCHEM,20210504,214.0,237.85,214.0,219.45,12347178.0,2815999382.7,163447.0,UP,3.49,196.34642857142856,195.34,195.34,195.34,CROSSED_2
11638,27535.0,LXCHEM,20210505,222.7,227.5,219.2,223.25,2918280.0,651677951.25,33345.0,UP,1.73,198.84642857142856,197.084375,197.084375,197.084375,CROSSED_2
12438,33291.0,LXCHEM,20210506,224.9,226.0,219.1,220.65,1393465.0,309022526.45,15137.0,DOWN,-1.16,200.92142857142858,198.47058823529412,198.47058823529412,198.47058823529412,CROSSED_2
12654,40497.0,LXCHEM,20210507,223.0,225.7,218.25,219.5,2054047.0,456151068.4,24663.0,DOWN,-0.52,202.96428571428572,199.63888888888889,199.63888888888889,199.63888888888889,CROSSED_2
13433,58674.0,LXCHEM,20210510,221.7,231.5,219.25,226.15,3030801.0,683560291.85,33897.0,UP,3.03,205.8714285714286,201.0342105263158,201.0342105263158,201.0342105263158,CROSSED_2
13548,63973.0,LXCHEM,20210511,224.0,233.7,223.2,227.8,3580372.0,822892133.5,37654.0,UP,0.73,208.8642857142857,202.3725,202.3725,202.3725,CROSSED_2
14195,68732.0,LXCHEM,20210512,228.7,229.6,220.95,222.5,1720426.0,388053675.3,23754.0,DOWN,-2.33,211.7535714285714,203.33095238095237,203.33095238095237,203.33095238095237,CROSSED_2
14796,80253.0,LXCHEM,20210514,224.4,226.95,218.05,219.0,1778998.0,394728720.15,22915.0,DOWN,-1.57,214.59642857142856,205.12857142857143,204.0431818181818,204.0431818181818,CROSSED_2
14868,96006.0,LXCHEM,20210517,221.9,222.5,216.0,217.8,1534784.0,337599978.45,18707.0,DOWN,-0.55,216.47857142857143,206.53571428571428,204.6413043478261,204.6413043478261,CROSSED_2
15407,101286.0,LXCHEM,20210518,218.1,223.5,218.0,219.95,1431495.0,315749893.1,17635.0,UP,0.99,218.25714285714284,207.88571428571427,205.27916666666667,205.27916666666667,CROSSED_2
15870,106098.0,LXCHEM,20210519,221.5,225.8,218.55,219.2,1894146.0,420128955.8,23804.0,DOWN,-0.34,218.91071428571428,209.23333333333332,205.83599999999998,205.83599999999998,CROSSED_2
16595,111366.0,LXCHEM,20210520,220.85,222.0,216.35,217.9,1197762.0,262960243.65,17951.0,DOWN,-0.59,219.50357142857143,210.77857142857144,206.3,206.3,CROSSED_2
