,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
4764,65386.0,MAHLOG,20210412,537.9,537.9,508.15,519.75,105368.0,54512404.55,8609.0,-,0,519.75,519.75,519.75,519.75,0
5112,71142.0,MAHLOG,20210413,516.5,529.45,508.4,525.85,37189.0,19269253.5,3300.0,UP,1.17,522.8,522.8,522.8,522.8,0
5805,81665.0,MAHLOG,20210415,525.85,545.45,521.0,533.8,46213.0,24576006.6,3289.0,UP,1.51,526.4666666666667,526.4666666666667,526.4666666666667,526.4666666666667,0
6173,86437.0,MAHLOG,20210416,524.0,540.6,524.0,538.65,22639.0,12169126.7,2639.0,UP,0.91,529.5125,529.5125,529.5125,529.5125,0
6737,103203.0,MAHLOG,20210419,539.95,540.25,519.9,529.2,180226.0,95289095.35,8374.0,DOWN,-1.75,529.45,529.45,529.45,529.45,0
7368,107538.0,MAHLOG,20210420,532.0,538.15,518.0,520.15,135023.0,71307556.25,3501.0,DOWN,-1.71,527.9,527.9,527.9,527.9,0
7831,118564.0,MAHLOG,20210422,517.0,534.0,509.25,526.9,95374.0,50301764.1,4632.0,UP,1.3,527.7571428571429,527.7571428571429,527.7571428571429,527.7571428571429,0
8058,124800.0,MAHLOG,20210423,531.65,531.65,520.0,521.05,24139.0,12665104.45,2141.0,DOWN,-1.11,526.91875,526.91875,526.91875,526.91875,0
8637,142087.0,MAHLOG,20210426,521.65,525.0,506.05,517.0,52148.0,27001954.6,2917.0,DOWN,-0.78,525.8166666666667,525.8166666666667,525.8166666666667,525.8166666666667,0
8855,146876.0,MAHLOG,20210427,519.7,555.55,515.15,549.7,139671.0,76239709.8,5423.0,UP,6.32,528.205,528.205,528.205,528.205,0
9516,152623.0,MAHLOG,20210428,556.8,556.8,548.0,551.85,74222.0,41044989.3,4549.0,UP,0.39,530.3545454545455,530.3545454545455,530.3545454545455,530.3545454545455,0
10028,158847.0,MAHLOG,20210429,562.0,577.7,541.15,550.4,201495.0,113290609.1,7021.0,DOWN,-0.26,532.025,532.025,532.025,532.025,0
10323,164608.0,MAHLOG,20210430,556.0,560.0,526.55,534.1,126705.0,68840459.3,6698.0,DOWN,-2.96,532.1846153846153,532.1846153846153,532.1846153846153,532.1846153846153,0
10943,16572.0,MAHLOG,20210503,538.8,539.0,515.15,518.2,151903.0,79376883.05,8904.0,DOWN,-2.98,531.1857142857143,531.1857142857143,531.1857142857143,531.1857142857143,0
11231,22292.0,MAHLOG,20210504,525.0,550.0,498.05,502.2,101702.0,52541393.95,5101.0,DOWN,-3.09,529.9321428571428,529.2533333333333,529.2533333333333,529.2533333333333,CROSSED_2
11775,27540.0,MAHLOG,20210505,504.8,519.6,502.3,515.75,82713.0,42451447.95,6458.0,UP,2.7,529.2107142857143,528.409375,528.409375,528.409375,CROSSED_2
12433,33296.0,MAHLOG,20210506,528.0,541.0,523.0,536.65,103642.0,55042728.95,6145.0,UP,4.05,529.4142857142857,528.8941176470589,528.8941176470589,528.8941176470589,CROSSED_2
12659,40502.0,MAHLOG,20210507,543.7,544.1,538.0,541.75,54065.0,29256279.85,4662.0,UP,0.95,529.6357142857142,529.6083333333333,529.6083333333333,529.6083333333333,CROSSED_2
13428,58679.0,MAHLOG,20210510,542.0,555.9,540.7,553.3,74799.0,41242277.7,5579.0,UP,2.13,531.3571428571429,530.8552631578947,530.8552631578947,530.8552631578947,CROSSED_2
13543,63978.0,MAHLOG,20210511,542.05,560.0,542.05,545.6,61157.0,33773819.55,3298.0,DOWN,-1.39,533.1750000000001,531.5925,531.5925,531.5925,CROSSED_2
14200,68737.0,MAHLOG,20210512,537.6,553.75,537.6,541.8,53592.0,29073444.7,4321.0,DOWN,-0.7,534.2392857142856,532.0785714285714,532.0785714285714,532.0785714285714,CROSSED_2
14801,80258.0,MAHLOG,20210514,540.0,565.0,528.2,535.3,27607.0,14949034.85,2765.0,DOWN,-1.2,535.2571428571429,532.8190476190476,532.225,532.225,CROSSED_2
14863,96011.0,MAHLOG,20210517,535.0,541.8,520.0,523.15,45797.0,24254954.05,3659.0,DOWN,-2.27,535.6964285714286,532.6904761904761,531.8304347826087,531.8304347826087,CROSSED_2
15402,101291.0,MAHLOG,20210518,529.95,567.0,526.1,553.4,902364.0,499530193.15,35563.0,UP,5.78,535.9607142857143,533.6238095238095,532.7291666666666,532.7291666666666,CROSSED_2
15865,106103.0,MAHLOG,20210519,555.7,562.0,527.1,531.6,204908.0,112275632.0,15330.0,DOWN,-3.94,534.5142857142857,533.2880952380953,532.684,532.684,CROSSED_2
16600,111371.0,MAHLOG,20210520,533.0,541.05,521.0,527.2,202894.0,107477559.05,11279.0,DOWN,-0.83,532.8571428571429,533.1928571428571,532.4730769230769,532.4730769230769,CROSSED_2
17014,117162.0,MAHLOG,20210521,529.5,541.9,526.55,533.9,109049.0,58387368.2,8971.0,UP,1.27,532.8428571428572,533.847619047619,532.525925925926,532.525925925926,CROSSED_2
17597,134390.0,MAHLOG,20210524,537.9,545.0,529.0,540.9,94608.0,50783976.05,7199.0,UP,1.31,534.4642857142857,534.5142857142857,532.825,532.825,CROSSED_2
17724,140171.0,MAHLOG,20210525,546.0,546.0,531.15,533.4,48074.0,25751220.35,4935.0,DOWN,-1.39,536.6928571428572,535.1023809523809,532.8448275862069,532.8448275862069,CROSSED_2
18236,144959.0,MAHLOG,20210526,547.9,548.0,532.0,532.2,121042.0,65066753.35,11951.0,DOWN,-0.22,537.8678571428571,535.8261904761904,532.8233333333334,532.8233333333334,CROSSED_2
18994,150718.0,MAHLOG,20210527,533.7,535.9,526.0,528.55,48757.0,25826195.4,3842.0,DOWN,-0.69,537.2892857142857,534.8190476190476,532.6854838709677,532.6854838709677,CROSSED_2
19149,157441.0,MAHLOG,20210528,530.0,534.55,522.05,529.25,68244.0,36100307.95,4912.0,UP,0.13,536.3964285714286,533.7428571428571,532.578125,532.578125,CROSSED_2
19873,172705.0,MAHLOG,20210531,534.7,553.85,524.35,548.4,266986.0,144855464.8,20336.0,UP,3.62,536.0464285714286,533.6476190476191,533.0575757575758,533.0575757575758,CROSSED_2
19996,4101.0,MAHLOG,20210601,548.0,560.0,542.15,545.75,265290.0,146599868.0,15120.0,DOWN,-0.48,536.0571428571428,534.202380952381,533.4308823529412,533.4308823529412,CROSSED_2
