,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
4765,65387.0,MANAPPURAM,20210412,154.1,155.8,143.2,145.45,7095948.0,1043247366.35,54615.0,-,0,145.45,145.45,145.45,145.45,0
5111,71143.0,MANAPPURAM,20210413,147.0,150.4,145.2,148.5,5274370.0,780485464.9,32613.0,UP,2.1,146.975,146.975,146.975,146.975,0
5806,81666.0,MANAPPURAM,20210415,145.55,149.25,143.55,145.55,4724404.0,686756279.1,32057.0,DOWN,-1.99,146.5,146.5,146.5,146.5,0
6172,86438.0,MANAPPURAM,20210416,146.0,149.15,145.3,147.15,2535697.0,374176032.35,15886.0,UP,1.1,146.6625,146.6625,146.6625,146.6625,0
6738,103204.0,MANAPPURAM,20210419,144.0,145.0,140.0,141.95,5083839.0,724917883.2,33738.0,DOWN,-3.53,145.72,145.72,145.72,145.72,0
7369,107539.0,MANAPPURAM,20210420,144.9,147.3,140.75,141.8,4897471.0,703542196.75,34750.0,DOWN,-0.11,145.06666666666666,145.06666666666666,145.06666666666666,145.06666666666666,0
7830,118565.0,MANAPPURAM,20210422,139.75,145.2,139.1,143.35,3638382.0,521718788.2,26046.0,UP,1.09,144.82142857142858,144.82142857142858,144.82142857142858,144.82142857142858,0
8059,124801.0,MANAPPURAM,20210423,142.0,147.45,142.0,146.8,4176250.0,609417296.35,36564.0,UP,2.41,145.06875,145.06875,145.06875,145.06875,0
8638,142088.0,MANAPPURAM,20210426,148.0,149.35,146.05,146.7,3201209.0,472623345.75,21670.0,DOWN,-0.07,145.25,145.25,145.25,145.25,0
8856,146877.0,MANAPPURAM,20210427,147.75,148.6,146.15,147.3,2051938.0,302412887.8,14815.0,UP,0.41,145.45499999999998,145.45499999999998,145.45499999999998,145.45499999999998,0
9515,152624.0,MANAPPURAM,20210428,148.7,150.65,147.45,148.8,3302307.0,492750316.7,20899.0,UP,1.02,145.7590909090909,145.7590909090909,145.7590909090909,145.7590909090909,0
10029,158848.0,MANAPPURAM,20210429,149.5,150.75,146.2,147.2,2597168.0,384717224.5,13786.0,DOWN,-1.08,145.87916666666666,145.87916666666666,145.87916666666666,145.87916666666666,0
10322,164609.0,MANAPPURAM,20210430,146.0,153.6,145.1,149.05,7131339.0,1073519657.35,32900.0,UP,1.26,146.12307692307692,146.12307692307692,146.12307692307692,146.12307692307692,0
10942,16573.0,MANAPPURAM,20210503,148.0,149.0,143.0,148.4,3732748.0,547898649.8,20097.0,DOWN,-0.44,146.28571428571428,146.28571428571428,146.28571428571428,146.28571428571428,0
11232,22293.0,MANAPPURAM,20210504,148.95,152.85,148.0,148.3,4053260.0,612029906.4,20333.0,DOWN,-0.07,146.4892857142857,146.42000000000002,146.42000000000002,146.42000000000002,CROSSED_2
11631,27541.0,MANAPPURAM,20210505,149.0,150.25,147.0,149.1,1877244.0,278450173.05,12333.0,UP,0.54,146.53214285714284,146.5875,146.5875,146.5875,WILL_CROSS_1
12432,33297.0,MANAPPURAM,20210506,150.0,150.5,147.6,149.35,2561440.0,381289870.55,19981.0,UP,0.17,146.80357142857142,146.75,146.75,146.75,CROSSED_2
12660,40503.0,MANAPPURAM,20210507,150.0,157.0,150.0,152.55,9187973.0,1415950164.95,61222.0,UP,2.14,147.18928571428572,147.07222222222222,147.07222222222222,147.07222222222222,CROSSED_2
13427,58680.0,MANAPPURAM,20210510,154.1,155.45,152.1,154.5,3602173.0,555785374.05,20507.0,UP,1.28,148.08571428571432,147.46315789473684,147.46315789473684,147.46315789473684,CROSSED_2
13542,63979.0,MANAPPURAM,20210511,153.95,155.0,151.75,153.85,3444257.0,529151340.55,24743.0,DOWN,-0.42,148.94642857142858,147.7825,147.7825,147.7825,CROSSED_2
14201,68738.0,MANAPPURAM,20210512,154.15,154.6,152.0,152.8,2304255.0,352898711.5,22275.0,DOWN,-0.68,149.62142857142857,148.02142857142857,148.02142857142857,148.02142857142857,CROSSED_2
14802,80259.0,MANAPPURAM,20210514,154.0,154.4,150.0,150.35,2800392.0,424334287.2,22068.0,DOWN,-1.6,149.875,148.25476190476192,148.12727272727273,148.12727272727273,CROSSED_2
14862,96012.0,MANAPPURAM,20210517,151.0,155.9,150.55,154.85,4848055.0,748198816.4,28572.0,UP,2.99,150.45714285714286,148.55714285714288,148.4195652173913,148.4195652173913,CROSSED_2
15401,101292.0,MANAPPURAM,20210518,156.5,162.1,156.0,160.25,17041976.0,2729498641.25,96041.0,UP,3.49,151.38214285714284,149.25714285714287,148.9125,148.9125,CROSSED_2
15864,106104.0,MANAPPURAM,20210519,161.0,161.1,156.8,158.0,2743775.0,434237931.3,17827.0,DOWN,-1.4,152.03928571428568,149.77380952380952,149.276,149.276,CROSSED_2
16601,111372.0,MANAPPURAM,20210520,158.9,162.95,158.05,159.7,8651367.0,1392462406.45,46857.0,UP,1.08,152.93214285714288,150.61904761904762,149.67692307692306,149.67692307692306,CROSSED_2
17015,117163.0,MANAPPURAM,20210521,161.85,161.85,158.7,159.65,2579310.0,412077502.65,16590.0,DOWN,-0.03,153.68928571428572,151.46904761904761,150.0462962962963,150.0462962962963,CROSSED_2
