,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
4777,65399.0,MINDTREE,20210412,2221.85,2275.95,2101.0,2142.5,1873748.0,4080425187.85,79786.0,-,0,2142.5,2142.5,2142.5,2142.5,0
5099,71155.0,MINDTREE,20210413,2156.0,2173.8,1995.5,2050.25,1935742.0,3972670688.9,67326.0,DOWN,-4.31,2096.375,2096.375,2096.375,2096.375,0
5818,81678.0,MINDTREE,20210415,2020.0,2080.95,1951.0,2065.3,1833728.0,3725165583.9,67816.0,UP,0.73,2086.016666666667,2086.016666666667,2086.016666666667,2086.016666666667,0
6160,86450.0,MINDTREE,20210416,2080.0,2124.0,2043.5,2069.65,1645045.0,3433855398.95,56711.0,UP,0.21,2081.925,2081.925,2081.925,2081.925,0
6749,103216.0,MINDTREE,20210419,2081.0,2145.0,1998.25,2092.8,5048145.0,10603812163.65,169146.0,UP,1.12,2084.1,2084.1,2084.1,2084.1,0
7381,107551.0,MINDTREE,20210420,2092.8,2125.85,2023.2,2042.0,1456195.0,3021624190.6,51223.0,DOWN,-2.43,2077.0833333333335,2077.0833333333335,2077.0833333333335,2077.0833333333335,0
7818,118577.0,MINDTREE,20210422,2039.0,2087.6,2016.05,2032.2,1405405.0,2883228630.45,44759.0,DOWN,-0.48,2070.671428571429,2070.671428571429,2070.671428571429,2070.671428571429,0
8071,124813.0,MINDTREE,20210423,2035.5,2063.0,2004.0,2018.3,771071.0,1570755179.55,30011.0,DOWN,-0.68,2064.125,2064.125,2064.125,2064.125,0
8650,142100.0,MINDTREE,20210426,2035.0,2076.0,2025.05,2062.4,845322.0,1734628817.65,37074.0,UP,2.19,2063.9333333333334,2063.9333333333334,2063.9333333333334,2063.9333333333334,0
8868,146889.0,MINDTREE,20210427,2070.0,2083.0,2051.9,2054.8,651069.0,1346704616.35,29021.0,DOWN,-0.37,2063.02,2063.02,2063.02,2063.02,0
9503,152636.0,MINDTREE,20210428,2063.0,2135.95,2063.0,2129.35,1195905.0,2519901695.9,47022.0,UP,3.63,2069.0499999999997,2069.0499999999997,2069.0499999999997,2069.0499999999997,0
10041,158860.0,MINDTREE,20210429,2135.0,2152.4,2090.0,2097.8,567333.0,1201360647.4,27834.0,DOWN,-1.48,2071.4458333333337,2071.4458333333337,2071.4458333333337,2071.4458333333337,0
10310,164621.0,MINDTREE,20210430,2098.8,2139.85,2091.1,2106.0,593831.0,1257172970.5,25602.0,UP,0.39,2074.1038461538465,2074.1038461538465,2074.1038461538465,2074.1038461538465,0
10930,16585.0,MINDTREE,20210503,2100.0,2125.2,2081.5,2117.8,388869.0,819933492.05,18075.0,UP,0.56,2077.225,2077.225,2077.225,2077.225,0
11244,22305.0,MINDTREE,20210504,2129.25,2164.55,2105.45,2115.6,785642.0,1680934584.65,38177.0,DOWN,-0.1,2075.3035714285716,2079.7833333333333,2079.7833333333333,2079.7833333333333,WILL_CROSS_1
11875,27553.0,MINDTREE,20210505,2124.0,2187.9,2121.2,2166.55,797084.0,1722402690.7,34390.0,UP,2.41,2083.6107142857145,2085.20625,2085.20625,2085.20625,WILL_CROSS_1
12420,33309.0,MINDTREE,20210506,2170.0,2301.2,2146.0,2248.35,2728483.0,6122488848.6,124087.0,UP,3.78,2096.6857142857143,2094.8029411764705,2094.8029411764705,2094.8029411764705,CROSSED_2
12750,40515.0,MINDTREE,20210507,2266.6,2295.0,2211.8,2220.7,1013318.0,2277751666.4,45092.0,DOWN,-1.23,2107.475,2101.797222222222,2101.797222222222,2101.797222222222,CROSSED_2
13415,58692.0,MINDTREE,20210510,2240.55,2240.7,2175.0,2232.1,816452.0,1802772858.75,36701.0,UP,0.51,2117.425,2108.6552631578948,2108.6552631578948,2108.6552631578948,CROSSED_2
13530,63991.0,MINDTREE,20210511,2190.0,2225.05,2182.1,2200.9,420184.0,925772933.95,20073.0,DOWN,-1.4,2128.775,2113.2675,2113.2675,2113.2675,CROSSED_2
14213,68750.0,MINDTREE,20210512,2202.0,2229.2,2156.85,2164.25,435140.0,950087635.35,21219.0,DOWN,-1.67,2138.207142857143,2115.695238095238,2115.695238095238,2115.695238095238,CROSSED_2
14814,80271.0,MINDTREE,20210514,2170.0,2184.2,2092.05,2105.5,511646.0,1087093437.15,29209.0,DOWN,-2.71,2144.4357142857143,2113.9333333333334,2115.231818181818,2115.231818181818,CROSSED_2
15316,96024.0,MINDTREE,20210517,2120.0,2120.0,2070.0,2077.35,589049.0,1227545288.35,38426.0,DOWN,-1.34,2145.5035714285714,2115.2238095238095,2113.5847826086956,2113.5847826086956,CROSSED_2
15390,101304.0,MINDTREE,20210518,2090.1,2132.0,2077.0,2089.95,1163634.0,2445103096.05,45514.0,UP,0.61,2148.014285714286,2116.397619047619,2112.6,2112.6,CROSSED_2
15852,106116.0,MINDTREE,20210519,2095.0,2119.25,2076.65,2084.75,836190.0,1755158909.95,29763.0,DOWN,-0.25,2144.8285714285716,2117.116666666667,2111.486,2111.486,CROSSED_2
16613,111384.0,MINDTREE,20210520,2098.15,2116.0,2075.4,2094.1,654522.0,1372528889.75,27014.0,UP,0.45,2144.5642857142857,2117.1785714285716,2110.8173076923076,2110.8173076923076,CROSSED_2
17027,117175.0,MINDTREE,20210521,2122.55,2134.95,2078.05,2122.7,968443.0,2042643309.25,46961.0,UP,1.37,2145.7571428571428,2121.0214285714283,2111.2574074074073,2111.2574074074073,CROSSED_2
17610,134403.0,MINDTREE,20210524,2132.7,2151.5,2114.05,2136.7,659029.0,1408201670.35,31111.0,UP,0.66,2147.1071428571427,2125.997619047619,2112.1660714285713,2112.1660714285713,CROSSED_2
17971,140184.0,MINDTREE,20210525,2145.05,2188.0,2136.7,2171.8,683155.0,1482264218.35,34132.0,UP,1.64,2151.1214285714286,2133.307142857143,2114.2224137931034,2114.2224137931034,CROSSED_2
18223,144972.0,MINDTREE,20210526,2184.0,2214.8,2163.55,2207.35,768155.0,1682638796.75,38821.0,UP,1.64,2154.035714285714,2140.209523809524,2117.326666666667,2117.326666666667,CROSSED_2
19007,150731.0,MINDTREE,20210527,2218.35,2342.65,2215.0,2310.25,3644886.0,8403330495.5,157921.0,UP,4.66,2158.4571428571426,2152.37380952381,2123.55,2123.55,CROSSED_2
19163,157454.0,MINDTREE,20210528,2322.0,2365.0,2283.35,2355.6,1542961.0,3603252152.65,65211.0,UP,1.96,2168.092857142857,2163.147619047619,2130.8015625,2130.8015625,CROSSED_2
19886,172718.0,MINDTREE,20210531,2365.0,2405.0,2346.05,2394.35,1590758.0,3792301929.0,88879.0,UP,1.65,2179.682142857143,2177.269047619048,2138.787878787879,2138.787878787879,CROSSED_2
20450,4114.0,MINDTREE,20210601,2407.35,2424.0,2372.05,2418.3,710768.0,1707009075.05,29648.0,UP,1.0,2195.210714285714,2192.1404761904764,2147.008823529412,2147.008823529412,CROSSED_2
20742,9348.0,MINDTREE,20210602,2412.1,2412.1,2341.1,2387.3,947744.0,2245731149.25,44048.0,DOWN,-1.28,2211.1428571428573,2204.9738095238095,2153.874285714286,2153.874285714286,CROSSED_2
21002,15130.0,MINDTREE,20210603,2390.0,2399.9,2360.05,2371.05,432182.0,1025588932.65,22099.0,DOWN,-0.68,2230.110714285714,2217.1380952380955,2159.9069444444444,2159.9069444444444,CROSSED_2
21633,21349.0,MINDTREE,20210604,2358.3,2416.0,2351.0,2369.95,533219.0,1268673390.5,26837.0,DOWN,-0.05,2251.0107142857146,2226.8238095238094,2165.583783783784,2165.583783783784,CROSSED_2
22151,39058.0,MINDTREE,20210607,2381.0,2417.0,2365.1,2407.7,458288.0,1098688477.15,21385.0,UP,1.59,2273.7071428571426,2234.4119047619047,2171.955263157895,2171.955263157895,CROSSED_2
22522,45782.0,MINDTREE,20210608,2417.0,2464.0,2395.5,2441.15,1457271.0,3555889993.2,59950.0,UP,1.39,2299.1642857142856,2244.9095238095238,2178.857692307692,2178.857692307692,CROSSED_2
23077,51465.0,MINDTREE,20210609,2450.0,2470.0,2402.2,2419.2,622079.0,1519857840.15,34117.0,DOWN,-0.9,2322.3857142857146,2253.819047619048,2184.86625,2184.86625,CROSSED_2
23478,57241.0,MINDTREE,20210610,2430.0,2449.05,2422.4,2439.0,294721.0,717739155.8,14598.0,UP,0.82,2344.9785714285713,2265.157142857143,2191.064634146341,2191.064634146341,CROSSED_2
