,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
4778,65400.0,MMTC,20210412,43.0,43.0,39.8,40.25,3069399.0,125720555.5,12444.0,-,0,40.25,40.25,40.25,40.25,0
5098,71156.0,MMTC,20210413,40.2,42.1,39.9,41.5,2785813.0,114345501.55,9057.0,UP,3.11,40.875,40.875,40.875,40.875,0
5819,81679.0,MMTC,20210415,41.45,41.95,40.3,41.1,2135332.0,87625789.35,7913.0,DOWN,-0.96,40.949999999999996,40.949999999999996,40.949999999999996,40.949999999999996,0
6159,86451.0,MMTC,20210416,41.5,43.15,41.5,42.05,3378384.0,143112285.1,12581.0,UP,2.31,41.225,41.225,41.225,41.225,0
6750,103217.0,MMTC,20210419,38.6,39.55,37.95,38.8,3695223.0,143567469.65,12128.0,DOWN,-7.73,40.739999999999995,40.739999999999995,40.739999999999995,40.739999999999995,0
7382,107552.0,MMTC,20210420,39.6,40.1,38.25,38.7,3058952.0,119697328.65,8295.0,DOWN,-0.26,40.4,40.4,40.4,40.4,0
7817,118578.0,MMTC,20210422,38.1,38.3,37.3,37.8,2504339.0,94911951.05,8372.0,DOWN,-2.33,40.028571428571425,40.028571428571425,40.028571428571425,40.028571428571425,0
8072,124814.0,MMTC,20210423,37.75,40.7,37.3,39.1,6198601.0,244773080.5,17689.0,UP,3.44,39.9125,39.9125,39.9125,39.9125,0
8651,142101.0,MMTC,20210426,39.3,39.7,38.55,38.8,2193577.0,85612239.0,6901.0,DOWN,-0.77,39.78888888888889,39.78888888888889,39.78888888888889,39.78888888888889,0
8869,146890.0,MMTC,20210427,39.05,43.3,38.9,42.2,9990369.0,413643089.6,26603.0,UP,8.76,40.03,40.03,40.03,40.03,0
9502,152637.0,MMTC,20210428,42.55,42.95,41.0,41.2,4552301.0,190219094.3,11961.0,DOWN,-2.37,40.13636363636363,40.13636363636363,40.13636363636363,40.13636363636363,0
10042,158861.0,MMTC,20210429,41.4,41.8,40.0,40.4,2656502.0,108138963.85,7896.0,DOWN,-1.94,40.15833333333333,40.15833333333333,40.15833333333333,40.15833333333333,0
10309,164622.0,MMTC,20210430,39.85,42.1,39.3,40.85,3115420.0,128247923.5,9200.0,UP,1.11,40.21153846153846,40.21153846153846,40.21153846153846,40.21153846153846,0
10929,16586.0,MMTC,20210503,41.0,43.5,40.6,42.75,6945466.0,296266894.5,20926.0,UP,4.65,40.392857142857146,40.392857142857146,40.392857142857146,40.392857142857146,0
11245,22306.0,MMTC,20210504,43.25,44.35,41.85,42.15,5542498.0,239490759.25,14320.0,DOWN,-1.4,40.528571428571425,40.51,40.51,40.51,CROSSED_2
11876,27554.0,MMTC,20210505,42.4,43.3,42.1,42.6,2521824.0,107333083.35,6434.0,UP,1.07,40.607142857142854,40.640625,40.640625,40.640625,WILL_CROSS_1
12419,33310.0,MMTC,20210506,42.9,43.7,42.3,42.65,4448936.0,191259111.15,11626.0,UP,0.12,40.71785714285714,40.758823529411764,40.758823529411764,40.758823529411764,WILL_CROSS_1
12673,40516.0,MMTC,20210507,42.9,46.8,42.65,46.1,19679398.0,898529750.2,50213.0,UP,8.09,41.00714285714286,41.05555555555556,41.05555555555556,41.05555555555556,WILL_CROSS_1
13414,58693.0,MMTC,20210510,46.7,49.5,46.5,48.55,15197163.0,730085872.1,39676.0,UP,5.31,41.70357142857142,41.449999999999996,41.449999999999996,41.449999999999996,CROSSED_2
13529,63992.0,MMTC,20210511,46.95,55.55,46.35,54.35,35112759.0,1823829172.0,86972.0,UP,11.95,42.82142857142857,42.095,42.095,42.095,CROSSED_2
14214,68751.0,MMTC,20210512,55.2,61.3,54.05,56.05,46551953.0,2703498466.55,132838.0,UP,3.13,44.125,42.75952380952381,42.75952380952381,42.75952380952381,CROSSED_2
14815,80272.0,MMTC,20210514,57.0,58.4,52.2,52.85,16853707.0,922668963.85,47952.0,DOWN,-5.71,45.107142857142854,43.35952380952381,43.21818181818182,43.21818181818182,CROSSED_2
15315,96025.0,MMTC,20210517,53.35,56.45,51.55,55.35,12424985.0,674520491.6,38437.0,UP,4.73,46.28928571428571,44.01904761904762,43.745652173913044,43.745652173913044,CROSSED_2
15389,101305.0,MMTC,20210518,56.15,58.15,54.6,55.0,15064266.0,853478977.35,38236.0,DOWN,-0.63,47.20357142857143,44.68095238095238,44.21458333333334,44.21458333333334,CROSSED_2
15851,106117.0,MMTC,20210519,54.85,55.75,53.05,53.85,5536349.0,301648275.65,18571.0,DOWN,-2.09,48.107142857142854,45.24285714285715,44.6,44.6,CROSSED_2
16614,111385.0,MMTC,20210520,54.0,55.35,52.25,53.75,5526257.0,297697860.45,19403.0,DOWN,-0.19,49.06071428571429,45.9547619047619,44.95192307692308,44.95192307692308,CROSSED_2
17028,117176.0,MMTC,20210521,54.15,54.65,52.65,53.0,3546599.0,190020081.9,13367.0,DOWN,-1.4,49.92857142857143,46.635714285714286,45.25,45.25,CROSSED_2
17611,134404.0,MMTC,20210524,53.3,54.75,51.9,53.0,4723326.0,250653514.6,17320.0,Const,0.0,50.660714285714285,47.35952380952381,45.526785714285715,45.526785714285715,CROSSED_2
17885,140185.0,MMTC,20210525,53.0,60.4,53.0,59.2,31417922.0,1808996456.35,82436.0,UP,11.7,51.87857142857143,48.31666666666667,45.998275862068965,45.998275862068965,CROSSED_2
18222,144973.0,MMTC,20210526,59.7,62.2,58.6,59.55,17710087.0,1071592669.05,52254.0,UP,0.59,53.089285714285715,49.30476190476191,46.45,46.45,CROSSED_2
19008,150732.0,MMTC,20210527,59.7,60.3,57.05,57.5,5794927.0,337352657.75,18784.0,DOWN,-3.44,54.15,50.03333333333334,46.806451612903224,46.806451612903224,CROSSED_2
19164,157455.0,MMTC,20210528,58.0,58.7,55.0,55.45,5788355.0,327394741.85,19650.0,DOWN,-3.57,54.81785714285714,50.71190476190476,47.0765625,47.0765625,CROSSED_2
19887,172719.0,MMTC,20210531,55.5,61.0,54.25,60.1,17509544.0,1024449552.8,49122.0,UP,8.39,55.642857142857146,51.64999999999999,47.47121212121212,47.47121212121212,CROSSED_2
20449,4115.0,MMTC,20210601,60.6,60.85,57.55,57.95,9383034.0,552217646.6,30182.0,DOWN,-3.58,55.9,52.464285714285715,47.779411764705884,47.779411764705884,CROSSED_2
20743,9349.0,MMTC,20210602,57.8,59.6,57.5,58.15,6765485.0,396017358.75,21255.0,UP,0.35,56.05,53.19761904761905,48.07571428571429,48.07571428571429,CROSSED_2
21003,15131.0,MMTC,20210603,58.6,59.35,57.2,57.5,6288575.0,366650756.45,18630.0,DOWN,-1.12,56.38214285714286,53.92857142857143,48.337500000000006,48.337500000000006,CROSSED_2
21632,21350.0,MMTC,20210604,57.5,61.4,56.7,58.9,15433607.0,914492922.6,43877.0,UP,2.43,56.635714285714286,54.7047619047619,48.622972972972974,48.622972972972974,CROSSED_2
22152,39059.0,MMTC,20210607,59.35,60.7,58.6,60.1,10755961.0,640109315.5,26414.0,UP,2.04,57.0,55.535714285714285,48.925000000000004,48.925000000000004,CROSSED_2
22523,45783.0,MMTC,20210608,62.0,63.95,60.65,61.45,23037687.0,1443468691.85,60129.0,UP,2.25,57.542857142857144,56.266666666666666,49.246153846153845,49.246153846153845,CROSSED_2
23078,51466.0,MMTC,20210609,61.75,62.3,58.1,58.6,10527835.0,634706154.3,30501.0,DOWN,-4.64,57.88928571428572,56.7452380952381,49.480000000000004,49.480000000000004,CROSSED_2
23479,57242.0,MMTC,20210610,60.5,61.7,59.35,59.9,9000563.0,544144918.7,28723.0,UP,2.22,58.38214285714286,57.0095238095238,49.734146341463415,49.734146341463415,CROSSED_2
23902,63041.0,MMTC,20210611,60.3,60.55,58.7,59.05,6267201.0,372315249.95,17976.0,DOWN,-1.42,58.81428571428571,57.15238095238095,49.95595238095238,49.95595238095238,CROSSED_2
24439,78821.0,MMTC,20210614,59.05,59.25,55.9,58.2,4603219.0,265914422.95,15869.0,DOWN,-1.44,58.74285714285714,57.40714285714286,50.14767441860465,50.14767441860465,CROSSED_2
24720,84055.0,MMTC,20210615,58.2,60.6,57.55,59.8,6929078.0,409164816.75,20542.0,UP,2.75,58.760714285714286,57.61904761904762,50.367045454545455,50.367045454545455,CROSSED_2
25491,89283.0,MMTC,20210616,61.4,61.7,57.25,58.65,14711832.0,889027706.1,42871.0,DOWN,-1.92,58.84285714285714,57.79285714285714,50.55111111111111,50.55111111111111,CROSSED_2
