,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
4779,65401.0,MOIL,20210412,155.0,155.0,148.05,148.5,503737.0,75776536.45,7135.0,-,0,148.5,148.5,148.5,148.5,0
5097,71157.0,MOIL,20210413,150.0,159.65,148.7,155.4,772817.0,119605241.2,12822.0,UP,4.65,151.95,151.95,151.95,151.95,0
5820,81680.0,MOIL,20210415,155.0,157.75,153.75,155.95,502888.0,78320087.4,8119.0,UP,0.35,153.28333333333333,153.28333333333333,153.28333333333333,153.28333333333333,0
6158,86452.0,MOIL,20210416,153.75,157.2,153.75,155.0,227720.0,35366444.5,4432.0,DOWN,-0.61,153.7125,153.7125,153.7125,153.7125,0
6751,103218.0,MOIL,20210419,150.2,156.0,150.0,154.05,303236.0,46395428.95,4684.0,DOWN,-0.61,153.78,153.78,153.78,153.78,0
7383,107553.0,MOIL,20210420,154.55,157.5,151.5,152.65,284806.0,44049548.25,4421.0,DOWN,-0.91,153.59166666666667,153.59166666666667,153.59166666666667,153.59166666666667,0
7816,118579.0,MOIL,20210422,151.0,155.5,151.0,152.15,220738.0,33831326.15,3962.0,DOWN,-0.33,153.3857142857143,153.3857142857143,153.3857142857143,153.3857142857143,0
8073,124815.0,MOIL,20210423,152.7,153.8,150.7,151.35,135354.0,20619680.85,2815.0,DOWN,-0.53,153.13125,153.13125,153.13125,153.13125,0
8652,142102.0,MOIL,20210426,152.05,156.3,150.0,152.35,206962.0,31675335.4,2996.0,UP,0.66,153.04444444444445,153.04444444444445,153.04444444444445,153.04444444444445,0
8870,146891.0,MOIL,20210427,153.1,157.0,153.1,154.15,297102.0,45925147.05,3875.0,UP,1.18,153.155,153.155,153.155,153.155,0
9501,152638.0,MOIL,20210428,154.8,156.9,154.1,154.75,200118.0,31075346.35,3196.0,UP,0.39,153.29999999999998,153.29999999999998,153.29999999999998,153.29999999999998,0
10043,158862.0,MOIL,20210429,155.3,164.9,154.9,160.55,1963545.0,316689027.2,21622.0,UP,3.75,153.90416666666667,153.90416666666667,153.90416666666667,153.90416666666667,0
10308,164623.0,MOIL,20210430,163.7,171.35,162.0,165.05,3058279.0,510758975.4,35573.0,UP,2.8,154.76153846153846,154.76153846153846,154.76153846153846,154.76153846153846,0
10928,16587.0,MOIL,20210503,164.75,174.9,161.55,172.55,2262716.0,386144228.7,26909.0,UP,4.54,156.03214285714284,156.03214285714284,156.03214285714284,156.03214285714284,0
11246,22307.0,MOIL,20210504,174.9,175.65,164.4,165.3,1181657.0,200724321.9,13198.0,DOWN,-4.2,157.23214285714286,156.65,156.65,156.65,CROSSED_2
11877,27555.0,MOIL,20210505,166.8,168.95,163.6,164.15,505316.0,83741608.8,7099.0,DOWN,-0.7,157.85714285714286,157.11875,157.11875,157.11875,CROSSED_2
12418,33311.0,MOIL,20210506,164.9,168.15,162.55,163.45,431230.0,71320253.0,7081.0,DOWN,-0.43,158.39285714285714,157.49117647058824,157.49117647058824,157.49117647058824,CROSSED_2
12553,40517.0,MOIL,20210507,163.45,179.8,163.45,176.05,4369670.0,765732896.5,48917.0,UP,7.71,159.89642857142857,158.52222222222224,158.52222222222224,158.52222222222224,CROSSED_2
13413,58694.0,MOIL,20210510,181.95,195.0,181.0,187.9,9715802.0,1849032822.9,104062.0,UP,6.73,162.31428571428572,160.06842105263158,160.06842105263158,160.06842105263158,CROSSED_2
13528,63993.0,MOIL,20210511,182.9,187.85,179.6,182.45,2072619.0,381429142.2,24056.0,DOWN,-2.9,164.44285714285712,161.1875,161.1875,161.1875,CROSSED_2
14215,68752.0,MOIL,20210512,184.8,196.0,178.1,182.15,4786654.0,906959775.05,50344.0,DOWN,-0.16,166.58571428571432,162.18571428571428,162.18571428571428,162.18571428571428,CROSSED_2
14816,80273.0,MOIL,20210514,183.6,188.45,173.75,177.35,2190563.0,394189683.35,26194.0,DOWN,-2.64,168.44285714285712,163.5595238095238,162.875,162.875,CROSSED_2
15314,96026.0,MOIL,20210517,179.7,184.0,175.1,180.0,2143885.0,384947316.0,25060.0,UP,1.49,170.41785714285714,164.73095238095237,163.6195652173913,163.6195652173913,CROSSED_2
15388,101306.0,MOIL,20210518,182.5,184.05,176.55,178.0,969425.0,175633260.45,12686.0,DOWN,-1.11,172.12142857142857,165.78095238095239,164.21875,164.21875,CROSSED_2
15850,106118.0,MOIL,20210519,178.4,181.1,174.05,175.15,1235188.0,220274883.4,16690.0,DOWN,-1.6,173.57857142857142,166.7404761904762,164.65599999999998,164.65599999999998,CROSSED_2
16615,111386.0,MOIL,20210520,176.3,176.75,170.45,171.45,858392.0,147893660.75,11934.0,DOWN,-2.11,174.35714285714286,167.5690476190476,164.9173076923077,164.9173076923077,CROSSED_2
17029,117177.0,MOIL,20210521,172.6,173.0,167.15,168.25,753189.0,128220416.0,10450.0,DOWN,-1.87,174.58571428571426,168.31190476190474,165.04074074074074,165.04074074074074,CROSSED_2
17612,134405.0,MOIL,20210524,169.0,174.0,167.45,170.2,1059167.0,180568809.1,14375.0,UP,1.16,174.41785714285714,169.17142857142858,165.225,165.225,CROSSED_2
17711,140186.0,MOIL,20210525,171.45,174.9,170.9,172.4,673608.0,116404839.7,8808.0,UP,1.29,174.92499999999998,170.1738095238095,165.47241379310344,165.47241379310344,CROSSED_2
18221,144974.0,MOIL,20210526,173.3,173.65,170.9,171.15,338089.0,58193732.1,5416.0,DOWN,-0.73,175.42499999999998,171.0690476190476,165.6616666666667,165.6616666666667,CROSSED_2
19009,150733.0,MOIL,20210527,171.7,173.05,168.0,168.4,470007.0,79851631.9,7043.0,DOWN,-1.61,175.77857142857144,171.74761904761903,165.75,165.75,CROSSED_2
19165,157456.0,MOIL,20210528,170.05,174.8,170.05,172.65,1464795.0,253417384.5,15219.0,UP,2.52,175.53571428571428,172.6,165.965625,165.965625,CROSSED_2
19888,172720.0,MOIL,20210531,174.0,181.9,173.7,180.65,2555385.0,457943331.8,27048.0,UP,4.63,175.01785714285714,173.55714285714288,166.41060606060606,166.41060606060606,CROSSED_2
20448,4116.0,MOIL,20210601,182.9,183.15,175.65,178.35,858720.0,153578328.0,11954.0,DOWN,-1.27,174.725,174.1904761904762,166.76176470588234,166.76176470588234,CROSSED_2
20744,9350.0,MOIL,20210602,179.5,182.0,179.25,181.45,749847.0,135619237.65,10409.0,UP,1.74,174.67499999999998,174.6142857142857,167.18142857142857,167.18142857142857,CROSSED_2
21004,15132.0,MOIL,20210603,182.9,183.7,181.2,182.95,820449.0,149749001.4,8725.0,UP,0.83,175.07500000000002,175.4547619047619,167.61944444444444,167.61944444444444,CROSSED_2
21631,21351.0,MOIL,20210604,184.0,186.35,181.95,183.3,1472407.0,271421479.1,14663.0,UP,0.19,175.31071428571428,176.36666666666665,168.04324324324324,168.04324324324324,CROSSED_2
22153,39060.0,MOIL,20210607,193.0,201.0,189.3,191.45,7444800.0,1451515335.0,74699.0,UP,4.45,176.27142857142857,177.70000000000002,168.6592105263158,168.6592105263158,CROSSED_2
22524,45784.0,MOIL,20210608,193.6,197.7,188.5,192.75,2887434.0,558496125.1,31267.0,UP,0.68,177.52857142857144,178.4952380952381,169.27692307692308,169.27692307692308,CROSSED_2
23079,51467.0,MOIL,20210609,193.9,194.9,185.6,186.85,1243699.0,237027365.15,14263.0,DOWN,-3.06,178.62857142857143,178.4452380952381,169.71625,169.71625,CROSSED_2
23480,57243.0,MOIL,20210610,188.8,191.7,188.1,189.45,792606.0,150389266.2,9309.0,UP,1.39,180.14285714285714,178.7785714285714,170.19756097560978,170.19756097560978,CROSSED_2
23903,63042.0,MOIL,20210611,190.65,196.3,189.5,193.15,1822464.0,352993890.4,19608.0,UP,1.95,181.78214285714284,179.30238095238096,170.74404761904762,170.74404761904762,CROSSED_2
24440,78822.0,MOIL,20210614,193.1,194.5,187.05,191.45,823064.0,157563415.75,12086.0,DOWN,-0.88,183.14285714285714,179.9738095238095,171.22558139534883,171.22558139534883,CROSSED_2
