,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
4784,65406.0,MTARTECH,20210412,1018.0,1019.2,957.05,967.15,220266.0,215537282.4,23114.0,-,0,967.15,967.15,967.15,967.15,0
5092,71162.0,MTARTECH,20210413,974.0,988.0,948.7,974.35,256826.0,247546485.15,27066.0,UP,0.74,970.75,970.75,970.75,970.75,0
5825,81685.0,MTARTECH,20210415,981.0,996.35,953.0,960.45,393921.0,379840786.3,17337.0,DOWN,-1.43,967.3166666666666,967.3166666666666,967.3166666666666,967.3166666666666,0
6153,86457.0,MTARTECH,20210416,972.95,977.95,943.05,949.8,221781.0,211037247.8,19027.0,DOWN,-1.11,962.9375,962.9375,962.9375,962.9375,0
6756,103223.0,MTARTECH,20210419,940.0,940.0,914.15,919.5,155531.0,143197334.65,14005.0,DOWN,-3.19,954.25,954.25,954.25,954.25,0
6924,107558.0,MTARTECH,20210420,935.0,960.0,928.05,941.4,153964.0,145012092.1,9725.0,UP,2.38,952.1083333333332,952.1083333333332,952.1083333333332,952.1083333333332,0
7811,118584.0,MTARTECH,20210422,941.1,973.95,936.0,964.75,217613.0,208200685.2,12832.0,UP,2.48,953.9142857142857,953.9142857142857,953.9142857142857,953.9142857142857,0
8078,124820.0,MTARTECH,20210423,962.0,979.0,952.8,957.65,151055.0,145975657.7,7930.0,DOWN,-0.74,954.38125,954.38125,954.38125,954.38125,0
8657,142107.0,MTARTECH,20210426,965.0,969.95,938.0,944.6,117881.0,112700228.7,7595.0,DOWN,-1.36,953.2944444444444,953.2944444444444,953.2944444444444,953.2944444444444,0
8875,146896.0,MTARTECH,20210427,948.0,954.6,945.05,946.15,106876.0,101459980.25,5534.0,UP,0.16,952.5799999999999,952.5799999999999,952.5799999999999,952.5799999999999,0
