,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
4786,65408.0,NAM-INDIA,20210412,345.15,347.7,320.1,326.7,936372.0,306370853.8,17133.0,-,0,326.7,326.7,326.7,326.7,0
5090,71164.0,NAM-INDIA,20210413,325.2,332.0,323.0,329.15,530792.0,173442116.85,10931.0,UP,0.75,327.92499999999995,327.92499999999995,327.92499999999995,327.92499999999995,0
5827,81687.0,NAM-INDIA,20210415,332.0,336.7,324.9,332.7,1062923.0,352629149.6,16079.0,UP,1.08,329.51666666666665,329.51666666666665,329.51666666666665,329.51666666666665,0
6151,86459.0,NAM-INDIA,20210416,332.25,339.15,332.2,337.2,1281299.0,432072547.0,11956.0,UP,1.35,331.4375,331.4375,331.4375,331.4375,0
6758,103225.0,NAM-INDIA,20210419,331.2,331.75,323.3,325.2,392247.0,128072936.55,7796.0,DOWN,-3.56,330.18999999999994,330.18999999999994,330.18999999999994,330.18999999999994,0
6926,107560.0,NAM-INDIA,20210420,327.8,333.5,324.85,327.7,1002282.0,329744774.45,8688.0,UP,0.77,329.775,329.775,329.775,329.775,0
7809,118586.0,NAM-INDIA,20210422,327.5,328.75,324.8,325.65,784202.0,256171810.0,6684.0,DOWN,-0.63,329.18571428571425,329.18571428571425,329.18571428571425,329.18571428571425,0
8080,124822.0,NAM-INDIA,20210423,324.5,329.75,324.5,325.7,771352.0,252461471.65,6159.0,UP,0.02,328.75,328.75,328.75,328.75,0
8659,142109.0,NAM-INDIA,20210426,327.6,332.8,327.05,330.7,1342265.0,443086512.85,12384.0,UP,1.54,328.96666666666664,328.96666666666664,328.96666666666664,328.96666666666664,0
8877,146898.0,NAM-INDIA,20210427,331.95,343.6,329.25,340.65,816843.0,276121554.75,9920.0,UP,3.01,330.135,330.135,330.135,330.135,0
9371,152645.0,NAM-INDIA,20210428,345.9,350.0,335.15,341.4,1345473.0,458823534.65,16000.0,UP,0.22,331.15909090909093,331.15909090909093,331.15909090909093,331.15909090909093,0
10050,158869.0,NAM-INDIA,20210429,343.0,347.65,336.6,342.65,743153.0,254033398.7,11264.0,UP,0.37,332.1166666666666,332.1166666666666,332.1166666666666,332.1166666666666,0
10301,164630.0,NAM-INDIA,20210430,339.8,345.5,338.7,341.7,470876.0,160970533.75,6824.0,DOWN,-0.28,332.8538461538461,332.8538461538461,332.8538461538461,332.8538461538461,0
10921,16594.0,NAM-INDIA,20210503,339.0,340.85,335.05,338.65,475036.0,160693279.8,9707.0,DOWN,-0.89,333.26785714285717,333.26785714285717,333.26785714285717,333.26785714285717,0
11253,22314.0,NAM-INDIA,20210504,340.0,343.65,336.65,340.1,580635.0,197370069.25,5778.0,UP,0.43,334.22499999999997,333.7233333333333,333.7233333333333,333.7233333333333,CROSSED_2
11884,27562.0,NAM-INDIA,20210505,342.0,343.15,336.2,339.1,307449.0,104200316.6,3788.0,DOWN,-0.29,334.93571428571425,334.059375,334.059375,334.059375,CROSSED_2
12411,33318.0,NAM-INDIA,20210506,341.0,347.4,337.75,345.55,697298.0,239743279.7,9414.0,UP,1.9,335.8535714285714,334.7352941176471,334.7352941176471,334.7352941176471,CROSSED_2
12835,40524.0,NAM-INDIA,20210507,347.3,354.0,345.7,350.75,1020836.0,357792557.25,10385.0,UP,1.5,336.82142857142856,335.625,335.625,335.625,CROSSED_2
13405,58701.0,NAM-INDIA,20210510,353.25,355.35,347.15,350.4,453549.0,159005799.95,6094.0,DOWN,-0.1,338.62142857142857,336.40263157894736,336.40263157894736,336.40263157894736,CROSSED_2
13522,64000.0,NAM-INDIA,20210511,345.55,351.75,343.0,349.3,331495.0,115728997.65,4468.0,DOWN,-0.31,340.1642857142857,337.0475,337.0475,337.0475,CROSSED_2
14222,68759.0,NAM-INDIA,20210512,350.7,351.7,343.5,344.9,373114.0,129236002.5,5949.0,DOWN,-1.26,341.53928571428565,337.4214285714285,337.4214285714285,337.4214285714285,CROSSED_2
14823,80280.0,NAM-INDIA,20210514,343.05,348.0,337.25,341.65,387330.0,132473673.4,6966.0,DOWN,-0.94,342.67857142857144,338.1333333333333,337.6136363636364,337.6136363636364,CROSSED_2
15307,96033.0,NAM-INDIA,20210517,341.85,350.0,341.45,346.4,378342.0,131324153.9,6309.0,UP,1.39,343.8,338.9547619047619,337.995652173913,337.995652173913,CROSSED_2
15381,101313.0,NAM-INDIA,20210518,348.0,353.75,347.5,349.6,526508.0,184556931.1,7392.0,UP,0.92,344.43928571428575,339.7595238095238,338.4791666666667,338.4791666666667,CROSSED_2
15843,106125.0,NAM-INDIA,20210519,349.3,357.5,348.15,351.75,768149.0,271064977.05,14141.0,UP,0.61,345.17857142857144,340.45238095238096,339.01,339.01,CROSSED_2
16622,111393.0,NAM-INDIA,20210520,352.3,356.8,348.0,349.65,497346.0,174949630.65,7451.0,DOWN,-0.6,345.67857142857144,341.6166666666667,339.41923076923075,339.41923076923075,CROSSED_2
17036,117184.0,NAM-INDIA,20210521,352.45,356.35,350.0,350.9,600233.0,211382983.85,12486.0,UP,0.36,346.33571428571435,342.72142857142853,339.84444444444443,339.84444444444443,CROSSED_2
17619,134412.0,NAM-INDIA,20210524,354.0,354.0,347.05,351.6,592185.0,207465336.8,7235.0,UP,0.2,347.26071428571424,343.95714285714286,340.2642857142857,340.2642857142857,CROSSED_2
17704,140193.0,NAM-INDIA,20210525,353.8,355.5,347.2,348.6,863787.0,303228543.0,10778.0,DOWN,-0.85,347.8678571428572,345.04761904761904,340.55172413793105,340.55172413793105,CROSSED_2
18214,144981.0,NAM-INDIA,20210526,348.95,351.45,347.7,349.5,269576.0,94256854.6,3448.0,UP,0.26,348.6107142857143,345.9428571428572,340.85,340.85,CROSSED_2
19016,150740.0,NAM-INDIA,20210527,350.9,350.9,346.15,347.85,345200.0,120053116.35,5833.0,DOWN,-0.47,348.775,346.2857142857143,341.0758064516129,341.0758064516129,CROSSED_2
19173,157463.0,NAM-INDIA,20210528,351.0,351.95,344.3,348.65,784609.0,273514846.25,12669.0,UP,0.23,348.625,346.6309523809524,341.3125,341.3125,CROSSED_2
19895,172727.0,NAM-INDIA,20210531,352.0,375.5,351.05,370.5,7127770.0,2618488743.45,89503.0,UP,6.27,350.0607142857143,347.95714285714286,342.1969696969697,342.1969696969697,CROSSED_2
20440,4123.0,NAM-INDIA,20210601,373.55,376.0,363.65,367.5,1693418.0,624279299.3,24133.0,DOWN,-0.81,351.3607142857143,349.1857142857143,342.94117647058823,342.94117647058823,CROSSED_2
20751,9357.0,NAM-INDIA,20210602,367.0,375.75,365.75,372.25,1328413.0,493026722.4,24464.0,UP,1.29,353.31428571428575,350.7857142857143,343.7785714285714,343.7785714285714,CROSSED_2
21011,15139.0,NAM-INDIA,20210603,376.1,376.9,366.25,368.0,730311.0,270104494.75,14851.0,DOWN,-1.14,355.19642857142856,352.11428571428576,344.4513888888889,344.4513888888889,CROSSED_2
21624,21358.0,NAM-INDIA,20210604,370.0,371.9,365.1,369.65,539384.0,198792486.3,9254.0,UP,0.45,356.85714285714283,353.56904761904764,345.13243243243244,345.13243243243244,CROSSED_2
22160,39067.0,NAM-INDIA,20210607,371.1,385.5,368.85,377.0,2818782.0,1068734262.8,35522.0,UP,1.99,358.8142857142857,355.06666666666666,345.9710526315789,345.9710526315789,CROSSED_2
22531,45791.0,NAM-INDIA,20210608,377.0,381.85,370.05,375.85,1028562.0,386974546.4,16099.0,DOWN,-0.31,360.5357142857143,356.26190476190476,346.7371794871795,346.7371794871795,CROSSED_2
23086,51474.0,NAM-INDIA,20210609,378.2,384.15,369.0,372.75,1384607.0,521929196.35,25269.0,DOWN,-0.82,362.1857142857143,357.3261904761905,347.3875,347.3875,CROSSED_2
23487,57250.0,NAM-INDIA,20210610,372.0,384.0,368.4,377.7,1848357.0,698056744.95,28487.0,UP,1.33,364.1,358.67857142857144,348.1268292682927,348.1268292682927,CROSSED_2
23910,63049.0,NAM-INDIA,20210611,379.75,380.0,370.05,372.0,1037342.0,386827882.3,12115.0,DOWN,-1.51,365.5571428571429,359.9690476190476,348.6952380952381,348.6952380952381,CROSSED_2
24447,78829.0,NAM-INDIA,20210614,372.0,372.9,362.95,371.5,719090.0,265044928.7,11800.0,DOWN,-0.13,367.1928571428571,361.3904761904762,349.2255813953488,349.2255813953488,CROSSED_2
24728,84063.0,NAM-INDIA,20210615,371.85,374.3,369.5,372.1,564582.0,209957990.45,6930.0,UP,0.16,368.8071428571429,362.61428571428576,349.74545454545455,349.74545454545455,CROSSED_2
25499,89291.0,NAM-INDIA,20210616,372.95,372.95,364.2,366.9,1178876.0,433276782.15,19160.0,DOWN,-1.4,370.16785714285714,363.43809523809523,350.12666666666667,350.12666666666667,CROSSED_2
25854,94582.0,NAM-INDIA,20210617,366.5,366.5,358.4,360.6,933350.0,338964731.85,12885.0,DOWN,-1.72,371.0214285714286,363.8595238095238,350.35434782608695,350.35434782608695,CROSSED_2
26361,100853.0,NAM-INDIA,20210618,361.2,362.65,350.1,356.2,656121.0,233285253.7,11201.0,DOWN,-1.22,370.0,364.1714285714286,350.47872340425533,350.47872340425533,CROSSED_2
26455,115733.0,NAM-INDIA,20210621,351.95,357.25,350.1,356.05,496004.0,175848071.2,8739.0,DOWN,-0.04,369.1821428571429,364.4166666666667,350.59479166666665,350.59479166666665,CROSSED_2
27060,121958.0,NAM-INDIA,20210622,359.0,362.65,356.6,357.95,1020293.0,367360350.0,12260.0,UP,0.53,368.1607142857143,364.7190476190476,350.7448979591837,350.7448979591837,CROSSED_2
27610,127660.0,NAM-INDIA,20210623,359.0,361.0,353.0,358.6,853784.0,304564668.55,11750.0,UP,0.18,367.4892857142857,365.1952380952381,350.902,350.902,CROSSED_2
28059,132960.0,NAM-INDIA,20210624,359.5,360.9,352.95,358.95,907165.0,323266081.95,11238.0,UP,0.1,366.725,365.6452380952381,351.54699999999997,351.05980392156863,CROSSED_2
28568,139240.0,NAM-INDIA,20210625,362.3,365.4,355.5,362.2,1100323.0,397087961.6,14955.0,UP,0.91,365.66785714285714,366.3285714285715,352.208,351.27403846153845,CROSSED_2
28724,156011.0,NAM-INDIA,20210628,362.2,371.5,361.0,368.15,1141826.0,417995239.35,18899.0,UP,1.64,365.11785714285713,367.25714285714287,352.91700000000003,351.59245283018873,CROSSED_2
29379,161759.0,NAM-INDIA,20210629,370.0,372.3,362.55,366.9,1049386.0,384276992.15,12554.0,DOWN,-0.34,364.69999999999993,367.08571428571423,353.51099999999997,351.8759259259259,CROSSED_2
29632,166984.0,NAM-INDIA,20210630,367.75,372.0,365.25,366.2,992389.0,366041188.75,11080.0,DOWN,-0.19,363.87857142857143,367.0238095238095,354.33099999999996,352.1363636363636,CROSSED_2
30327,3162.0,NAM-INDIA,20210701,369.0,373.9,366.0,371.7,715152.0,265042024.4,11563.0,UP,1.5,363.85714285714283,366.997619047619,355.211,352.4857142857143,CROSSED_2
30651,8896.0,NAM-INDIA,20210702,371.55,375.0,368.2,372.8,600705.0,223638279.3,10226.0,UP,0.3,363.95,367.2261904761905,356.154,352.8421052631579,CROSSED_2
31152,26602.0,NAM-INDIA,20210705,377.3,377.3,368.0,375.6,593616.0,222349129.95,8614.0,UP,0.75,364.19999999999993,367.5095238095238,357.152,353.2344827586207,CROSSED_2
31689,31859.0,NAM-INDIA,20210706,376.8,381.4,370.1,371.45,1092811.0,410744016.5,12843.0,DOWN,-1.1,364.52500000000003,367.24523809523805,357.967,353.543220338983,CROSSED_2
32122,38107.0,NAM-INDIA,20210707,371.45,377.0,368.0,375.65,756658.0,282542628.5,8797.0,UP,1.13,365.59999999999997,367.23571428571427,358.66700000000003,353.9116666666667,CROSSED_2
32481,44831.0,NAM-INDIA,20210708,375.65,391.6,373.3,377.6,3776801.0,1447354212.5,49868.0,UP,0.52,367.1285714285714,367.46666666666664,359.39099999999996,354.3,CROSSED_2
33142,51020.0,NAM-INDIA,20210709,378.0,378.85,372.15,377.85,665927.0,250160397.45,8206.0,UP,0.07,368.68571428571425,367.4738095238095,360.095,354.6798387096774,CROSSED_2
33649,67799.0,NAM-INDIA,20210712,379.0,382.55,374.0,380.6,889233.0,336766272.55,12687.0,UP,0.73,370.30357142857144,367.8833333333333,360.87300000000005,355.0912698412698,CROSSED_2
33950,73535.0,NAM-INDIA,20210713,382.7,383.7,377.35,380.15,483270.0,183998933.8,7274.0,DOWN,-0.12,371.84285714285716,368.29523809523806,361.70300000000003,355.4828125,CROSSED_2
34403,77876.0,NAM-INDIA,20210714,378.9,391.9,378.85,386.2,1513555.0,586458357.45,20541.0,UP,1.59,373.78928571428565,368.96666666666664,362.625,355.9553846153846,CROSSED_2
34636,83110.0,NAM-INDIA,20210715,388.4,401.0,384.4,396.35,2713384.0,1071227273.05,34411.0,UP,2.63,376.2285714285714,370.3690476190476,363.77,356.56742424242424,CROSSED_2
35300,88837.0,NAM-INDIA,20210716,398.3,439.35,397.2,418.6,13005295.0,5519243496.3,148605.0,UP,5.61,379.8321428571429,373.1309523809524,365.231,357.49328358208953,CROSSED_2
35663,105165.0,NAM-INDIA,20210719,414.0,420.9,400.5,405.35,3060902.0,1258403015.15,46576.0,DOWN,-3.17,382.57857142857137,375.47142857142853,366.32300000000004,358.19705882352946,CROSSED_2
36366,109934.0,NAM-INDIA,20210720,406.8,422.7,394.8,397.9,4010617.0,1630389563.05,50937.0,DOWN,-1.84,384.84285714285716,377.4642857142857,367.27299999999997,358.7724637681159,CROSSED_2
36535,121006.0,NAM-INDIA,20210722,405.0,405.15,395.05,397.6,1150652.0,460337363.2,14086.0,DOWN,-0.08,386.6928571428571,379.35238095238094,368.23900000000003,359.32714285714286,CROSSED_2
