,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
4788,65410.0,NATIONALUM,20210412,57.85,57.85,52.75,53.7,27358620.0,1504176019.35,48010.0,-,0,53.7,53.7,53.7,53.7,0
5088,71166.0,NATIONALUM,20210413,54.15,56.1,53.6,55.9,18092644.0,993181693.25,29042.0,UP,4.1,54.8,54.8,54.8,54.8,0
5829,81689.0,NATIONALUM,20210415,56.5,58.45,56.0,58.05,29263919.0,1678659699.15,45970.0,UP,3.85,55.88333333333333,55.88333333333333,55.88333333333333,55.88333333333333,0
6149,86461.0,NATIONALUM,20210416,58.5,60.5,58.1,58.95,36637198.0,2181634161.9,56571.0,UP,1.55,56.65,56.65,56.65,56.65,0
6760,103227.0,NATIONALUM,20210419,56.5,58.2,56.0,57.3,21241428.0,1219664819.9,36365.0,DOWN,-2.8,56.779999999999994,56.779999999999994,56.779999999999994,56.779999999999994,0
6928,107562.0,NATIONALUM,20210420,58.3,58.8,56.0,56.6,17092853.0,983204858.45,22968.0,DOWN,-1.22,56.75,56.75,56.75,56.75,0
7807,118588.0,NATIONALUM,20210422,56.7,57.7,55.0,56.65,15214122.0,865447220.1,25761.0,UP,0.09,56.73571428571428,56.73571428571428,56.73571428571428,56.73571428571428,0
8082,124824.0,NATIONALUM,20210423,56.5,58.25,56.0,56.75,18244497.0,1044712331.65,24306.0,UP,0.18,56.7375,56.7375,56.7375,56.7375,0
8661,142111.0,NATIONALUM,20210426,57.65,58.65,57.05,57.9,19648259.0,1137187551.9,24883.0,UP,2.03,56.86666666666667,56.86666666666667,56.86666666666667,56.86666666666667,0
8879,146900.0,NATIONALUM,20210427,57.8,61.7,57.8,60.9,57943087.0,3522466705.85,71203.0,UP,5.18,57.27,57.27,57.27,57.27,0
