,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
4789,65411.0,NAUKRI,20210412,4650.0,4776.05,4503.0,4751.1,863443.0,4002325614.85,69443.0,-,0,4751.1,4751.1,4751.1,4751.1,0
5087,71167.0,NAUKRI,20210413,4780.0,4800.0,4520.0,4556.85,594178.0,2740842422.9,60593.0,DOWN,-4.09,4653.975,4653.975,4653.975,4653.975,0
5830,81690.0,NAUKRI,20210415,4560.0,4618.8,4372.55,4580.5,754385.0,3380496652.5,64082.0,UP,0.52,4629.483333333334,4629.483333333334,4629.483333333334,4629.483333333334,0
6148,86462.0,NAUKRI,20210416,4591.0,4730.0,4565.0,4674.15,580976.0,2703847634.95,46931.0,UP,2.04,4640.65,4640.65,4640.65,4640.65,0
6761,103228.0,NAUKRI,20210419,4500.0,4788.0,4451.6,4696.5,737044.0,3450679017.2,70696.0,UP,0.48,4651.82,4651.82,4651.82,4651.82,0
6929,107563.0,NAUKRI,20210420,4675.0,4830.0,4655.0,4777.0,801310.0,3798024095.6,66618.0,UP,1.71,4672.683333333333,4672.683333333333,4672.683333333333,4672.683333333333,0
7806,118589.0,NAUKRI,20210422,4799.95,4846.0,4704.3,4827.55,598002.0,2870502075.75,53494.0,UP,1.06,4694.807142857143,4694.807142857143,4694.807142857143,4694.807142857143,0
8083,124825.0,NAUKRI,20210423,4771.0,4948.8,4770.0,4876.3,965038.0,4721105046.2,74910.0,UP,1.01,4717.49375,4717.49375,4717.49375,4717.49375,0
8662,142112.0,NAUKRI,20210426,4919.95,4958.5,4843.0,4892.3,536668.0,2623892292.65,44097.0,UP,0.33,4736.916666666667,4736.916666666667,4736.916666666667,4736.916666666667,0
8880,146901.0,NAUKRI,20210427,4892.3,4972.4,4860.9,4950.05,398963.0,1966440336.55,32770.0,UP,1.18,4758.2300000000005,4758.2300000000005,4758.2300000000005,4758.2300000000005,0
9368,152648.0,NAUKRI,20210428,5044.15,5098.5,4975.1,5020.85,905515.0,4563954947.85,74921.0,UP,1.43,4782.104545454546,4782.104545454546,4782.104545454546,4782.104545454546,0
10053,158872.0,NAUKRI,20210429,5049.75,5055.05,4925.05,5008.95,474872.0,2368928262.05,35238.0,DOWN,-0.24,4801.008333333333,4801.008333333333,4801.008333333333,4801.008333333333,0
10297,164633.0,NAUKRI,20210430,4945.55,5043.85,4866.0,4914.7,286271.0,1421010201.65,34029.0,DOWN,-1.88,4809.753846153846,4809.753846153846,4809.753846153846,4809.753846153846,0
10918,16597.0,NAUKRI,20210503,4880.0,4899.0,4825.0,4864.95,372170.0,1807283180.7,30867.0,DOWN,-1.01,4813.696428571428,4813.696428571428,4813.696428571428,4813.696428571428,0
11256,22317.0,NAUKRI,20210504,4866.0,4911.0,4752.05,4788.5,343667.0,1649792702.8,33561.0,DOWN,-1.57,4816.367857142858,4812.016666666666,4812.016666666666,4812.016666666666,CROSSED_2
11887,27565.0,NAUKRI,20210505,4800.0,4861.0,4672.0,4838.8,577970.0,2753089714.75,49077.0,UP,1.05,4836.507142857142,4813.690625,4813.690625,4813.690625,CROSSED_2
12408,33321.0,NAUKRI,20210506,4879.0,4879.0,4722.0,4758.45,425636.0,2028326372.85,26311.0,DOWN,-1.66,4849.217857142858,4810.441176470588,4810.441176470588,4810.441176470588,CROSSED_2
12675,40527.0,NAUKRI,20210507,4765.15,4797.05,4653.0,4677.3,454832.0,2136642530.85,27337.0,DOWN,-1.71,4849.442857142857,4803.044444444445,4803.044444444445,4803.044444444445,CROSSED_2
13402,58704.0,NAUKRI,20210510,4670.0,4718.45,4605.15,4619.0,315650.0,1466057468.9,34399.0,DOWN,-1.25,4843.907142857142,4793.357894736842,4793.357894736842,4793.357894736842,CROSSED_2
13519,64003.0,NAUKRI,20210511,4619.0,4619.0,4476.55,4484.05,507012.0,2292518332.45,55221.0,DOWN,-2.92,4822.982142857143,4777.8925,4777.8925,4777.8925,CROSSED_2
14225,68762.0,NAUKRI,20210512,4480.2,4482.0,4340.0,4354.65,713604.0,3128723211.6,76901.0,DOWN,-2.89,4789.203571428572,4757.738095238095,4757.738095238095,4757.738095238095,CROSSED_2
