,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
4792,65414.0,NBCC,20210412,44.7,45.0,39.8,41.3,20724770.0,872910970.6,60154.0,-,0,41.3,41.3,41.3,41.3,0
5084,71170.0,NBCC,20210413,41.9,43.35,41.5,43.0,10789818.0,459890522.15,29994.0,UP,4.12,42.15,42.15,42.15,42.15,0
5833,81693.0,NBCC,20210415,42.8,42.9,41.35,41.95,7714444.0,323716878.95,22362.0,DOWN,-2.44,42.083333333333336,42.083333333333336,42.083333333333336,42.083333333333336,0
6145,86465.0,NBCC,20210416,42.3,42.5,41.5,41.75,5449947.0,228841321.2,18122.0,DOWN,-0.48,42.0,42.0,42.0,42.0,0
6764,103231.0,NBCC,20210419,39.6,40.05,38.2,39.15,14488550.0,565888215.8,42699.0,DOWN,-6.23,41.43,41.43,41.43,41.43,0
6932,107566.0,NBCC,20210420,39.85,40.95,39.3,39.75,7385533.0,296601190.55,21370.0,UP,1.53,41.15,41.15,41.15,41.15,0
7803,118592.0,NBCC,20210422,39.7,40.35,38.8,40.0,6674581.0,264159545.55,18950.0,UP,0.63,40.98571428571428,40.98571428571428,40.98571428571428,40.98571428571428,0
8086,124828.0,NBCC,20210423,39.35,40.85,39.35,39.75,7217660.0,289044918.4,15963.0,DOWN,-0.62,40.83125,40.83125,40.83125,40.83125,0
8491,142115.0,NBCC,20210426,40.0,40.75,39.8,39.95,6724037.0,270816714.05,16102.0,UP,0.5,40.733333333333334,40.733333333333334,40.733333333333334,40.733333333333334,0
8883,146904.0,NBCC,20210427,40.0,41.9,39.7,41.65,9581185.0,394420002.3,21155.0,UP,4.26,40.825,40.825,40.825,40.825,0
9365,152651.0,NBCC,20210428,41.9,42.25,41.6,41.75,5948044.0,249087864.35,13635.0,UP,0.24,40.90909090909091,40.90909090909091,40.90909090909091,40.90909090909091,0
10056,158875.0,NBCC,20210429,41.7,42.3,40.8,41.15,6111217.0,253214295.45,15065.0,DOWN,-1.44,40.92916666666667,40.92916666666667,40.92916666666667,40.92916666666667,0
10294,164636.0,NBCC,20210430,40.0,41.5,40.0,40.6,5497141.0,224906757.8,15618.0,DOWN,-1.34,40.90384615384615,40.90384615384615,40.90384615384615,40.90384615384615,0
10915,16600.0,NBCC,20210503,40.25,42.1,39.9,41.55,8276019.0,340160469.05,18998.0,UP,2.34,40.949999999999996,40.949999999999996,40.949999999999996,40.949999999999996,0
11259,22320.0,NBCC,20210504,41.95,45.2,41.95,42.85,22789683.0,991313470.9,47240.0,UP,3.13,41.06071428571429,41.07666666666667,41.07666666666667,41.07666666666667,WILL_CROSS_1
11890,27568.0,NBCC,20210505,43.6,44.5,42.6,44.15,11178582.0,489617303.05,27586.0,UP,3.03,41.142857142857146,41.26875,41.26875,41.26875,WILL_CROSS_1
12405,33324.0,NBCC,20210506,45.0,45.45,44.3,44.75,9110031.0,408211410.05,23318.0,UP,1.36,41.34285714285714,41.4735294117647,41.4735294117647,41.4735294117647,WILL_CROSS_1
12678,40530.0,NBCC,20210507,45.1,45.4,43.8,44.0,7234636.0,320688416.9,18410.0,DOWN,-1.68,41.503571428571426,41.61388888888889,41.61388888888889,41.61388888888889,WILL_CROSS_1
13399,58707.0,NBCC,20210510,44.6,48.4,44.1,47.75,28913737.0,1343460844.65,59592.0,UP,8.52,42.11785714285714,41.93684210526315,41.93684210526315,41.93684210526315,CROSSED_2
13516,64006.0,NBCC,20210511,47.45,51.0,46.5,50.15,37115202.0,1830490738.25,80330.0,UP,5.03,42.86071428571429,42.347500000000004,42.347500000000004,42.347500000000004,CROSSED_2
14228,68765.0,NBCC,20210512,50.9,51.8,49.0,50.1,32339353.0,1645387813.05,64890.0,DOWN,-0.1,43.582142857142856,42.71666666666666,42.71666666666666,42.71666666666666,CROSSED_2
