,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
4799,65421.0,NIACL,20210412,156.5,156.5,145.0,145.75,845044.0,126161103.35,13813.0,-,0,145.75,145.75,145.75,145.75,0
5077,71177.0,NIACL,20210413,148.8,152.4,147.25,149.35,802653.0,120125608.75,9061.0,UP,2.47,147.55,147.55,147.55,147.55,0
5840,81700.0,NIACL,20210415,147.5,150.65,144.0,145.25,541799.0,79191688.65,11724.0,DOWN,-2.75,146.78333333333333,146.78333333333333,146.78333333333333,146.78333333333333,0
6260,86472.0,NIACL,20210416,146.4,155.7,145.6,148.9,2075651.0,315212024.0,25204.0,UP,2.51,147.3125,147.3125,147.3125,147.3125,0
6771,103238.0,NIACL,20210419,145.6,145.6,142.15,144.4,394344.0,56772557.95,5666.0,DOWN,-3.02,146.73,146.73,146.73,146.73,0
6939,107573.0,NIACL,20210420,146.9,159.7,146.25,148.6,2302088.0,348214556.65,25516.0,UP,2.91,147.04166666666666,147.04166666666666,147.04166666666666,147.04166666666666,0
7796,118599.0,NIACL,20210422,147.95,156.0,147.5,150.7,1797590.0,273159765.65,23408.0,UP,1.41,147.56428571428572,147.56428571428572,147.56428571428572,147.56428571428572,0
8093,124835.0,NIACL,20210423,151.0,152.5,147.6,148.9,478897.0,71808765.65,8885.0,DOWN,-1.19,147.73125,147.73125,147.73125,147.73125,0
8672,142122.0,NIACL,20210426,149.9,151.75,148.65,148.95,327123.0,48985749.35,5093.0,UP,0.03,147.86666666666667,147.86666666666667,147.86666666666667,147.86666666666667,0
8890,146911.0,NIACL,20210427,149.9,152.0,149.05,149.45,510231.0,76789255.6,5349.0,UP,0.34,148.025,148.025,148.025,148.025,0
9358,152658.0,NIACL,20210428,149.9,150.95,147.75,148.1,345774.0,51551669.45,7340.0,DOWN,-0.9,148.03181818181818,148.03181818181818,148.03181818181818,148.03181818181818,0
10063,158882.0,NIACL,20210429,148.5,151.75,145.35,146.25,650696.0,96545840.35,10483.0,DOWN,-1.25,147.88333333333333,147.88333333333333,147.88333333333333,147.88333333333333,0
10288,164643.0,NIACL,20210430,146.25,147.9,145.5,145.85,309312.0,45373588.75,6722.0,DOWN,-0.27,147.72692307692307,147.72692307692307,147.72692307692307,147.72692307692307,0
10908,16607.0,NIACL,20210503,145.85,148.0,143.5,147.15,720732.0,105511498.0,13663.0,UP,0.89,147.68571428571428,147.68571428571428,147.68571428571428,147.68571428571428,0
11266,22327.0,NIACL,20210504,155.0,159.8,154.0,155.65,3910263.0,613793655.45,42913.0,UP,5.78,148.39285714285714,148.21666666666667,148.21666666666667,148.21666666666667,CROSSED_2
11897,27575.0,NIACL,20210505,157.0,158.1,153.6,154.25,465831.0,72342056.45,9537.0,DOWN,-0.9,148.74285714285716,148.59375,148.59375,148.59375,CROSSED_2
12398,33331.0,NIACL,20210506,155.0,155.5,151.55,152.55,311601.0,47696989.8,6749.0,DOWN,-1.1,149.26428571428573,148.8264705882353,148.8264705882353,148.8264705882353,CROSSED_2
12685,40537.0,NIACL,20210507,153.65,153.95,150.55,151.15,362717.0,55183882.15,6235.0,DOWN,-0.92,149.42499999999998,148.95555555555555,148.95555555555555,148.95555555555555,CROSSED_2
13392,58714.0,NIACL,20210510,152.85,154.2,151.15,152.35,429429.0,65587895.0,7334.0,UP,0.79,149.99285714285716,149.1342105263158,149.1342105263158,149.1342105263158,CROSSED_2
13509,64013.0,NIACL,20210511,151.05,158.0,150.3,157.0,923613.0,143131059.15,13228.0,UP,3.05,150.59285714285716,149.5275,149.5275,149.5275,CROSSED_2
14235,68772.0,NIACL,20210512,158.0,158.5,152.1,154.25,593577.0,92361975.15,12222.0,DOWN,-1.75,150.84642857142856,149.75238095238097,149.75238095238097,149.75238095238097,CROSSED_2
14836,80293.0,NIACL,20210514,154.55,155.15,151.85,152.5,306983.0,46971743.85,7645.0,DOWN,-1.13,151.10357142857146,150.07380952380953,149.87727272727273,149.87727272727273,CROSSED_2
15294,96046.0,NIACL,20210517,152.8,153.0,150.0,151.2,285213.0,43142250.3,5291.0,DOWN,-0.85,151.2642857142857,150.16190476190476,149.93478260869566,149.93478260869566,CROSSED_2
15368,101326.0,NIACL,20210518,152.0,153.4,151.55,152.85,356273.0,54359135.1,7040.0,UP,1.09,151.50714285714284,150.52380952380952,150.05625,150.05625,CROSSED_2
15830,106138.0,NIACL,20210519,152.9,168.5,152.8,165.1,7816312.0,1282479198.45,70674.0,UP,8.01,152.72142857142856,151.2952380952381,150.658,150.658,CROSSED_2
16635,111406.0,NIACL,20210520,166.5,170.45,163.35,165.8,2068282.0,346028696.7,28906.0,UP,0.42,154.11785714285716,152.31428571428572,151.2403846153846,151.2403846153846,CROSSED_2
17049,117197.0,NIACL,20210521,166.5,167.15,162.7,164.0,720091.0,118634526.55,10580.0,DOWN,-1.09,155.41428571428568,153.04761904761904,151.71296296296296,151.71296296296296,CROSSED_2
