,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
45533,125297.0,NUVOCO,20210823,485.0,550.0,485.0,531.7,22080190.0,11670972979.75,375401.0,-,0,531.7,531.7,531.7,531.7,0
46282,130565.0,NUVOCO,20210824,532.0,564.95,507.15,520.55,5703185.0,3068742359.65,227827.0,DOWN,-2.1,526.125,526.125,526.125,526.125,0
46685,136829.0,NUVOCO,20210825,522.05,535.0,521.1,532.65,1295995.0,684502711.05,39040.0,UP,2.32,528.3000000000001,528.3000000000001,528.3000000000001,528.3000000000001,0
46909,143081.0,NUVOCO,20210826,532.9,538.8,522.4,528.55,1535636.0,810671257.4,28259.0,DOWN,-0.77,528.3625,528.3625,528.3625,528.3625,0
47399,147871.0,NUVOCO,20210827,525.0,538.0,520.2,535.9,980070.0,517724743.65,33840.0,UP,1.39,529.87,529.87,529.87,529.87,0
47846,165108.0,NUVOCO,20210830,542.0,565.0,529.2,542.8,1890032.0,1035282537.9,56273.0,UP,1.29,532.025,532.025,532.025,532.025,0
48488,170355.0,NUVOCO,20210831,550.0,559.8,539.6,556.15,931453.0,513958695.55,29004.0,UP,2.46,535.4714285714285,535.4714285714285,535.4714285714285,535.4714285714285,0
48873,6039.0,NUVOCO,20210901,560.0,571.9,555.95,562.2,1565064.0,883965269.75,48842.0,UP,1.09,538.8125,538.8125,538.8125,538.8125,0
49433,11790.0,NUVOCO,20210902,563.5,570.0,555.95,564.35,826114.0,464757741.2,23294.0,UP,0.38,541.6500000000001,541.6500000000001,541.6500000000001,541.6500000000001,0
49882,17544.0,NUVOCO,20210903,564.35,567.25,555.0,560.85,481989.0,269792455.55,15343.0,DOWN,-0.62,543.5699999999999,543.5699999999999,543.5699999999999,543.5699999999999,0
50148,34758.0,NUVOCO,20210906,562.0,577.9,560.2,567.4,1038320.0,591506880.1,41828.0,UP,1.17,545.7363636363636,545.7363636363636,545.7363636363636,545.7363636363636,0
50490,41469.0,NUVOCO,20210907,574.0,577.0,556.3,560.4,1016848.0,578176365.45,33410.0,DOWN,-1.23,546.9583333333334,546.9583333333334,546.9583333333334,546.9583333333334,0
51209,48198.0,NUVOCO,20210908,563.5,563.9,552.0,553.4,331856.0,185236844.9,11385.0,DOWN,-1.25,547.4538461538461,547.4538461538461,547.4538461538461,547.4538461538461,0
51620,53904.0,NUVOCO,20210909,553.0,553.1,542.1,546.75,494998.0,270360431.15,12082.0,DOWN,-1.2,547.4035714285714,547.4035714285714,547.4035714285714,547.4035714285714,0
52015,75978.0,NUVOCO,20210913,545.0,551.5,542.0,544.8,223610.0,122506013.2,7253.0,DOWN,-0.36,548.3392857142857,547.23,547.23,547.23,CROSSED_2
52333,81235.0,NUVOCO,20210914,542.55,555.5,542.55,552.05,482527.0,265851425.25,15143.0,UP,1.33,550.5892857142857,547.53125,547.53125,547.53125,CROSSED_2
53274,86007.0,NUVOCO,20210915,555.0,557.9,550.05,554.55,595194.0,330054398.25,12952.0,UP,0.45,552.1535714285714,547.9441176470588,547.9441176470588,547.9441176470588,CROSSED_2
53551,97489.0,NUVOCO,20210917,558.0,562.05,537.5,538.6,817009.0,442987487.45,19504.0,DOWN,-2.88,552.8714285714285,547.425,547.425,547.425,CROSSED_2
54078,112845.0,NUVOCO,20210920,536.0,543.95,535.25,539.7,440764.0,237889454.15,20472.0,UP,0.2,553.1428571428571,547.0184210526317,547.0184210526317,547.0184210526317,CROSSED_2
54314,118137.0,NUVOCO,20210921,540.0,544.85,532.0,536.3,419127.0,225589062.6,14582.0,DOWN,-0.63,552.6785714285714,546.4825,546.4825,546.4825,CROSSED_2
55070,124373.0,NUVOCO,20210922,536.3,552.5,536.1,545.0,835616.0,454735764.5,16564.0,UP,1.62,551.8821428571429,546.4119047619048,546.4119047619048,546.4119047619048,CROSSED_2
55218,130104.0,NUVOCO,20210923,554.75,554.75,549.0,552.0,368460.0,203345587.55,16742.0,UP,1.28,551.1535714285714,547.3785714285714,546.665909090909,546.665909090909,CROSSED_2
56016,135873.0,NUVOCO,20210924,552.6,562.0,551.95,553.45,402319.0,223897668.2,29801.0,UP,0.26,550.3749999999999,548.9452380952381,546.9608695652174,546.9608695652174,CROSSED_2
56222,152193.0,NUVOCO,20210927,560.0,562.4,550.9,552.35,354994.0,196860277.0,21108.0,DOWN,-0.2,549.7678571428571,549.8833333333333,547.1854166666667,547.1854166666667,CROSSED_2
56798,158417.0,NUVOCO,20210928,559.75,559.75,540.05,547.7,449949.0,247023005.7,14618.0,DOWN,-0.84,548.3607142857143,550.795238095238,547.206,547.206,CROSSED_2
57279,164178.0,NUVOCO,20210929,545.05,547.9,542.3,545.15,337031.0,183189769.0,6986.0,DOWN,-0.47,547.2714285714286,551.2357142857143,547.126923076923,547.126923076923,CROSSED_2
57765,169892.0,NUVOCO,20210930,543.5,546.0,538.65,543.5,193616.0,104904877.6,8204.0,DOWN,-0.3,546.5642857142858,551.2690476190476,546.9925925925926,546.9925925925926,WILL_CROSS_1
58131,5576.0,NUVOCO,20211001,543.5,548.0,540.5,545.75,246944.0,134550272.15,10332.0,UP,0.41,546.4928571428571,550.7738095238095,546.9482142857142,546.9482142857142,WILL_CROSS_1
58483,23763.0,NUVOCO,20211004,548.1,552.5,548.0,551.15,153098.0,84230285.8,7953.0,UP,0.99,546.9464285714286,550.2476190476191,547.0931034482759,547.0931034482759,WILL_CROSS_1
59220,28539.0,NUVOCO,20211005,550.0,560.0,547.0,554.4,233997.0,129553940.2,11997.0,UP,0.59,547.1142857142856,549.7738095238095,547.3366666666666,547.3366666666666,WILL_CROSS_1
59462,34295.0,NUVOCO,20211006,555.0,559.8,551.0,555.75,483458.0,268609759.05,13377.0,UP,0.24,547.1999999999999,549.5309523809524,547.6080645161289,547.6080645161289,WILL_CROSS_1
59975,41006.0,NUVOCO,20211007,560.0,561.0,542.35,549.4,1571412.0,866267707.5,17758.0,DOWN,-1.14,547.9714285714286,548.6738095238095,547.6640625,547.6640625,CROSSED_2
60601,47735.0,NUVOCO,20211008,550.0,554.4,545.05,547.75,122795.0,67225387.7,7547.0,DOWN,-0.3,548.5464285714286,548.0714285714286,547.6666666666666,547.6666666666666,CROSSED_2
60932,64958.0,NUVOCO,20211011,544.1,558.0,541.5,544.95,306492.0,168245994.2,14136.0,DOWN,-0.51,549.1642857142857,547.6690476190475,547.5867647058824,547.5867647058824,CROSSED_2
61278,70211.0,NUVOCO,20211012,542.1,548.35,535.35,536.4,177574.0,95565558.15,9702.0,DOWN,-1.57,548.55,547.1761904761905,547.2671428571429,547.2671428571429,CROSSED_2
61688,75505.0,NUVOCO,20211013,539.7,539.7,526.95,534.5,381592.0,203061032.65,14969.0,DOWN,-0.35,547.3,546.6857142857143,546.9124999999999,546.9124999999999,CROSSED_2
62226,80762.0,NUVOCO,20211014,531.1,549.6,527.15,528.9,437661.0,234453408.6,18741.0,DOWN,-1.05,545.5464285714286,545.5833333333334,546.4256756756756,546.4256756756756,WILL_CROSS_1
62778,102771.0,NUVOCO,20211018,534.7,534.7,525.3,530.0,372884.0,197061970.9,28691.0,UP,0.21,543.95,544.4142857142857,545.9934210526316,545.9934210526316,WILL_CROSS_1
63203,107106.0,NUVOCO,20211019,530.0,531.7,524.2,525.95,257763.0,135698770.95,9844.0,DOWN,-0.76,542.3964285714286,543.8119047619048,545.4794871794873,545.4794871794873,WILL_CROSS_1
63590,112374.0,NUVOCO,20211020,525.0,526.6,504.2,520.35,793648.0,412417396.05,14539.0,DOWN,-1.06,540.625,542.8904761904762,544.8512499999999,544.8512499999999,WILL_CROSS_1
64116,117666.0,NUVOCO,20211021,519.55,525.2,515.05,519.7,161518.0,83920915.65,8046.0,DOWN,-0.12,538.925,542.1,544.2378048780488,544.2378048780488,WILL_CROSS_1
64589,123902.0,NUVOCO,20211022,522.45,522.5,506.0,508.55,147126.0,75397841.4,10262.0,DOWN,-2.15,536.2678571428571,540.3642857142856,543.3880952380953,543.3880952380953,WILL_CROSS_1
