,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
92238,73092.0,PCBL,20220113,246.8,249.45,242.1,244.6,583316.0,143484615.7,7125.0,-,0,244.6,244.6,244.6,244.6,0
92637,77433.0,PCBL,20220114,243.75,245.85,241.2,242.45,351051.0,85274753.25,5701.0,DOWN,-0.88,243.52499999999998,243.52499999999998,243.52499999999998,243.52499999999998,0
92897,94138.0,PCBL,20220117,245.0,252.95,244.25,251.6,1394520.0,347974461.15,17178.0,UP,3.77,246.21666666666667,246.21666666666667,246.21666666666667,246.21666666666667,0
93720,99911.0,PCBL,20220118,252.5,254.5,242.55,244.75,1260476.0,316568361.15,13241.0,DOWN,-2.72,245.85,245.85,245.85,245.85,0
94094,104720.0,PCBL,20220119,245.5,248.0,241.65,246.3,610414.0,149341780.15,10654.0,UP,0.63,245.94,245.94,245.94,245.94,0
94292,109490.0,PCBL,20220120,246.3,252.0,234.1,235.8,1619931.0,391332022.7,24289.0,DOWN,-4.26,244.25,244.25,244.25,244.25,0
94794,114792.0,PCBL,20220121,235.0,239.35,222.85,233.15,1119188.0,261428882.4,17365.0,DOWN,-1.12,242.66428571428574,242.66428571428574,242.66428571428574,242.66428571428574,0
95568,132518.0,PCBL,20220124,242.4,242.4,225.95,229.5,1401364.0,328277703.3,26597.0,DOWN,-1.57,241.01875,241.01875,241.01875,241.01875,0
96084,138299.0,PCBL,20220125,228.75,236.0,226.15,234.35,626247.0,145490873.85,12204.0,UP,2.11,240.27777777777777,240.27777777777777,240.27777777777777,240.27777777777777,0
96237,148837.0,PCBL,20220127,234.35,237.9,230.6,233.35,733699.0,171102143.95,11992.0,DOWN,-0.43,239.58499999999998,239.58499999999998,239.58499999999998,239.58499999999998,0
96690,154615.0,PCBL,20220128,237.35,237.5,231.15,232.45,1270497.0,295799461.7,12596.0,DOWN,-0.39,238.93636363636367,238.93636363636367,238.93636363636367,238.93636363636367,0
97459,171322.0,PCBL,20220131,236.5,238.9,234.0,237.6,555008.0,130976558.2,8531.0,UP,2.22,238.82500000000002,238.82500000000002,238.82500000000002,238.82500000000002,0
97966,2270.0,PCBL,20220201,230.0,232.4,225.4,230.6,715538.0,164501566.35,12033.0,DOWN,-2.95,238.19230769230768,238.19230769230768,238.19230769230768,238.19230769230768,0
98527,8453.0,PCBL,20220202,231.45,233.9,227.65,228.8,518926.0,119398848.75,7766.0,DOWN,-0.78,237.52142857142857,237.52142857142857,237.52142857142857,237.52142857142857,0
98682,14204.0,PCBL,20220203,228.15,230.5,228.0,229.0,283307.0,64953480.3,4294.0,UP,0.09,236.40714285714287,236.95333333333335,236.95333333333335,236.95333333333335,WILL_CROSS_1
99230,19472.0,PCBL,20220204,230.65,230.8,225.6,226.8,437269.0,99757189.65,6812.0,DOWN,-0.96,235.28928571428568,236.31875,236.31875,236.31875,WILL_CROSS_1
99704,37177.0,PCBL,20220207,227.0,230.75,224.6,228.8,425485.0,96836706.2,8306.0,UP,0.88,233.66071428571428,235.8764705882353,235.8764705882353,235.8764705882353,WILL_CROSS_1
100204,44388.0,PCBL,20220208,229.0,230.45,221.85,226.2,642697.0,146022627.9,11469.0,DOWN,-1.14,232.33571428571426,235.3388888888889,235.3388888888889,235.3388888888889,WILL_CROSS_1
100872,50578.0,PCBL,20220209,227.9,229.25,223.55,224.25,358793.0,80916158.55,6784.0,DOWN,-0.86,230.7607142857143,234.75526315789475,234.75526315789475,234.75526315789475,WILL_CROSS_1
101170,56319.0,PCBL,20220210,227.0,228.0,223.25,226.55,488446.0,110069011.75,9056.0,UP,1.03,230.1,234.34499999999997,234.34499999999997,234.34499999999997,WILL_CROSS_1
101712,61619.0,PCBL,20220211,225.0,225.9,223.5,224.6,229399.0,51518668.05,4472.0,DOWN,-0.86,229.4892857142857,233.88095238095238,233.88095238095238,233.88095238095238,WILL_CROSS_1
102100,76946.0,PCBL,20220214,221.2,221.85,212.95,215.3,535217.0,116484291.1,11092.0,DOWN,-4.14,228.475,232.48571428571427,233.03636363636363,233.03636363636363,WILL_CROSS_1
102699,82668.0,PCBL,20220215,215.3,220.0,204.6,218.45,832217.0,175097747.4,14683.0,UP,1.46,227.33928571428572,231.34285714285713,232.40217391304347,232.40217391304347,WILL_CROSS_1
103029,88395.0,PCBL,20220216,219.7,221.6,216.65,219.4,388096.0,85102936.5,6456.0,UP,0.43,226.34285714285716,229.8095238095238,231.86041666666665,231.86041666666665,WILL_CROSS_1
103884,93650.0,PCBL,20220217,220.7,220.8,214.5,215.6,212353.0,46100430.7,4875.0,DOWN,-1.73,225.1392857142857,228.42142857142858,231.21,231.21,WILL_CROSS_1
104157,99423.0,PCBL,20220218,215.6,216.9,210.8,211.8,233847.0,49765196.35,4377.0,DOWN,-1.76,223.29642857142858,226.77857142857144,230.46346153846156,230.46346153846156,WILL_CROSS_1
104820,114305.0,PCBL,20220221,211.0,211.25,201.6,202.45,414067.0,85351723.3,7569.0,DOWN,-4.41,221.28571428571428,225.1904761904762,229.42592592592592,229.42592592592592,WILL_CROSS_1
105116,120563.0,PCBL,20220222,200.0,202.0,192.6,195.65,723291.0,141510638.0,13800.0,DOWN,-3.36,218.91785714285714,223.4047619047619,228.21964285714284,228.21964285714284,WILL_CROSS_1
105843,126763.0,PCBL,20220223,197.5,206.3,196.3,197.45,509799.0,101260056.45,8386.0,UP,0.92,216.66428571428568,221.87857142857146,227.15862068965518,227.15862068965518,WILL_CROSS_1
106014,132031.0,PCBL,20220224,194.0,194.0,178.0,179.5,852557.0,157866696.05,17324.0,DOWN,-9.09,213.28571428571428,219.26666666666668,225.57000000000002,225.57000000000002,WILL_CROSS_1
106516,137812.0,PCBL,20220225,189.0,191.05,185.15,187.9,537500.0,101368393.75,19311.0,UP,4.68,210.3642857142857,217.10238095238094,224.3548387096774,224.3548387096774,WILL_CROSS_1
107223,154128.0,PCBL,20220228,186.8,193.5,182.0,191.95,450179.0,85214540.45,8185.0,UP,2.16,207.91785714285714,215.1738095238095,223.3421875,223.3421875,WILL_CROSS_1
107563,10360.0,PCBL,20220302,190.0,197.2,189.5,195.15,443953.0,86282623.7,8315.0,UP,1.67,205.83928571428572,213.15238095238098,222.4878787878788,222.4878787878788,WILL_CROSS_1
108224,16142.0,PCBL,20220303,197.8,208.05,196.8,199.65,768119.0,155030809.9,12260.0,UP,2.31,203.91785714285714,211.67857142857142,221.81617647058823,221.81617647058823,WILL_CROSS_1
108528,21862.0,PCBL,20220304,197.9,201.4,193.0,193.65,502728.0,98989229.15,15830.0,DOWN,-3.01,201.70714285714286,210.0047619047619,221.01142857142855,221.01142857142855,WILL_CROSS_1
108887,40071.0,PCBL,20220307,187.0,192.6,183.25,187.75,628326.0,117704472.6,18131.0,DOWN,-3.05,199.7392857142857,208.04047619047617,220.08749999999998,220.08749999999998,WILL_CROSS_1
109748,46795.0,PCBL,20220308,188.7,193.3,185.0,192.4,496173.0,94120814.85,12102.0,UP,2.48,197.87857142857143,206.40238095238095,219.3391891891892,219.3391891891892,WILL_CROSS_1
110011,52472.0,PCBL,20220309,194.0,200.1,193.15,195.9,506220.0,99813486.45,8223.0,UP,1.82,196.2,204.8357142857143,218.72236842105266,218.72236842105266,WILL_CROSS_1
110666,58248.0,PCBL,20220310,200.2,205.3,196.3,201.8,809622.0,163206533.4,17611.0,UP,3.01,195.21428571428572,203.67380952380955,218.28846153846155,218.28846153846155,WILL_CROSS_1
111049,63547.0,PCBL,20220311,201.5,204.0,199.1,200.85,572709.0,115739497.9,15048.0,DOWN,-0.47,194.43214285714285,202.5595238095238,217.85250000000002,217.85250000000002,WILL_CROSS_1
111693,79826.0,PCBL,20220314,201.7,202.45,194.5,197.5,436874.0,86197182.45,5886.0,DOWN,-1.67,194.07857142857142,201.17619047619047,217.35609756097563,217.35609756097563,WILL_CROSS_1
111861,85060.0,PCBL,20220315,198.25,205.9,196.65,199.55,754223.0,151578061.4,11615.0,UP,1.04,194.35714285714286,199.98333333333332,216.93214285714285,216.93214285714285,WILL_CROSS_1
112609,90288.0,PCBL,20220316,205.5,208.8,201.75,205.3,635201.0,130383667.5,7020.0,UP,2.88,194.91785714285717,199.50714285714284,216.66162790697675,216.66162790697675,WILL_CROSS_1
113084,95579.0,PCBL,20220317,207.0,211.0,204.75,209.7,619982.0,129255946.15,7709.0,UP,2.14,197.07500000000002,199.09047619047618,216.5034090909091,216.5034090909091,WILL_CROSS_1
113689,116730.0,PCBL,20220321,210.8,219.7,208.65,216.9,975131.0,210004097.5,22337.0,UP,3.43,199.14642857142857,198.97142857142856,216.5122222222222,216.5122222222222,WILL_CROSS_1
113772,122955.0,PCBL,20220322,219.7,226.7,217.5,220.3,1230246.0,273167294.6,16734.0,UP,1.57,201.17142857142858,199.19523809523812,216.5945652173913,216.5945652173913,WILL_CROSS_1
114588,128657.0,PCBL,20220323,221.0,226.55,219.05,225.4,741770.0,165915672.5,11353.0,UP,2.32,203.33214285714286,199.84285714285713,216.78191489361703,216.78191489361703,WILL_CROSS_1
115196,133958.0,PCBL,20220324,225.4,227.7,222.6,226.3,506776.0,114206154.05,9765.0,UP,0.4,205.2357142857143,200.97857142857143,216.9802083333333,216.9802083333333,WILL_CROSS_1
115527,139739.0,PCBL,20220325,227.0,234.25,225.85,226.85,1948287.0,448971726.95,26889.0,UP,0.24,207.60714285714286,202.46428571428572,217.18163265306123,217.18163265306123,WILL_CROSS_1
116175,157009.0,PCBL,20220328,227.7,229.6,221.65,226.3,830674.0,187007671.25,13992.0,DOWN,-0.24,210.3607142857143,203.83809523809526,217.364,217.364,WILL_CROSS_1
116309,162757.0,PCBL,20220329,228.0,231.95,223.5,225.0,979953.0,222700597.4,18587.0,DOWN,-0.57,212.68928571428572,206.00476190476192,216.972,217.5137254901961,WILL_CROSS_1
117010,168444.0,PCBL,20220330,227.1,229.85,225.1,228.6,539378.0,122656198.5,8726.0,UP,1.6,215.02500000000003,207.94285714285715,216.695,217.72692307692307,WILL_CROSS_1
117603,172272.0,PCBL,20220331,229.9,233.6,226.8,228.7,657202.0,151192396.85,10306.0,UP,0.04,216.94642857142858,209.69285714285715,216.237,217.93396226415095,CROSSED_1_BUT_NOT_2
117789,800.0,PCBL,20220401,230.0,232.6,226.8,227.65,408267.0,93644833.85,7473.0,DOWN,-0.46,218.8607142857143,211.2404761904762,215.895,218.11388888888888,CROSSED_2
118621,18028.0,PCBL,20220404,230.2,232.9,225.1,230.8,772940.0,176843467.6,15190.0,UP,1.38,221.23928571428573,212.7238095238095,215.585,218.34454545454545,CROSSED_2
118882,24714.0,PCBL,20220405,231.8,233.85,230.0,232.95,707586.0,164129629.7,13169.0,UP,0.93,223.625,214.5952380952381,215.528,218.60535714285714,CROSSED_2
119330,29991.0,PCBL,20220406,231.9,239.2,231.55,234.55,1108493.0,261897398.45,13555.0,UP,0.69,225.71428571428572,216.82380952380953,215.556,218.88508771929827,CROSSED_2
120026,36206.0,PCBL,20220407,235.9,237.75,213.4,225.7,937795.0,215326347.4,13629.0,DOWN,-3.77,226.85714285714286,218.40952380952382,215.48,219.00258620689655,CROSSED_2
120603,42917.0,PCBL,20220408,228.0,241.7,227.15,239.6,1451085.0,343627882.7,15714.0,UP,6.16,228.47857142857143,220.4904761904762,215.585,219.35169491525423,CROSSED_2
120673,60174.0,PCBL,20220411,120.45,135.0,120.45,129.55,2655688.0,333361871.95,36357.0,DOWN,-45.93,221.9964285714286,217.04999999999995,213.509,217.855,CROSSED_2
121529,65911.0,PCBL,20220412,129.9,134.5,129.55,131.35,2227561.0,294346705.1,19581.0,UP,1.39,215.27857142857144,213.7404761904762,211.487,216.43688524590164,CROSSED_1_BUT_NOT_2
121973,71667.0,PCBL,20220413,131.0,131.0,124.95,125.2,1753816.0,222642680.65,22755.0,DOWN,-4.68,208.05714285714285,210.29761904761904,209.239,214.96532258064516,WILL_CROSS_1
122453,97976.0,PCBL,20220418,123.7,123.7,108.9,117.75,2363087.0,281373047.55,23127.0,DOWN,-5.95,200.2642857142857,206.40238095238095,206.982,213.42222222222222,WILL_CROSS_1
122960,103728.0,PCBL,20220419,119.0,120.8,112.0,112.9,2667256.0,310033487.9,26063.0,DOWN,-4.12,192.16428571428568,202.00238095238097,204.66400000000002,211.8515625,WILL_CROSS_1
123123,108063.0,PCBL,20220420,112.9,114.45,108.9,112.1,1876856.0,208676640.8,23076.0,DOWN,-0.71,184.09999999999997,197.3547619047619,202.32600000000002,210.31692307692308,WILL_CROSS_1
124061,113332.0,PCBL,20220421,113.5,119.9,113.5,119.4,2628917.0,311383412.45,22562.0,UP,6.51,176.29999999999998,192.71190476190475,200.178,208.93939393939394,WILL_CROSS_1
124409,119089.0,PCBL,20220422,119.5,120.8,117.75,118.2,1142193.0,136027844.4,12516.0,DOWN,-1.01,168.40714285714287,187.85000000000002,197.966,207.5850746268657,WILL_CROSS_1
