,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
4812,65434.0,PFIZER,20210412,4859.0,4940.0,4704.05,4776.1,198296.0,952804416.35,23027.0,-,0,4776.1,4776.1,4776.1,4776.1,0
5394,71190.0,PFIZER,20210413,4796.9,5150.0,4737.0,5081.95,591239.0,2970410298.7,66721.0,UP,6.4,4929.025,4929.025,4929.025,4929.025,0
5853,81713.0,PFIZER,20210415,5075.0,5199.0,4976.0,5135.2,237773.0,1213859047.35,29651.0,UP,1.05,4997.75,4997.75,4997.75,4997.75,0
6317,86485.0,PFIZER,20210416,5135.0,5292.0,5110.0,5218.55,235724.0,1231115660.3,24873.0,UP,1.62,5052.95,5052.95,5052.95,5052.95,0
6784,103251.0,PFIZER,20210419,5228.0,5399.0,5130.0,5329.0,327621.0,1745282363.15,33042.0,UP,2.12,5108.16,5108.16,5108.16,5108.16,0
6952,107586.0,PFIZER,20210420,5397.95,5609.0,5392.3,5492.35,509034.0,2807411393.35,46591.0,UP,3.07,5172.191666666667,5172.191666666667,5172.191666666667,5172.191666666667,0
7783,118612.0,PFIZER,20210422,5600.0,5680.0,5171.0,5221.55,665735.0,3608202128.8,77642.0,DOWN,-4.93,5179.242857142856,5179.242857142856,5179.242857142856,5179.242857142856,0
8106,124848.0,PFIZER,20210423,5226.0,5370.0,5130.0,5175.7,312786.0,1631458327.45,33887.0,DOWN,-0.88,5178.8,5178.8,5178.8,5178.8,0
8685,142135.0,PFIZER,20210426,5227.0,5240.0,5110.5,5150.95,117616.0,607530185.55,14625.0,DOWN,-0.48,5175.705555555555,5175.705555555555,5175.705555555555,5175.705555555555,0
8903,146924.0,PFIZER,20210427,5171.95,5238.45,5135.0,5172.2,80230.0,415522219.65,10364.0,UP,0.41,5175.3550000000005,5175.3550000000005,5175.3550000000005,5175.3550000000005,0
9345,152671.0,PFIZER,20210428,5190.0,5209.0,5135.0,5142.75,65325.0,336750874.95,8239.0,DOWN,-0.57,5172.390909090909,5172.390909090909,5172.390909090909,5172.390909090909,0
10076,158895.0,PFIZER,20210429,5190.0,5336.4,5103.8,5308.15,207738.0,1088291293.05,23752.0,UP,3.22,5183.704166666666,5183.704166666666,5183.704166666666,5183.704166666666,0
10275,164656.0,PFIZER,20210430,5329.9,5421.55,5256.55,5273.5,164210.0,874409232.95,18933.0,DOWN,-0.65,5190.611538461539,5190.611538461539,5190.611538461539,5190.611538461539,0
10781,16620.0,PFIZER,20210503,5290.0,5399.0,5212.0,5307.25,175119.0,933169611.9,20570.0,UP,0.64,5198.942857142857,5198.942857142857,5198.942857142857,5198.942857142857,0
11279,22340.0,PFIZER,20210504,5355.0,5369.65,5225.0,5238.2,76277.0,403928726.45,9783.0,DOWN,-1.3,5231.949999999999,5201.5599999999995,5201.5599999999995,5201.5599999999995,CROSSED_2
11910,27588.0,PFIZER,20210505,5280.15,5494.7,5260.6,5448.55,354078.0,1921569014.5,34779.0,UP,4.02,5258.135714285714,5216.996875,5216.996875,5216.996875,CROSSED_2
12385,33344.0,PFIZER,20210506,5392.0,5690.0,5265.1,5326.65,194982.0,1039772445.95,20151.0,DOWN,-2.24,5271.810714285714,5223.44705882353,5223.44705882353,5223.44705882353,CROSSED_2
12698,40550.0,PFIZER,20210507,5330.0,5400.0,5311.85,5338.65,92355.0,494415870.0,9420.0,UP,0.23,5280.3892857142855,5229.847222222223,5229.847222222223,5229.847222222223,CROSSED_2
13379,58727.0,PFIZER,20210510,5366.7,5444.0,5349.85,5390.6,109435.0,591547774.1,12103.0,UP,0.97,5284.789285714286,5238.307894736842,5238.307894736842,5238.307894736842,CROSSED_2
13496,64026.0,PFIZER,20210511,5390.6,5494.9,5390.6,5403.9,106452.0,578465674.45,11512.0,UP,0.25,5278.471428571429,5246.5875,5246.5875,5246.5875,CROSSED_2
14248,68785.0,PFIZER,20210512,5448.0,5449.85,5323.0,5346.05,71528.0,385041825.0,8324.0,DOWN,-1.07,5287.364285714286,5251.323809523809,5251.323809523809,5251.323809523809,CROSSED_2
14512,80306.0,PFIZER,20210514,5350.0,5393.4,5252.35,5275.9,57246.0,304457164.8,6601.0,DOWN,-1.31,5294.521428571429,5275.1238095238095,5252.440909090909,5252.440909090909,CROSSED_2
15280,96059.0,PFIZER,20210517,5329.0,5347.75,5176.2,5217.85,107296.0,562287163.8,11605.0,DOWN,-1.1,5299.3,5281.5952380952385,5250.936956521739,5250.936956521739,CROSSED_2
15355,101339.0,PFIZER,20210518,5233.85,5277.0,5195.05,5250.5,60009.0,314744607.8,7325.0,UP,0.63,5304.892857142857,5287.085714285715,5250.91875,5250.91875,CROSSED_2
15817,106151.0,PFIZER,20210519,5274.9,5299.05,5242.4,5256.7,41753.0,220042114.8,6111.0,UP,0.12,5313.032142857142,5288.902380952381,5251.15,5251.15,CROSSED_2
16648,111419.0,PFIZER,20210520,5259.0,5296.7,5230.0,5244.8,42802.0,224986089.75,7260.0,DOWN,-0.23,5308.507142857144,5284.892857142857,5250.905769230769,5250.905769230769,CROSSED_2
17062,117210.0,PFIZER,20210521,5252.1,5280.3,5223.05,5233.35,31037.0,162634884.85,4223.0,DOWN,-0.22,5305.6392857142855,5272.559523809524,5250.2555555555555,5250.2555555555555,CROSSED_2
17645,134438.0,PFIZER,20210524,5233.0,5265.2,5222.0,5242.7,40883.0,214420929.35,4682.0,UP,0.18,5301.028571428572,5273.5666666666675,5249.9857142857145,5249.9857142857145,CROSSED_2
17677,140219.0,PFIZER,20210525,5255.0,5389.95,5234.55,5252.35,116369.0,616908315.5,13021.0,UP,0.18,5302.039285714286,5277.216666666667,5250.067241379311,5250.067241379311,CROSSED_2
18188,145007.0,PFIZER,20210526,5314.0,5320.0,5248.1,5267.8,71941.0,380024135.6,7584.0,UP,0.29,5289.128571428571,5282.780952380952,5250.658333333334,5250.658333333334,CROSSED_2
19042,150766.0,PFIZER,20210527,5220.0,5250.0,5111.0,5132.6,149259.0,771575616.45,18293.0,DOWN,-2.57,5275.267857142857,5280.895238095238,5246.85,5246.85,CROSSED_2
19116,157489.0,PFIZER,20210528,5165.0,5189.0,5125.0,5131.35,53391.0,274556685.75,6425.0,DOWN,-0.02,5260.460714285714,5280.35238095238,5243.240625,5243.240625,CROSSED_2
19921,172753.0,PFIZER,20210531,5160.0,5165.0,5089.0,5136.05,56016.0,287217187.9,9249.0,UP,0.09,5242.278571428571,5272.157142857143,5239.992424242424,5239.992424242424,CROSSED_2
20171,4149.0,PFIZER,20210601,5150.0,5168.1,5120.0,5124.5,23850.0,122551054.95,3897.0,DOWN,-0.22,5222.321428571428,5265.061904761905,5236.595588235294,5236.595588235294,WILL_CROSS_1
20777,9383.0,PFIZER,20210602,5123.0,5219.0,5123.0,5176.15,95026.0,492045105.8,11174.0,UP,1.01,5210.185714285713,5258.8190476190475,5234.868571428571,5234.868571428571,WILL_CROSS_1
21037,15165.0,PFIZER,20210603,5220.0,5238.6,5162.25,5196.4,33072.0,172049971.6,5257.0,UP,0.39,5204.507142857144,5256.828571428572,5233.799999999999,5233.799999999999,WILL_CROSS_1
