,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
206,2740.0,PNBHOUSING,20210101,366.95,369.85,360.0,367.55,134958.0,49439888.4,4608.0,-,0,367.55,367.55,367.55,367.55,0
747,19942.0,PNBHOUSING,20210104,369.0,376.35,369.0,373.6,206769.0,77190407.8,6046.0,UP,1.65,370.57500000000005,370.57500000000005,370.57500000000005,370.57500000000005,0
984,167975.0,PNBHOUSING,20210330,380.0,383.8,372.25,381.3,202616.0,76822612.95,9700.0,UP,2.06,374.15000000000003,374.15000000000003,374.15000000000003,374.15000000000003,0
1756,171803.0,PNBHOUSING,20210331,384.0,390.5,372.55,374.9,220893.0,84121415.65,6548.0,DOWN,-1.68,374.3375,374.3375,374.3375,374.3375,0
2039,331.0,PNBHOUSING,20210401,379.85,396.0,377.25,393.05,279533.0,108708438.6,11711.0,UP,4.84,378.08000000000004,378.08000000000004,378.08000000000004,378.08000000000004,0
2680,24245.0,PNBHOUSING,20210405,393.9,394.0,374.25,379.7,170921.0,65178584.8,9349.0,DOWN,-3.4,378.34999999999997,378.34999999999997,378.34999999999997,378.34999999999997,0
2802,29522.0,PNBHOUSING,20210406,381.7,388.8,379.7,383.6,122621.0,47164221.5,3442.0,UP,1.03,379.09999999999997,379.09999999999997,379.09999999999997,379.09999999999997,0
3650,35736.0,PNBHOUSING,20210407,385.55,388.45,381.15,383.8,134304.0,51667950.85,9138.0,UP,0.05,379.6875,379.6875,379.6875,379.6875,0
3845,42447.0,PNBHOUSING,20210408,384.0,393.8,383.85,390.05,136805.0,53370253.7,7830.0,UP,1.63,380.8388888888889,380.8388888888889,380.8388888888889,380.8388888888889,0
4470,49176.0,PNBHOUSING,20210409,392.0,408.0,390.95,398.45,387728.0,155457776.8,13063.0,UP,2.15,382.6,382.6,382.6,382.6,0
4819,65441.0,PNBHOUSING,20210412,394.8,394.8,362.1,365.3,266768.0,99802343.75,11903.0,DOWN,-8.32,381.02727272727276,381.02727272727276,381.02727272727276,381.02727272727276,0
5387,71197.0,PNBHOUSING,20210413,366.0,376.95,366.0,373.05,151701.0,56427874.45,5219.0,UP,2.12,380.3625,380.3625,380.3625,380.3625,0
5860,81720.0,PNBHOUSING,20210415,368.2,376.95,360.2,368.0,117746.0,43210309.8,5266.0,DOWN,-1.35,379.4115384615385,379.4115384615385,379.4115384615385,379.4115384615385,0
6324,86492.0,PNBHOUSING,20210416,368.0,384.0,368.0,374.4,203485.0,76768539.05,5370.0,UP,1.74,379.05357142857144,379.05357142857144,379.05357142857144,379.05357142857144,0
6791,103258.0,PNBHOUSING,20210419,365.0,365.4,356.45,358.7,145973.0,52510816.6,5189.0,DOWN,-4.19,378.4214285714285,377.69666666666666,377.69666666666666,377.69666666666666,CROSSED_2
6959,107593.0,PNBHOUSING,20210420,357.0,366.0,357.0,360.05,137453.0,49711801.35,4698.0,UP,0.38,377.4535714285715,376.59375,376.59375,376.59375,CROSSED_2
7776,118619.0,PNBHOUSING,20210422,365.0,365.0,350.0,358.65,112655.0,40390207.3,4123.0,DOWN,-0.39,375.8357142857143,375.5382352941176,375.5382352941176,375.5382352941176,CROSSED_2
8113,124855.0,PNBHOUSING,20210423,359.95,365.75,356.0,357.65,92831.0,33548174.6,3491.0,DOWN,-0.28,374.6035714285714,374.5444444444445,374.5444444444445,374.5444444444445,CROSSED_2
8692,142142.0,PNBHOUSING,20210426,357.65,381.25,357.65,367.45,152187.0,55714725.95,4663.0,UP,2.74,372.77500000000003,374.17105263157896,374.17105263157896,374.17105263157896,WILL_CROSS_1
8910,146931.0,PNBHOUSING,20210427,371.7,378.45,370.0,377.1,160004.0,60156166.1,4232.0,UP,2.63,372.5892857142857,374.3175,374.3175,374.3175,WILL_CROSS_1
9338,152678.0,PNBHOUSING,20210428,375.9,386.0,370.25,377.65,419403.0,159178824.95,9539.0,UP,0.15,372.1642857142857,374.4761904761905,374.4761904761905,374.4761904761905,WILL_CROSS_1
10083,158902.0,PNBHOUSING,20210429,377.65,383.95,373.6,375.3,163715.0,61997077.6,4849.0,DOWN,-0.62,371.5571428571429,374.8452380952381,374.51363636363635,374.51363636363635,WILL_CROSS_1
10268,164663.0,PNBHOUSING,20210430,375.3,375.3,368.0,372.35,111750.0,41577504.0,3462.0,DOWN,-0.79,370.2928571428571,374.7857142857143,374.41956521739127,374.41956521739127,WILL_CROSS_1
10788,16627.0,PNBHOUSING,20210503,372.1,372.1,364.0,369.9,74545.0,27491387.6,2976.0,DOWN,-0.66,368.25357142857143,374.24285714285713,374.23125,374.23125,WILL_CROSS_1
11286,22347.0,PNBHOUSING,20210504,371.8,374.8,363.0,364.1,179098.0,66069721.4,6637.0,DOWN,-1.57,368.1678571428571,373.7285714285714,373.82599999999996,373.82599999999996,WILL_CROSS_1
11917,27595.0,PNBHOUSING,20210505,364.05,366.25,357.5,358.7,204113.0,73605801.35,5497.0,DOWN,-1.48,367.14285714285717,372.09285714285716,373.2442307692308,373.2442307692308,WILL_CROSS_1
12378,33351.0,PNBHOUSING,20210506,365.5,370.75,360.05,364.0,122257.0,44605095.15,4287.0,UP,1.48,366.85714285714283,371.3452380952381,372.90185185185186,372.90185185185186,WILL_CROSS_1
12705,40557.0,PNBHOUSING,20210507,367.8,369.0,364.3,367.65,80439.0,29504910.85,2373.0,UP,1.0,366.375,370.5857142857143,372.7142857142857,372.7142857142857,WILL_CROSS_1
13372,58734.0,PNBHOUSING,20210510,370.75,372.5,365.2,366.45,139421.0,51382305.25,4367.0,DOWN,-0.33,366.92857142857144,369.7595238095238,372.49827586206897,372.49827586206897,WILL_CROSS_1
13489,64033.0,PNBHOUSING,20210511,366.45,386.4,362.25,372.05,354262.0,133432671.4,9736.0,UP,1.53,367.7857142857143,368.90238095238095,372.48333333333335,372.48333333333335,WILL_CROSS_1
14255,68792.0,PNBHOUSING,20210512,370.0,398.7,370.0,388.35,826077.0,321332327.95,19515.0,UP,4.38,369.9071428571429,368.4214285714286,372.9951612903226,372.9951612903226,WILL_CROSS_1
