,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
4829,65451.0,PRIVISCL,20210412,909.0,909.0,860.05,864.1,27082.0,23878393.4,2236.0,-,0,864.1,864.1,864.1,864.1,0
5377,71207.0,PRIVISCL,20210413,872.0,962.0,868.55,904.75,106287.0,98490884.95,7908.0,UP,4.7,884.425,884.425,884.425,884.425,0
5870,81730.0,PRIVISCL,20210415,916.55,929.95,887.15,894.3,25545.0,23254840.7,2593.0,DOWN,-1.16,887.7166666666667,887.7166666666667,887.7166666666667,887.7166666666667,0
6334,86502.0,PRIVISCL,20210416,909.0,969.0,901.0,918.25,62079.0,58531885.1,7497.0,UP,2.68,895.35,895.35,895.35,895.35,0
6801,103268.0,PRIVISCL,20210419,919.0,950.4,822.65,912.8,37709.0,34319158.45,3317.0,DOWN,-0.59,898.8399999999999,898.8399999999999,898.8399999999999,898.8399999999999,0
6969,107603.0,PRIVISCL,20210420,920.0,943.95,890.0,906.35,24019.0,21990003.75,2204.0,DOWN,-0.71,900.0916666666667,900.0916666666667,900.0916666666667,900.0916666666667,0
7766,118629.0,PRIVISCL,20210422,906.35,958.0,892.0,920.5,40863.0,38149936.6,2425.0,UP,1.56,903.0071428571429,903.0071428571429,903.0071428571429,903.0071428571429,0
8123,124865.0,PRIVISCL,20210423,920.7,939.0,870.0,884.4,38485.0,34553724.5,2941.0,DOWN,-3.92,900.68125,900.68125,900.68125,900.68125,0
8754,142152.0,PRIVISCL,20210426,875.0,903.05,855.0,865.8,36569.0,32028251.6,3432.0,DOWN,-2.1,896.8055555555555,896.8055555555555,896.8055555555555,896.8055555555555,0
8920,146941.0,PRIVISCL,20210427,867.0,899.9,853.0,889.0,49439.0,43187634.6,3448.0,UP,2.68,896.025,896.025,896.025,896.025,0
9328,152688.0,PRIVISCL,20210428,905.0,906.0,880.0,893.1,28499.0,25382617.35,1898.0,UP,0.46,895.7590909090909,895.7590909090909,895.7590909090909,895.7590909090909,0
10093,158912.0,PRIVISCL,20210429,893.0,905.0,873.0,880.8,21546.0,18986931.4,1257.0,DOWN,-1.38,894.5124999999999,894.5124999999999,894.5124999999999,894.5124999999999,0
10258,164673.0,PRIVISCL,20210430,880.0,903.95,868.8,885.3,33598.0,29905018.3,1762.0,UP,0.51,893.8038461538462,893.8038461538462,893.8038461538462,893.8038461538462,0
10798,16637.0,PRIVISCL,20210503,895.0,979.0,878.2,968.25,119285.0,113839700.15,8566.0,UP,9.37,899.1214285714286,899.1214285714286,899.1214285714286,899.1214285714286,0
11296,22357.0,PRIVISCL,20210504,992.8,1018.0,965.2,992.9,77712.0,76862553.6,5038.0,UP,2.55,908.3214285714286,905.3733333333333,905.3733333333333,905.3733333333333,CROSSED_2
