,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
4834,65456.0,RAILTEL,20210412,120.0,120.0,111.0,114.2,3095710.0,356041452.5,50184.0,-,0,114.2,114.2,114.2,114.2,0
5372,71212.0,RAILTEL,20210413,115.15,117.5,114.1,116.8,949551.0,110310505.1,11841.0,UP,2.28,115.5,115.5,115.5,115.5,0
5875,81735.0,RAILTEL,20210415,117.0,117.0,113.85,115.05,797101.0,91769625.15,12789.0,DOWN,-1.5,115.35000000000001,115.35000000000001,115.35000000000001,115.35000000000001,0
6339,86507.0,RAILTEL,20210416,115.65,116.5,114.2,114.9,1081879.0,124472861.2,16181.0,DOWN,-0.13,115.2375,115.2375,115.2375,115.2375,0
6806,103273.0,RAILTEL,20210419,111.65,111.95,109.1,111.45,1154644.0,127956835.15,18687.0,DOWN,-3.0,114.47999999999999,114.47999999999999,114.47999999999999,114.47999999999999,0
6974,107608.0,RAILTEL,20210420,112.0,113.35,109.9,110.25,1810889.0,201534762.35,28397.0,DOWN,-1.08,113.77499999999999,113.77499999999999,113.77499999999999,113.77499999999999,0
7761,118634.0,RAILTEL,20210422,109.7,110.65,108.45,109.7,1115771.0,122455591.7,15504.0,DOWN,-0.5,113.19285714285715,113.19285714285715,113.19285714285715,113.19285714285715,0
8128,124870.0,RAILTEL,20210423,109.35,127.3,109.05,123.2,13116395.0,1601517669.35,106704.0,UP,12.31,114.44375,114.44375,114.44375,114.44375,0
8749,142157.0,RAILTEL,20210426,125.0,125.0,120.0,120.45,2715920.0,331717691.65,27636.0,DOWN,-2.23,115.11111111111111,115.11111111111111,115.11111111111111,115.11111111111111,0
8925,146946.0,RAILTEL,20210427,120.45,127.3,120.05,123.95,3336800.0,415606772.2,28933.0,UP,2.91,115.995,115.995,115.995,115.995,0
9323,152693.0,RAILTEL,20210428,124.05,126.75,123.15,123.4,1657700.0,206267478.3,14808.0,DOWN,-0.44,116.66818181818181,116.66818181818181,116.66818181818181,116.66818181818181,0
10098,158917.0,RAILTEL,20210429,124.55,124.6,121.15,122.0,1160875.0,142205006.5,10777.0,DOWN,-1.13,117.1125,117.1125,117.1125,117.1125,0
10253,164678.0,RAILTEL,20210430,121.25,124.3,120.55,121.7,1053137.0,129059346.7,11469.0,DOWN,-0.25,117.46538461538461,117.46538461538461,117.46538461538461,117.46538461538461,0
10803,16642.0,RAILTEL,20210503,121.0,122.0,119.05,119.95,907564.0,109226743.8,11864.0,DOWN,-1.44,117.64285714285714,117.64285714285714,117.64285714285714,117.64285714285714,0
11301,22362.0,RAILTEL,20210504,121.0,122.65,119.0,119.3,1296985.0,156503036.8,15416.0,DOWN,-0.54,118.00714285714285,117.75333333333333,117.75333333333333,117.75333333333333,CROSSED_2
11932,27610.0,RAILTEL,20210505,120.4,121.35,119.4,119.8,811406.0,97354885.55,8855.0,UP,0.42,118.22142857142856,117.88125,117.88125,117.88125,CROSSED_2
12363,33366.0,RAILTEL,20210506,120.7,120.7,118.4,118.85,588884.0,70172270.45,8528.0,DOWN,-0.79,118.49285714285715,117.93823529411765,117.93823529411765,117.93823529411765,CROSSED_2
12720,40572.0,RAILTEL,20210507,119.5,126.3,119.0,122.25,3316323.0,406964802.25,28317.0,UP,2.86,119.01785714285714,118.17777777777776,118.17777777777776,118.17777777777776,CROSSED_2
13357,58749.0,RAILTEL,20210510,123.25,125.0,121.4,122.65,1478725.0,181851187.65,14125.0,UP,0.33,119.81785714285714,118.41315789473684,118.41315789473684,118.41315789473684,CROSSED_2
13474,64048.0,RAILTEL,20210511,121.6,129.7,121.05,128.3,4381779.0,551629859.95,33406.0,UP,4.61,121.10714285714286,118.9075,118.9075,118.9075,CROSSED_2
14270,68807.0,RAILTEL,20210512,130.95,133.5,127.05,127.7,4295064.0,559129800.25,34432.0,DOWN,-0.47,122.39285714285715,119.32619047619048,119.32619047619048,119.32619047619048,CROSSED_2
14490,80328.0,RAILTEL,20210514,128.9,129.2,123.6,125.65,1284592.0,162117277.6,12861.0,DOWN,-1.61,122.56785714285715,119.87142857142858,119.61363636363636,119.61363636363636,CROSSED_2
15258,96081.0,RAILTEL,20210517,127.95,131.3,126.6,128.05,3383442.0,437297938.45,31226.0,UP,1.91,123.1107142857143,120.40714285714287,119.9804347826087,119.9804347826087,CROSSED_2
15334,101361.0,RAILTEL,20210518,129.25,131.1,128.2,129.65,3285205.0,426064909.7,34336.0,UP,1.25,123.51785714285714,121.10238095238095,120.38333333333334,120.38333333333334,CROSSED_2
15795,106173.0,RAILTEL,20210519,129.0,135.0,128.3,133.2,4611751.0,612918548.65,35285.0,UP,2.74,124.21785714285714,121.97380952380954,120.896,120.896,CROSSED_2
16670,111441.0,RAILTEL,20210520,133.0,135.0,129.55,130.45,2064077.0,272606203.45,18786.0,DOWN,-2.06,124.82142857142858,122.87857142857142,121.26346153846154,121.26346153846154,CROSSED_2
17084,117232.0,RAILTEL,20210521,131.25,133.0,131.15,131.75,1435024.0,189558164.45,13505.0,UP,1.0,125.53928571428573,123.90238095238094,121.65185185185184,121.65185185185184,CROSSED_2
