,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
4837,65459.0,RALLIS,20210412,266.6,266.6,251.9,256.6,408900.0,105606837.5,12904.0,-,0,256.6,256.6,256.6,256.6,0
5369,71215.0,RALLIS,20210413,257.3,264.4,257.2,262.35,155882.0,40741119.15,3379.0,UP,2.24,259.475,259.475,259.475,259.475,0
5878,81738.0,RALLIS,20210415,260.0,265.8,257.25,259.0,614723.0,160154882.15,7270.0,DOWN,-1.28,259.31666666666666,259.31666666666666,259.31666666666666,259.31666666666666,0
6342,86510.0,RALLIS,20210416,259.15,270.5,259.15,269.1,705585.0,188098899.3,9123.0,UP,3.9,261.76250000000005,261.76250000000005,261.76250000000005,261.76250000000005,0
6808,103276.0,RALLIS,20210419,270.0,271.45,261.0,269.05,678971.0,182171375.0,17219.0,DOWN,-0.02,263.22,263.22,263.22,263.22,0
6977,107611.0,RALLIS,20210420,269.5,273.4,268.15,270.6,606477.0,164525218.25,7188.0,UP,0.58,264.45,264.45,264.45,264.45,0
7758,118637.0,RALLIS,20210422,271.0,283.5,271.0,281.6,2027639.0,568518679.25,30053.0,UP,4.07,266.90000000000003,266.90000000000003,266.90000000000003,266.90000000000003,0
8131,124873.0,RALLIS,20210423,283.45,291.0,267.05,274.95,4145553.0,1175857509.4,64049.0,DOWN,-2.36,267.90625,267.90625,267.90625,267.90625,0
8746,142160.0,RALLIS,20210426,277.0,289.4,274.05,280.6,2277031.0,640106944.0,30970.0,UP,2.05,269.3166666666667,269.3166666666667,269.3166666666667,269.3166666666667,0
8928,146949.0,RALLIS,20210427,283.0,286.25,277.4,284.8,1041667.0,294495046.15,14048.0,UP,1.5,270.865,270.865,270.865,270.865,0
9320,152696.0,RALLIS,20210428,285.6,290.95,283.7,285.05,1072942.0,308773147.65,13322.0,UP,0.09,272.1545454545455,272.1545454545455,272.1545454545455,272.1545454545455,0
10101,158920.0,RALLIS,20210429,288.8,290.0,279.8,285.0,491287.0,140054161.6,7424.0,DOWN,-0.02,273.225,273.225,273.225,273.225,0
10250,164681.0,RALLIS,20210430,284.0,284.95,278.5,280.85,429006.0,120775760.1,8251.0,DOWN,-1.46,273.8115384615385,273.8115384615385,273.8115384615385,273.8115384615385,0
10806,16645.0,RALLIS,20210503,281.8,300.0,279.7,296.6,1464104.0,427814072.7,22627.0,UP,5.61,275.43928571428575,275.43928571428575,275.43928571428575,275.43928571428575,0
