,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
4838,65460.0,RAMCOCEM,20210412,1063.0,1064.85,1015.0,1053.5,489870.0,513219558.9,17538.0,-,0,1053.5,1053.5,1053.5,1053.5,0
5368,71216.0,RAMCOCEM,20210413,1050.25,1076.0,1040.55,1056.8,436475.0,461041612.35,20703.0,UP,0.31,1055.15,1055.15,1055.15,1055.15,0
5879,81739.0,RAMCOCEM,20210415,1060.0,1065.95,978.3,1006.25,1285908.0,1288305729.15,64742.0,DOWN,-4.78,1038.8500000000001,1038.8500000000001,1038.8500000000001,1038.8500000000001,0
6343,86511.0,RAMCOCEM,20210416,1004.25,1030.35,993.95,1012.9,1044385.0,1055267492.15,27898.0,UP,0.66,1032.3625,1032.3625,1032.3625,1032.3625,0
6809,103277.0,RAMCOCEM,20210419,989.0,996.25,968.5,980.6,578439.0,566741229.25,14689.0,DOWN,-3.19,1022.01,1022.01,1022.01,1022.01,0
6978,107612.0,RAMCOCEM,20210420,1008.0,1011.55,957.45,966.7,661599.0,650777459.8,24768.0,DOWN,-1.42,1012.7916666666666,1012.7916666666666,1012.7916666666666,1012.7916666666666,0
7757,118638.0,RAMCOCEM,20210422,966.0,983.55,952.65,975.05,410546.0,398793761.25,13158.0,UP,0.86,1007.4,1007.4,1007.4,1007.4,0
8132,124874.0,RAMCOCEM,20210423,1040.0,1040.0,952.0,958.65,774515.0,752857692.65,20122.0,DOWN,-1.68,1001.30625,1001.30625,1001.30625,1001.30625,0
8745,142161.0,RAMCOCEM,20210426,960.0,994.8,957.95,959.85,462200.0,446812531.65,19688.0,UP,0.13,996.6999999999999,996.6999999999999,996.6999999999999,996.6999999999999,0
8929,146950.0,RAMCOCEM,20210427,965.0,971.35,954.45,959.55,448079.0,430700021.1,17451.0,DOWN,-0.03,992.985,992.985,992.985,992.985,0
9319,152697.0,RAMCOCEM,20210428,963.0,982.85,960.05,979.4,593061.0,576410920.85,18748.0,UP,2.07,991.75,991.75,991.75,991.75,0
10102,158921.0,RAMCOCEM,20210429,985.0,998.75,966.2,989.65,741642.0,727755663.0,34075.0,UP,1.05,991.5749999999999,991.5749999999999,991.5749999999999,991.5749999999999,0
