,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
4840,65462.0,RBLBANK,20210412,205.0,205.8,183.0,188.65,41805861.0,7925420707.5,242022.0,-,0,188.65,188.65,188.65,188.65,0
5366,71218.0,RBLBANK,20210413,191.4,195.3,186.65,193.65,22156872.0,4249053258.3,141431.0,UP,2.65,191.15,191.15,191.15,191.15,0
5881,81741.0,RBLBANK,20210415,192.3,197.5,184.2,189.7,20657818.0,3913575648.5,133988.0,DOWN,-2.04,190.66666666666666,190.66666666666666,190.66666666666666,190.66666666666666,0
6345,86513.0,RBLBANK,20210416,190.5,192.0,187.0,187.75,13085937.0,2477930083.15,72564.0,DOWN,-1.03,189.9375,189.9375,189.9375,189.9375,0
6811,103279.0,RBLBANK,20210419,180.0,181.0,173.3,175.6,25127670.0,4409229566.5,138319.0,DOWN,-6.47,187.07,187.07,187.07,187.07,0
6980,107614.0,RBLBANK,20210420,179.0,179.95,172.6,174.55,17558354.0,3103907507.15,80454.0,DOWN,-0.6,184.98333333333335,184.98333333333335,184.98333333333335,184.98333333333335,0
7755,118640.0,RBLBANK,20210422,170.0,177.25,169.65,176.35,16257595.0,2841455941.85,84381.0,UP,1.03,183.75,183.75,183.75,183.75,0
8134,124876.0,RBLBANK,20210423,175.75,182.5,173.75,178.2,20997883.0,3761704045.85,105690.0,UP,1.05,183.05625,183.05625,183.05625,183.05625,0
8743,142163.0,RBLBANK,20210426,181.8,185.2,179.7,184.2,12901261.0,2346705443.85,62583.0,UP,3.37,183.18333333333334,183.18333333333334,183.18333333333334,183.18333333333334,0
8931,146952.0,RBLBANK,20210427,184.15,187.0,182.8,186.55,11361945.0,2105422985.85,56236.0,UP,1.28,183.52,183.52,183.52,183.52,0
9317,152699.0,RBLBANK,20210428,187.55,194.8,186.7,193.65,17807483.0,3409371092.15,86380.0,UP,3.81,184.4409090909091,184.4409090909091,184.4409090909091,184.4409090909091,0
10104,158923.0,RBLBANK,20210429,195.95,196.55,188.5,190.3,20228144.0,3875328717.3,104495.0,DOWN,-1.73,184.92916666666667,184.92916666666667,184.92916666666667,184.92916666666667,0
10247,164684.0,RBLBANK,20210430,187.0,191.45,184.7,185.75,18067172.0,3385088804.1,83469.0,DOWN,-2.39,184.9923076923077,184.9923076923077,184.9923076923077,184.9923076923077,0
10809,16648.0,RBLBANK,20210503,183.6,186.2,177.75,181.2,21142228.0,3849028491.2,96485.0,DOWN,-2.45,184.72142857142856,184.72142857142856,184.72142857142856,184.72142857142856,0
