,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
4844,65466.0,RELAXO,20210412,934.7,934.7,876.05,891.85,261916.0,236050162.5,21128.0,-,0,891.85,891.85,891.85,891.85,0
5362,71222.0,RELAXO,20210413,909.7,919.5,890.0,901.95,104960.0,95089342.85,9058.0,UP,1.13,896.9000000000001,896.9000000000001,896.9000000000001,896.9000000000001,0
5885,81745.0,RELAXO,20210415,899.0,909.0,889.15,905.0,137817.0,124124865.5,8934.0,UP,0.34,899.6,899.6,899.6,899.6,0
6349,86517.0,RELAXO,20210416,906.0,926.45,886.0,892.45,223728.0,203723474.95,17739.0,DOWN,-1.39,897.8125,897.8125,897.8125,897.8125,0
6815,103283.0,RELAXO,20210419,885.0,889.45,841.0,876.0,223183.0,194148777.5,16938.0,DOWN,-1.84,893.45,893.45,893.45,893.45,0
6984,107618.0,RELAXO,20210420,876.0,896.8,872.05,891.0,140384.0,124904114.25,9623.0,UP,1.71,893.0416666666666,893.0416666666666,893.0416666666666,893.0416666666666,0
7751,118644.0,RELAXO,20210422,881.0,915.0,881.0,904.8,199719.0,179470243.0,11454.0,UP,1.55,894.7214285714286,894.7214285714286,894.7214285714286,894.7214285714286,0
8138,124880.0,RELAXO,20210423,910.55,910.55,880.0,882.7,137724.0,123008603.55,13322.0,DOWN,-2.44,893.21875,893.21875,893.21875,893.21875,0
8739,142167.0,RELAXO,20210426,891.9,898.1,857.95,860.35,176955.0,154941482.65,13346.0,DOWN,-2.53,889.5666666666667,889.5666666666667,889.5666666666667,889.5666666666667,0
8935,146956.0,RELAXO,20210427,866.9,882.75,859.15,861.1,174604.0,151633795.35,10112.0,UP,0.09,886.72,886.72,886.72,886.72,0
9313,152703.0,RELAXO,20210428,869.95,884.95,862.5,868.8,165655.0,144629288.9,8490.0,UP,0.89,885.0909090909091,885.0909090909091,885.0909090909091,885.0909090909091,0
10108,158927.0,RELAXO,20210429,879.5,881.85,866.0,868.05,122077.0,106672269.4,8034.0,DOWN,-0.09,883.6708333333332,883.6708333333332,883.6708333333332,883.6708333333332,0
10243,164688.0,RELAXO,20210430,867.7,890.0,862.55,874.95,215378.0,189680636.95,12600.0,UP,0.79,883.0,883.0,883.0,883.0,0
10813,16652.0,RELAXO,20210503,877.7,885.0,866.25,878.4,181064.0,157944595.5,7443.0,UP,0.39,882.6714285714286,882.6714285714286,882.6714285714286,882.6714285714286,0
11311,22372.0,RELAXO,20210504,882.0,908.5,878.4,889.65,196103.0,175487563.25,9909.0,UP,1.28,882.5142857142856,883.1366666666667,883.1366666666667,883.1366666666667,WILL_CROSS_1
11942,27620.0,RELAXO,20210505,898.2,905.8,885.2,897.9,126634.0,113643046.6,7240.0,UP,0.93,882.2250000000001,884.059375,884.059375,884.059375,WILL_CROSS_1
12352,33376.0,RELAXO,20210506,902.0,902.75,890.2,894.1,67311.0,60395084.35,4152.0,DOWN,-0.42,881.4464285714286,884.65,884.65,884.65,WILL_CROSS_1
12730,40582.0,RELAXO,20210507,897.55,907.9,878.1,881.8,103601.0,92633429.15,6079.0,DOWN,-1.38,880.6857142857143,884.4916666666667,884.4916666666667,884.4916666666667,WILL_CROSS_1
13347,58759.0,RELAXO,20210510,883.2,898.05,883.2,895.9,251499.0,224037486.85,6075.0,UP,1.6,882.1071428571429,885.0921052631579,885.0921052631579,885.0921052631579,WILL_CROSS_1
13464,64058.0,RELAXO,20210511,891.0,904.0,890.0,892.55,99054.0,88849033.25,6759.0,DOWN,-0.37,882.217857142857,885.4649999999999,885.4649999999999,885.4649999999999,WILL_CROSS_1
14279,68817.0,RELAXO,20210512,896.4,901.6,890.8,898.3,68563.0,61555272.0,5391.0,UP,0.64,881.7535714285715,886.0761904761904,886.0761904761904,886.0761904761904,WILL_CROSS_1
14480,80338.0,RELAXO,20210514,899.0,936.0,899.0,925.4,402818.0,372429858.3,18783.0,UP,3.02,884.8035714285714,887.6738095238096,887.8636363636364,887.8636363636364,WILL_CROSS_1
15248,96091.0,RELAXO,20210517,936.0,952.0,904.0,909.5,346743.0,317944131.9,17884.0,DOWN,-1.72,888.3142857142857,888.0333333333334,888.804347826087,888.804347826087,WILL_CROSS_1
15324,101371.0,RELAXO,20210518,920.0,922.0,900.0,917.85,171986.0,156393843.9,10269.0,UP,0.92,892.3678571428571,888.645238095238,890.0145833333332,890.0145833333332,CROSSED_2
16252,106183.0,RELAXO,20210519,917.0,1035.0,915.2,1011.95,2137537.0,2117516616.85,77286.0,UP,10.25,902.592857142857,894.3357142857143,894.8919999999999,894.8919999999999,CROSSED_2
16680,111451.0,RELAXO,20210520,1043.5,1085.0,992.2,1030.15,1746924.0,1795095805.8,77100.0,UP,1.8,914.1714285714287,901.6761904761905,900.0942307692308,900.0942307692308,CROSSED_2
17094,117242.0,RELAXO,20210521,1046.15,1071.1,1011.6,1035.25,846176.0,885608480.15,33830.0,UP,0.5,925.6214285714286,908.5452380952381,905.1,905.1,CROSSED_2
17212,134470.0,RELAXO,20210524,1035.25,1039.25,1011.95,1032.2,235475.0,241396628.25,14020.0,DOWN,-0.29,936.6071428571429,914.6119047619048,909.6392857142857,909.6392857142857,CROSSED_2
18111,140251.0,RELAXO,20210525,1040.1,1125.0,1033.4,1099.15,958136.0,1033387259.35,40014.0,UP,6.49,951.5714285714286,924.9190476190475,916.1741379310345,916.1741379310345,CROSSED_2
18156,145039.0,RELAXO,20210526,1105.0,1136.8,1080.0,1101.8,559530.0,626906355.45,24438.0,UP,0.24,966.1357142857142,936.4166666666666,922.3616666666666,922.3616666666666,CROSSED_2
18605,150798.0,RELAXO,20210527,1097.5,1164.75,1070.0,1124.35,380186.0,417364868.45,21574.0,UP,2.05,982.5821428571429,948.952380952381,928.8774193548387,928.8774193548387,CROSSED_2
19084,157521.0,RELAXO,20210528,1130.0,1140.0,1102.0,1120.95,234636.0,263698929.15,17269.0,DOWN,-0.3,999.6642857142857,960.9595238095238,934.8796875,934.8796875,CROSSED_2
19953,172785.0,RELAXO,20210531,1105.0,1147.0,1105.0,1135.45,253113.0,285972262.7,16855.0,UP,1.29,1016.775,973.6928571428571,940.9575757575757,940.9575757575757,CROSSED_2
20383,4181.0,RELAXO,20210601,1140.0,1145.0,1076.75,1087.4,372763.0,409749993.6,31405.0,DOWN,-4.23,1030.6928571428573,983.8095238095239,945.2647058823529,945.2647058823529,CROSSED_2
20808,9415.0,RELAXO,20210602,1094.4,1111.2,1052.0,1062.35,479865.0,512621029.75,28377.0,DOWN,-2.3,1042.4107142857142,992.5690476190475,948.61,948.61,CROSSED_2
21069,15197.0,RELAXO,20210603,1075.0,1089.95,1067.7,1079.95,226225.0,244026871.15,16189.0,UP,1.66,1053.45,1001.6309523809524,952.2583333333334,952.2583333333334,CROSSED_2
21462,21416.0,RELAXO,20210604,1075.0,1094.4,1070.0,1076.1,161145.0,174429768.65,12451.0,DOWN,-0.36,1065.35,1010.1166666666667,955.6054054054055,955.6054054054055,CROSSED_2
22217,39125.0,RELAXO,20210607,1085.9,1097.95,1072.35,1075.9,140970.0,152873393.05,10239.0,DOWN,-0.02,1076.6392857142857,1018.7738095238095,958.771052631579,958.771052631579,CROSSED_2
22589,45849.0,RELAXO,20210608,1084.8,1092.35,1076.7,1082.0,133552.0,144687037.65,12386.0,UP,0.57,1081.642857142857,1028.307142857143,961.9307692307693,961.9307692307693,CROSSED_2
23142,51531.0,RELAXO,20210609,1080.0,1116.25,1080.0,1087.3,266328.0,293281871.45,15765.0,UP,0.49,1085.725,1037.4214285714286,965.0649999999999,965.0649999999999,CROSSED_2
23544,57307.0,RELAXO,20210610,1087.0,1120.8,1087.0,1105.2,198790.0,220187862.9,11917.0,UP,1.65,1090.7214285714285,1047.547619047619,968.4829268292683,968.4829268292683,CROSSED_2
23966,63105.0,RELAXO,20210611,1108.3,1127.2,1090.0,1097.05,129760.0,143115320.75,11017.0,DOWN,-0.74,1095.3535714285715,1057.0119047619048,971.5440476190475,971.5440476190475,CROSSED_2
24502,78885.0,RELAXO,20210614,1099.0,1114.9,1088.6,1101.55,117869.0,130207155.5,9538.0,UP,0.41,1095.5249999999999,1065.4,974.5674418604651,974.5674418604651,CROSSED_2
24784,84119.0,RELAXO,20210615,1107.45,1116.0,1101.5,1108.8,108748.0,120747815.45,8153.0,UP,0.66,1096.025,1074.8904761904762,977.6181818181817,977.6181818181817,CROSSED_2
25103,89347.0,RELAXO,20210616,1110.15,1110.4,1092.1,1100.0,1199164.0,1319269145.05,7771.0,DOWN,-0.79,1094.2857142857142,1083.564285714286,980.3377777777777,980.3377777777777,CROSSED_2
25909,94638.0,RELAXO,20210617,1116.0,1134.7,1091.05,1099.4,579996.0,649868386.6,44129.0,DOWN,-0.05,1092.7464285714286,1087.7285714285713,982.9260869565217,982.9260869565217,CROSSED_2
26207,100909.0,RELAXO,20210618,1111.0,1130.0,1092.0,1125.4,434098.0,485390401.75,15832.0,UP,2.36,1092.0285714285715,1092.2642857142857,985.9574468085107,985.9574468085107,CROSSED_2
26850,115789.0,RELAXO,20210621,1125.4,1138.9,1102.6,1107.05,307270.0,342732310.2,24914.0,DOWN,-1.63,1093.4321428571427,1095.6833333333332,988.4802083333334,988.4802083333334,CROSSED_2
27116,122014.0,RELAXO,20210622,1122.05,1125.0,1105.0,1108.35,164572.0,183112705.55,10084.0,UP,0.12,1096.7178571428572,1099.3095238095239,990.926530612245,990.926530612245,CROSSED_2
27664,127716.0,RELAXO,20210623,1102.1,1185.0,1102.1,1175.0,716815.0,826788750.4,41142.0,UP,6.01,1103.5071428571428,1102.9214285714286,994.6080000000001,994.6080000000001,CROSSED_2
28115,133016.0,RELAXO,20210624,1194.7,1242.9,1175.1,1189.35,1839351.0,2228478389.25,86075.0,UP,1.22,1111.5964285714285,1107.0904761904762,1000.558,998.4264705882352,CROSSED_2
28624,139296.0,RELAXO,20210625,1199.0,1207.25,1175.0,1183.2,249794.0,296913239.75,13755.0,DOWN,-0.52,1119.2607142857144,1109.892857142857,1006.1829999999999,1001.9798076923076,CROSSED_2
28780,156067.0,RELAXO,20210628,1186.5,1219.0,1161.25,1171.9,423956.0,504122037.7,21185.0,DOWN,-0.96,1125.682142857143,1112.3190476190475,1011.521,1005.1858490566037,CROSSED_2
29515,161815.0,RELAXO,20210629,1178.3,1185.0,1145.1,1153.1,219128.0,255889614.75,14998.0,DOWN,-1.6,1130.382142857143,1113.159523809524,1016.7339999999999,1007.925,CROSSED_2
