,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
4848,65470.0,ROSSARI,20210412,1109.95,1109.95,1015.25,1045.05,143495.0,150878377.5,12691.0,-,0,1045.05,1045.05,1045.05,1045.05,0
5358,71226.0,ROSSARI,20210413,1054.95,1079.5,1039.25,1048.05,56921.0,60170756.75,5841.0,UP,0.29,1046.55,1046.55,1046.55,1046.55,0
5889,81749.0,ROSSARI,20210415,1048.0,1098.65,1037.7,1045.85,141473.0,150148874.05,10609.0,DOWN,-0.21,1046.3166666666666,1046.3166666666666,1046.3166666666666,1046.3166666666666,0
6353,86521.0,ROSSARI,20210416,1045.85,1064.65,1039.0,1050.8,88312.0,92735156.55,7165.0,UP,0.47,1047.4375,1047.4375,1047.4375,1047.4375,0
6819,103287.0,ROSSARI,20210419,1039.95,1062.0,1005.35,1020.1,96825.0,99930490.95,7954.0,DOWN,-2.92,1041.9699999999998,1041.9699999999998,1041.9699999999998,1041.9699999999998,0
6988,107622.0,ROSSARI,20210420,1038.0,1114.0,1028.7,1053.15,351210.0,377465988.75,24459.0,UP,3.24,1043.8333333333333,1043.8333333333333,1043.8333333333333,1043.8333333333333,0
7747,118648.0,ROSSARI,20210422,1067.0,1104.0,1060.0,1096.95,197222.0,213888273.25,13661.0,UP,4.16,1051.4214285714286,1051.4214285714286,1051.4214285714286,1051.4214285714286,0
8142,124884.0,ROSSARI,20210423,1105.0,1133.0,1085.0,1121.7,213865.0,238766537.75,12789.0,UP,2.26,1060.20625,1060.20625,1060.20625,1060.20625,0
8735,142171.0,ROSSARI,20210426,1130.0,1154.0,1112.75,1122.55,99857.0,112675450.25,7640.0,UP,0.08,1067.1333333333334,1067.1333333333334,1067.1333333333334,1067.1333333333334,0
8939,146960.0,ROSSARI,20210427,1121.0,1171.0,1111.0,1151.95,124686.0,143048735.25,8612.0,UP,2.62,1075.615,1075.615,1075.615,1075.615,0
9309,152707.0,ROSSARI,20210428,1170.0,1224.65,1156.6,1174.45,361883.0,432226379.4,25605.0,UP,1.95,1084.6000000000001,1084.6000000000001,1084.6000000000001,1084.6000000000001,0
10113,158931.0,ROSSARI,20210429,1180.6,1257.4,1180.6,1241.45,366595.0,447735638.0,16234.0,UP,5.7,1097.6708333333333,1097.6708333333333,1097.6708333333333,1097.6708333333333,0
10239,164692.0,ROSSARI,20210430,1241.0,1295.9,1231.15,1243.5,287382.0,365197449.9,13719.0,UP,0.17,1108.8884615384616,1108.8884615384616,1108.8884615384616,1108.8884615384616,0
10818,16656.0,ROSSARI,20210503,1243.5,1272.0,1215.0,1227.1,125994.0,155987630.05,7801.0,DOWN,-1.32,1117.3321428571428,1117.3321428571428,1117.3321428571428,1117.3321428571428,0
11315,22376.0,ROSSARI,20210504,1236.9,1241.0,1190.1,1200.55,60933.0,74467791.3,4454.0,DOWN,-2.16,1128.439285714286,1122.88,1122.88,1122.88,CROSSED_2
11945,27624.0,ROSSARI,20210505,1211.4,1229.85,1202.5,1212.45,62326.0,75890738.1,6290.0,UP,0.99,1140.1821428571427,1128.478125,1128.478125,1128.478125,CROSSED_2
12347,33380.0,ROSSARI,20210506,1212.45,1234.75,1195.0,1213.05,81937.0,99335048.65,6411.0,UP,0.05,1152.1250000000002,1133.4529411764706,1133.4529411764706,1133.4529411764706,CROSSED_2
12734,40586.0,ROSSARI,20210507,1220.0,1260.55,1220.0,1240.55,179215.0,223141412.0,10286.0,UP,2.27,1165.6785714285713,1139.4027777777778,1139.4027777777778,1139.4027777777778,CROSSED_2
13343,58763.0,ROSSARI,20210510,1250.0,1348.55,1238.75,1255.5,1087631.0,1415398705.7,69401.0,UP,1.21,1182.4928571428572,1145.5131578947369,1145.5131578947369,1145.5131578947369,CROSSED_2
13460,64062.0,ROSSARI,20210511,1254.5,1329.0,1241.05,1313.45,426207.0,550933490.4,21083.0,UP,4.62,1201.0857142857144,1153.91,1153.91,1153.91,CROSSED_2
14283,68821.0,ROSSARI,20210512,1319.0,1321.35,1242.9,1257.4,215723.0,274587931.6,11489.0,DOWN,-4.27,1212.5464285714284,1158.838095238095,1158.838095238095,1158.838095238095,CROSSED_2
14476,80342.0,ROSSARI,20210514,1258.9,1299.0,1241.3,1282.15,253236.0,322612253.05,12385.0,UP,1.97,1224.007142857143,1170.1285714285714,1164.4431818181818,1164.4431818181818,CROSSED_2
15244,96095.0,ROSSARI,20210517,1260.0,1278.0,1206.95,1220.6,261811.0,323377616.8,15485.0,DOWN,-4.8,1231.0107142857141,1178.345238095238,1166.8847826086956,1166.8847826086956,CROSSED_2
