,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
4849,65471.0,ROUTE,20210412,1660.0,1660.0,1525.1,1539.05,632688.0,1000166704.75,46804.0,-,0,1539.05,1539.05,1539.05,1539.05,0
5357,71227.0,ROUTE,20210413,1551.0,1612.8,1527.65,1541.8,431914.0,674888849.95,30733.0,UP,0.18,1540.425,1540.425,1540.425,1540.425,0
5890,81750.0,ROUTE,20210415,1539.5,1539.5,1481.75,1498.8,335116.0,503673607.3,22867.0,DOWN,-2.79,1526.55,1526.55,1526.55,1526.55,0
6354,86522.0,ROUTE,20210416,1513.0,1536.0,1486.25,1498.45,431478.0,650314320.2,27199.0,DOWN,-0.02,1519.525,1519.525,1519.525,1519.525,0
6820,103288.0,ROUTE,20210419,1460.0,1477.9,1422.25,1456.15,370011.0,536607039.8,26816.0,DOWN,-2.82,1506.85,1506.85,1506.85,1506.85,0
6989,107623.0,ROUTE,20210420,1475.0,1528.8,1466.0,1489.35,268213.0,401101938.45,19921.0,UP,2.28,1503.9333333333334,1503.9333333333334,1503.9333333333334,1503.9333333333334,0
7746,118649.0,ROUTE,20210422,1483.0,1549.25,1472.4,1543.95,337065.0,513791447.45,22353.0,UP,3.67,1509.6499999999999,1509.6499999999999,1509.6499999999999,1509.6499999999999,0
8143,124885.0,ROUTE,20210423,1540.05,1581.0,1511.6,1527.55,258108.0,399885199.05,18638.0,DOWN,-1.06,1511.8875,1511.8875,1511.8875,1511.8875,0
8734,142172.0,ROUTE,20210426,1540.0,1574.0,1536.5,1550.0,182975.0,284217401.15,16271.0,UP,1.47,1516.1222222222223,1516.1222222222223,1516.1222222222223,1516.1222222222223,0
8940,146961.0,ROUTE,20210427,1558.0,1605.0,1554.0,1575.35,326585.0,517585814.95,22956.0,UP,1.64,1522.045,1522.045,1522.045,1522.045,0
9308,152708.0,ROUTE,20210428,1586.0,1644.0,1580.0,1619.05,441871.0,716043804.95,24641.0,UP,2.77,1530.8636363636363,1530.8636363636363,1530.8636363636363,1530.8636363636363,0
10114,158932.0,ROUTE,20210429,1634.4,1653.0,1590.0,1610.65,354651.0,574394420.2,20519.0,DOWN,-0.52,1537.5125,1537.5125,1537.5125,1537.5125,0
10238,164693.0,ROUTE,20210430,1616.0,1680.0,1596.4,1639.4,321890.0,528203825.5,17946.0,UP,1.78,1545.35,1545.35,1545.35,1545.35,0
10819,16657.0,ROUTE,20210503,1631.0,1633.9,1603.25,1608.5,212930.0,343924418.5,15804.0,DOWN,-1.88,1549.8607142857143,1549.8607142857143,1549.8607142857143,1549.8607142857143,0
11316,22377.0,ROUTE,20210504,1623.0,1660.0,1561.1,1574.25,257546.0,416831169.55,14245.0,DOWN,-2.13,1552.375,1551.4866666666667,1551.4866666666667,1551.4866666666667,CROSSED_2
11946,27625.0,ROUTE,20210505,1593.8,1606.0,1575.0,1587.5,140168.0,222492777.8,10159.0,UP,0.84,1555.6392857142857,1553.7375,1553.7375,1553.7375,CROSSED_2
12346,33381.0,ROUTE,20210506,1599.7,1629.0,1562.45,1602.85,254062.0,406193160.15,16459.0,UP,0.97,1563.0714285714287,1556.6264705882354,1556.6264705882354,1556.6264705882354,CROSSED_2
12735,40587.0,ROUTE,20210507,1605.05,1648.4,1600.0,1604.35,314525.0,510218384.6,15294.0,UP,0.09,1570.6357142857144,1559.2777777777778,1559.2777777777778,1559.2777777777778,CROSSED_2
