,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
4851,65473.0,RVNL,20210412,28.4,28.5,27.0,27.05,7631551.0,209552799.1,23709.0,-,0,27.05,27.05,27.05,27.05,0
5355,71229.0,RVNL,20210413,27.05,27.7,26.85,27.45,4279166.0,117062924.45,12883.0,UP,1.48,27.25,27.25,27.25,27.25,0
5892,81752.0,RVNL,20210415,27.3,27.7,26.9,27.25,3583495.0,97669907.5,9572.0,DOWN,-0.73,27.25,27.25,27.25,27.25,0
6356,86524.0,RVNL,20210416,27.35,28.15,27.2,27.7,4171809.0,115234433.0,9906.0,UP,1.65,27.3625,27.3625,27.3625,27.3625,0
6822,103290.0,RVNL,20210419,26.7,27.0,26.35,26.75,5172192.0,137822920.65,15372.0,DOWN,-3.43,27.24,27.24,27.24,27.24,0
6991,107625.0,RVNL,20210420,26.9,27.35,26.55,26.75,4191324.0,113079417.8,11527.0,Const,0.0,27.15833333333333,27.15833333333333,27.15833333333333,27.15833333333333,0
7744,118651.0,RVNL,20210422,26.85,26.85,26.45,26.5,3388238.0,90081707.3,18025.0,DOWN,-0.93,27.064285714285713,27.064285714285713,27.064285714285713,27.064285714285713,0
8145,124887.0,RVNL,20210423,26.7,26.9,26.35,26.5,5838338.0,155331064.75,16885.0,Const,0.0,26.99375,26.99375,26.99375,26.99375,0
8732,142174.0,RVNL,20210426,26.75,27.0,26.55,26.65,3507322.0,93625898.55,10246.0,UP,0.57,26.955555555555556,26.955555555555556,26.955555555555556,26.955555555555556,0
8942,146963.0,RVNL,20210427,26.75,27.7,26.65,27.45,5573757.0,152019652.7,12895.0,UP,3.0,27.005000000000003,27.005000000000003,27.005000000000003,27.005000000000003,0
9306,152710.0,RVNL,20210428,27.6,27.95,27.5,27.7,3163806.0,87632909.4,9636.0,UP,0.91,27.068181818181817,27.068181818181817,27.068181818181817,27.068181818181817,0
