,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
4852,65474.0,SAIL,20210412,91.9,91.95,83.45,84.7,97082396.0,8481031971.45,218769.0,-,0,84.7,84.7,84.7,84.7,0
5354,71230.0,SAIL,20210413,85.35,91.7,85.35,90.7,64322836.0,5657007455.95,132236.0,UP,7.08,87.7,87.7,87.7,87.7,0
5893,81753.0,SAIL,20210415,92.0,95.35,89.9,92.8,120105992.0,11131103980.2,230139.0,UP,2.32,89.39999999999999,89.39999999999999,89.39999999999999,89.39999999999999,0
6357,86525.0,SAIL,20210416,93.8,94.5,91.05,91.6,39292380.0,3662102769.55,101321.0,DOWN,-1.29,89.95,89.95,89.95,89.95,0
6823,103291.0,SAIL,20210419,87.25,89.5,85.35,89.15,60730939.0,5336171877.1,128153.0,DOWN,-2.67,89.78999999999999,89.78999999999999,89.78999999999999,89.78999999999999,0
6992,107626.0,SAIL,20210420,90.5,92.15,87.7,89.0,36041449.0,3259176517.4,72631.0,DOWN,-0.17,89.65833333333335,89.65833333333335,89.65833333333335,89.65833333333335,0
7743,118652.0,SAIL,20210422,89.5,94.5,89.0,94.05,56291774.0,5201046409.5,115752.0,UP,5.67,90.28571428571429,90.28571428571429,90.28571428571429,90.28571428571429,0
8146,124888.0,SAIL,20210423,95.0,96.7,90.75,93.1,72844016.0,6896357392.2,147053.0,DOWN,-1.01,90.6375,90.6375,90.6375,90.6375,0
8731,142175.0,SAIL,20210426,95.05,101.2,94.85,100.5,167027119.0,16506561310.95,313413.0,UP,7.95,91.73333333333333,91.73333333333333,91.73333333333333,91.73333333333333,0
8943,146964.0,SAIL,20210427,100.5,101.55,99.3,100.15,59990913.0,6027929476.65,137802.0,DOWN,-0.35,92.575,92.575,92.575,92.575,0
9305,152711.0,SAIL,20210428,100.8,104.2,99.6,103.5,71403090.0,7263987194.0,144770.0,UP,3.34,93.56818181818181,93.56818181818181,93.56818181818181,93.56818181818181,0
10117,158935.0,SAIL,20210429,105.0,113.5,104.75,112.5,144435081.0,15685198320.55,294322.0,UP,8.7,95.14583333333333,95.14583333333333,95.14583333333333,95.14583333333333,0
10235,164696.0,SAIL,20210430,111.0,121.35,109.25,119.5,211743607.0,24903118271.15,460424.0,UP,6.22,97.01923076923077,97.01923076923077,97.01923076923077,97.01923076923077,0
10821,16660.0,SAIL,20210503,119.2,130.6,116.45,127.75,170916244.0,21360143269.95,396305.0,UP,6.9,99.21428571428571,99.21428571428571,99.21428571428571,99.21428571428571,0
11319,22380.0,SAIL,20210504,129.7,135.7,126.15,128.0,195246744.0,25642317519.0,463309.0,UP,0.2,102.30714285714285,101.13333333333334,101.13333333333334,101.13333333333334,CROSSED_2
11949,27628.0,SAIL,20210505,132.5,134.3,126.55,130.3,104823675.0,13630042498.25,255101.0,UP,1.8,105.13571428571427,102.95625,102.95625,102.95625,CROSSED_2
12343,33384.0,SAIL,20210506,130.4,135.0,129.35,133.65,97680986.0,12925285350.15,226906.0,UP,2.57,108.05357142857143,104.76176470588236,104.76176470588236,104.76176470588236,CROSSED_2
