,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
239,2773.0,SAREGAMA,20210101,820.0,870.0,820.0,831.05,82415.0,70251516.4,5313.0,-,0,831.05,831.05,831.05,831.05,0
780,19975.0,SAREGAMA,20210104,833.0,844.4,817.15,828.9,19400.0,16115179.35,1775.0,DOWN,-0.26,829.9749999999999,829.9749999999999,829.9749999999999,829.9749999999999,0
1018,168009.0,SAREGAMA,20210330,1564.0,1620.0,1513.95,1592.55,19820.0,31047678.95,2276.0,UP,92.13,1084.1666666666667,1084.1666666666667,1084.1666666666667,1084.1666666666667,0
1722,171837.0,SAREGAMA,20210331,1600.0,1620.0,1560.0,1595.15,18361.0,29158566.9,1837.0,UP,0.16,1211.9125,1211.9125,1211.9125,1211.9125,0
2073,365.0,SAREGAMA,20210401,1619.0,1741.0,1601.2,1712.3,44110.0,74426291.1,3363.0,UP,7.34,1311.99,1311.99,1311.99,1311.99,0
2647,24279.0,SAREGAMA,20210405,1720.0,1728.0,1639.85,1699.95,27193.0,45730533.05,3186.0,DOWN,-0.72,1376.6499999999999,1376.6499999999999,1376.6499999999999,1376.6499999999999,0
2837,29556.0,SAREGAMA,20210406,1713.25,1821.0,1713.25,1778.65,62797.0,111354401.4,5683.0,UP,4.63,1434.0785714285714,1434.0785714285714,1434.0785714285714,1434.0785714285714,0
3222,35771.0,SAREGAMA,20210407,1780.0,1851.0,1780.0,1795.05,30108.0,54544999.55,3328.0,UP,0.92,1479.2,1479.2,1479.2,1479.2,0
3880,42482.0,SAREGAMA,20210408,1803.25,1808.2,1747.0,1755.8,20643.0,36412618.95,2363.0,DOWN,-2.19,1509.9333333333334,1509.9333333333334,1509.9333333333334,1509.9333333333334,0
4505,49211.0,SAREGAMA,20210409,1732.0,1756.0,1683.05,1737.9,19613.0,33794240.15,2802.0,DOWN,-1.02,1532.73,1532.73,1532.73,1532.73,0
4854,65476.0,SAREGAMA,20210412,1682.0,1757.2,1644.5,1691.75,32565.0,55207300.35,4160.0,DOWN,-2.66,1547.1863636363635,1547.1863636363635,1547.1863636363635,1547.1863636363635,0
