,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
4858,65480.0,SCHAEFFLER,20210412,5297.2,5305.0,5067.2,5126.95,15601.0,80298753.15,5113.0,-,0,5126.95,5126.95,5126.95,5126.95,0
5348,71236.0,SCHAEFFLER,20210413,5130.0,5345.0,5062.05,5301.45,35867.0,187174884.85,4568.0,UP,3.4,5214.2,5214.2,5214.2,5214.2,0
5899,81759.0,SCHAEFFLER,20210415,5241.0,5320.0,5166.15,5207.45,23492.0,123307122.55,2127.0,DOWN,-1.77,5211.95,5211.95,5211.95,5211.95,0
6363,86531.0,SCHAEFFLER,20210416,5250.0,5298.75,5125.0,5167.2,12907.0,67721865.7,2819.0,DOWN,-0.77,5200.7625,5200.7625,5200.7625,5200.7625,0
6829,103297.0,SCHAEFFLER,20210419,5125.0,5159.0,5027.4,5104.65,13520.0,68589267.5,4007.0,DOWN,-1.21,5181.539999999999,5181.539999999999,5181.539999999999,5181.539999999999,0
6998,107632.0,SCHAEFFLER,20210420,5110.0,5163.6,4952.25,5029.8,8194.0,41520299.0,2987.0,DOWN,-1.47,5156.25,5156.25,5156.25,5156.25,0
7737,118658.0,SCHAEFFLER,20210422,4955.0,5038.3,4897.75,4992.15,27868.0,139034889.1,6330.0,DOWN,-0.75,5132.807142857143,5132.807142857143,5132.807142857143,5132.807142857143,0
8152,124894.0,SCHAEFFLER,20210423,4992.15,5038.8,4971.0,4998.45,9016.0,45067393.85,4007.0,UP,0.13,5116.0125,5116.0125,5116.0125,5116.0125,0
8725,142181.0,SCHAEFFLER,20210426,5020.25,5250.55,4975.0,5182.75,19756.0,101807164.4,5543.0,UP,3.69,5123.427777777778,5123.427777777778,5123.427777777778,5123.427777777778,0
8949,146970.0,SCHAEFFLER,20210427,5350.0,5449.0,5034.8,5302.9,72632.0,385532479.7,13100.0,UP,2.32,5141.375,5141.375,5141.375,5141.375,0
9299,152717.0,SCHAEFFLER,20210428,5370.0,5380.0,5259.4,5307.15,11634.0,61781799.75,4277.0,UP,0.08,5156.445454545454,5156.445454545454,5156.445454545454,5156.445454545454,0
10123,158941.0,SCHAEFFLER,20210429,5275.5,5334.45,5153.35,5299.15,13421.0,70933535.2,3805.0,DOWN,-0.15,5168.3375,5168.3375,5168.3375,5168.3375,0
10229,164702.0,SCHAEFFLER,20210430,5324.0,5324.35,5185.0,5233.4,10568.0,55763798.8,3520.0,DOWN,-1.24,5173.342307692307,5173.342307692307,5173.342307692307,5173.342307692307,0
10827,16666.0,SCHAEFFLER,20210503,5190.0,5270.95,5170.0,5197.9,5453.0,28422170.65,1084.0,DOWN,-0.68,5175.096428571428,5175.096428571428,5175.096428571428,5175.096428571428,0
11325,22386.0,SCHAEFFLER,20210504,5243.85,5243.9,5136.05,5208.75,21248.0,110558919.05,1890.0,UP,0.21,5180.939285714286,5177.339999999999,5177.339999999999,5177.339999999999,CROSSED_2
11955,27634.0,SCHAEFFLER,20210505,5235.0,5235.0,5110.5,5167.05,7985.0,41202130.1,2536.0,DOWN,-0.8,5171.339285714285,5176.696875,5176.696875,5176.696875,WILL_CROSS_1
12337,33390.0,SCHAEFFLER,20210506,5151.0,5194.85,5002.3,5074.9,12152.0,61668362.95,4444.0,DOWN,-1.78,5161.871428571429,5170.708823529412,5170.708823529412,5170.708823529412,WILL_CROSS_1
12744,40596.0,SCHAEFFLER,20210507,5075.0,5108.45,4969.15,4986.15,7233.0,36226576.9,2514.0,DOWN,-1.75,5148.939285714286,5160.455555555555,5160.455555555555,5160.455555555555,WILL_CROSS_1
13333,58773.0,SCHAEFFLER,20210510,5026.95,5027.0,4944.05,4969.15,10403.0,51901007.9,5585.0,DOWN,-0.34,5139.260714285714,5150.386842105263,5150.386842105263,5150.386842105263,WILL_CROSS_1
13917,64072.0,SCHAEFFLER,20210511,4989.85,4996.2,4928.05,4967.45,6447.0,32019040.5,2196.0,DOWN,-0.03,5134.807142857142,5141.24,5141.24,5141.24,WILL_CROSS_1
14293,68831.0,SCHAEFFLER,20210512,4997.3,5003.15,4924.05,4969.55,18017.0,89188062.0,3875.0,UP,0.04,5133.192857142857,5133.064285714286,5133.064285714286,5133.064285714286,CROSSED_2
14466,80352.0,SCHAEFFLER,20210514,5000.0,5019.2,4830.4,4921.7,9618.0,47308598.85,3862.0,DOWN,-0.96,5127.710714285715,5123.2904761904765,5123.456818181818,5123.456818181818,CROSSED_2
15234,96105.0,SCHAEFFLER,20210517,4970.0,5009.0,4826.0,4969.95,17991.0,88891439.5,5976.0,UP,0.98,5112.510714285715,5107.504761904762,5116.782608695652,5116.782608695652,WILL_CROSS_1
15692,101385.0,SCHAEFFLER,20210518,4991.5,5010.05,4905.25,5009.05,23041.0,115016017.7,5993.0,UP,0.79,5091.521428571427,5098.057142857142,5112.29375,5112.29375,WILL_CROSS_1
16238,106197.0,SCHAEFFLER,20210519,5000.5,5129.9,5000.5,5086.0,8088.0,41207705.3,1975.0,UP,1.54,5075.724999999999,5094.190476190476,5111.241999999999,5111.241999999999,WILL_CROSS_1
16694,111465.0,SCHAEFFLER,20210520,5096.0,5134.8,5025.0,5043.75,4249.0,21529286.6,1248.0,DOWN,-0.83,5057.482142857143,5091.2904761904765,5108.6461538461535,5108.6461538461535,WILL_CROSS_1
17108,117256.0,SCHAEFFLER,20210521,5061.3,5188.0,4989.85,5061.85,15966.0,81335768.25,2955.0,UP,0.36,5045.228571428571,5092.816666666667,5106.912962962962,5106.912962962962,WILL_CROSS_1
17226,134484.0,SCHAEFFLER,20210524,5139.0,5175.0,5053.7,5154.85,27409.0,140661210.25,1787.0,UP,1.84,5042.153571428571,5100.564285714286,5108.625,5108.625,WILL_CROSS_1
18097,140265.0,SCHAEFFLER,20210525,5160.5,5194.95,5086.65,5163.45,10429.0,53685852.7,2246.0,UP,0.17,5038.9178571428565,5108.421428571428,5110.515517241379,5110.515517241379,WILL_CROSS_1
18142,145053.0,SCHAEFFLER,20210526,5175.8,5270.0,5125.25,5159.25,2023.0,10438857.2,660.0,DOWN,-0.08,5038.3607142857145,5107.302380952381,5112.139999999999,5112.139999999999,WILL_CROSS_1
18619,150812.0,SCHAEFFLER,20210527,5159.25,5270.0,5138.25,5211.35,9979.0,51932388.25,3149.0,UP,1.01,5048.107142857143,5102.942857142857,5115.340322580645,5115.340322580645,WILL_CROSS_1
19269,157535.0,SCHAEFFLER,20210528,5207.0,5318.75,5150.0,5287.25,35117.0,185296880.3,3937.0,UP,1.46,5069.614285714286,5101.995238095238,5120.7125,5120.7125,WILL_CROSS_1
19967,172799.0,SCHAEFFLER,20210531,5317.0,5317.0,5205.05,5288.25,20175.0,106177076.85,1857.0,UP,0.02,5092.407142857142,5101.476190476191,5125.789393939393,5125.789393939393,WILL_CROSS_1
20369,4195.0,SCHAEFFLER,20210601,5287.1,5356.4,5170.7,5201.35,7064.0,37067219.15,1758.0,DOWN,-1.64,5109.114285714286,5099.95,5128.011764705882,5128.011764705882,WILL_CROSS_1
20822,9429.0,SCHAEFFLER,20210602,5175.0,5249.4,5175.0,5216.15,9867.0,51471066.2,1849.0,UP,0.28,5126.728571428571,5100.819047619048,5130.53,5130.53,WILL_CROSS_1
21083,15211.0,SCHAEFFLER,20210603,5227.0,5250.0,5185.0,5215.15,7381.0,38446202.3,3594.0,DOWN,-0.02,5147.689285714286,5101.1238095238095,5132.8805555555555,5132.8805555555555,CROSSED_2
21476,21430.0,SCHAEFFLER,20210604,5220.0,5225.0,5144.05,5203.85,10834.0,56334061.0,3593.0,DOWN,-0.22,5164.396428571429,5102.8761904761905,5134.798648648648,5134.798648648648,CROSSED_2
22231,39139.0,SCHAEFFLER,20210607,5193.0,5260.25,5151.7,5201.85,10361.0,53869575.15,4731.0,DOWN,-0.04,5178.167857142857,5108.921428571428,5136.563157894737,5136.563157894737,CROSSED_2
22603,45863.0,SCHAEFFLER,20210608,5250.0,5275.0,5183.55,5246.25,11967.0,62739245.4,4439.0,UP,0.85,5189.614285714286,5121.307142857143,5139.375641025641,5139.375641025641,CROSSED_2
23154,51543.0,SCHAEFFLER,20210609,5246.2,5285.0,5225.0,5252.8,6999.0,36740745.7,3178.0,UP,0.12,5204.546428571428,5134.814285714286,5142.21125,5142.21125,CROSSED_2
23556,57319.0,SCHAEFFLER,20210610,5282.0,5310.05,5205.0,5256.6,4069.0,21445640.15,1293.0,UP,0.07,5218.457142857143,5148.583333333333,5145.001219512194,5145.001219512194,CROSSED_2
23978,63117.0,SCHAEFFLER,20210611,5270.0,5285.0,5215.0,5251.05,50692.0,266173264.75,5482.0,DOWN,-0.11,5225.328571428572,5161.988095238095,5147.526190476191,5147.526190476191,CROSSED_2
24514,78897.0,SCHAEFFLER,20210614,5285.0,5285.05,5180.0,5253.9,7281.0,38133115.7,2766.0,UP,0.05,5231.789285714286,5177.807142857143,5150.0,5150.0,CROSSED_2
24796,84131.0,SCHAEFFLER,20210615,5252.55,5265.2,5202.3,5242.05,8458.0,44301777.2,1786.0,DOWN,-0.23,5237.703571428572,5190.7642857142855,5152.092045454545,5152.092045454545,CROSSED_2
25115,89359.0,SCHAEFFLER,20210616,5246.95,5274.45,5200.0,5227.8,5977.0,31264895.25,2065.0,DOWN,-0.27,5238.878571428571,5201.180952380952,5153.774444444444,5153.774444444444,CROSSED_2
25921,94650.0,SCHAEFFLER,20210617,5228.7,5325.0,5172.4,5315.15,20574.0,108408562.5,5877.0,UP,1.67,5240.871428571429,5212.092857142857,5157.282608695652,5157.282608695652,CROSSED_2
26219,100921.0,SCHAEFFLER,20210618,5310.0,5331.95,5206.3,5296.9,10143.0,53488329.75,5689.0,DOWN,-0.34,5241.489285714286,5224.14761904762,5160.253191489362,5160.253191489362,CROSSED_2
26838,115801.0,SCHAEFFLER,20210621,5296.9,5296.9,5206.05,5269.9,7759.0,40849480.25,1563.0,DOWN,-0.51,5246.385714285714,5234.054761904762,5162.537499999999,5162.537499999999,CROSSED_2
27128,122026.0,SCHAEFFLER,20210622,5242.0,5450.0,5215.15,5307.05,14515.0,76764837.25,7112.0,UP,0.7,5252.878571428571,5241.30238095238,5165.486734693877,5165.486734693877,CROSSED_2
27676,127728.0,SCHAEFFLER,20210623,5345.95,5406.2,5260.0,5376.05,11865.0,63629474.05,5464.0,UP,1.3,5264.3714285714295,5251.426190476191,5169.698,5169.698,CROSSED_2
28127,133028.0,SCHAEFFLER,20210624,5425.55,5491.0,5305.35,5456.9,12421.0,67449113.25,5295.0,UP,1.5,5282.446428571428,5265.6,5176.297,5175.329411764706,CROSSED_2
28636,139308.0,SCHAEFFLER,20210625,5490.0,5626.15,5420.0,5604.55,21291.0,117784483.65,5346.0,UP,2.71,5311.210714285714,5284.323809523809,5182.359,5183.5836538461535,CROSSED_2
28792,156079.0,SCHAEFFLER,20210628,5700.25,5747.95,5638.0,5653.3,13958.0,79409647.7,3912.0,UP,0.87,5340.285714285715,5301.754761904762,5191.276,5192.446226415095,CROSSED_2
29503,161827.0,SCHAEFFLER,20210629,5607.65,5690.1,5450.0,5550.3,9081.0,50329021.8,2940.0,DOWN,-1.82,5361.535714285715,5314.233333333333,5198.938,5199.073148148148,CROSSED_2
29699,167052.0,SCHAEFFLER,20210630,5589.95,5700.0,5475.55,5634.4,13748.0,77218933.65,3981.0,UP,1.52,5388.521428571429,5334.854761904762,5209.532999999999,5206.988181818181,CROSSED_2
30433,3230.0,SCHAEFFLER,20210701,5649.0,5700.0,5486.0,5544.8,16197.0,90670977.8,5163.0,DOWN,-1.59,5409.503571428571,5350.504761904762,5219.833,5213.020535714286,CROSSED_2
30584,8963.0,SCHAEFFLER,20210702,5550.05,5654.75,5506.1,5585.35,5929.0,33087096.95,2397.0,UP,0.73,5433.178571428572,5368.133333333333,5231.697,5219.5526315789475,CROSSED_2
31085,26669.0,SCHAEFFLER,20210705,5567.2,5660.0,5535.05,5599.75,5885.0,32904570.3,2809.0,UP,0.26,5458.728571428571,5386.9857142857145,5243.722999999999,5226.107758620689,CROSSED_2
31756,31926.0,SCHAEFFLER,20210706,5599.95,5638.75,5452.3,5496.4,6482.0,36008335.75,2714.0,DOWN,-1.85,5477.914285714286,5401.011904761905,5249.996,5230.688983050848,CROSSED_2
