,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
4859,65481.0,SCI,20210412,109.0,109.0,100.0,101.2,4158600.0,427896508.7,26438.0,-,0,101.2,101.2,101.2,101.2,0
5347,71237.0,SCI,20210413,101.0,107.4,101.0,106.1,2181227.0,227816339.95,14944.0,UP,4.84,103.65,103.65,103.65,103.65,0
5900,81760.0,SCI,20210415,106.0,106.0,102.05,103.5,1592858.0,165000289.8,10741.0,DOWN,-2.45,103.60000000000001,103.60000000000001,103.60000000000001,103.60000000000001,0
6364,86532.0,SCI,20210416,103.9,107.5,103.1,103.9,1643687.0,172694644.75,10377.0,UP,0.39,103.675,103.675,103.675,103.675,0
6830,103298.0,SCI,20210419,99.2,101.0,97.0,98.9,2476444.0,244842679.7,15507.0,DOWN,-4.81,102.72,102.72,102.72,102.72,0
6999,107633.0,SCI,20210420,100.5,102.2,98.55,99.25,1758556.0,176091948.25,9850.0,UP,0.35,102.14166666666667,102.14166666666667,102.14166666666667,102.14166666666667,0
7736,118659.0,SCI,20210422,99.0,104.65,97.8,102.35,3789892.0,385236875.8,21135.0,UP,3.12,102.17142857142858,102.17142857142858,102.17142857142858,102.17142857142858,0
8153,124895.0,SCI,20210423,101.55,104.2,100.45,101.85,1625558.0,166543288.65,10472.0,DOWN,-0.49,102.13125,102.13125,102.13125,102.13125,0
8724,142182.0,SCI,20210426,101.9,103.8,100.4,101.15,1507116.0,154426210.25,9185.0,DOWN,-0.69,102.02222222222223,102.02222222222223,102.02222222222223,102.02222222222223,0
8950,146971.0,SCI,20210427,101.95,109.45,101.65,107.6,7648593.0,819847152.9,45257.0,UP,6.38,102.58,102.58,102.58,102.58,0
9298,152718.0,SCI,20210428,108.4,108.45,105.35,105.85,1749516.0,186065238.35,11384.0,DOWN,-1.63,102.87727272727274,102.87727272727274,102.87727272727274,102.87727272727274,0
10124,158942.0,SCI,20210429,106.15,106.85,102.6,103.6,1682266.0,175826469.05,10440.0,DOWN,-2.13,102.9375,102.9375,102.9375,102.9375,0
10228,164703.0,SCI,20210430,103.25,107.35,102.4,104.45,2243947.0,236934631.9,13647.0,UP,0.82,103.05384615384615,103.05384615384615,103.05384615384615,103.05384615384615,0
