,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
4860,65482.0,SEQUENT,20210412,263.0,267.0,243.8,245.15,1009003.0,255897759.65,14871.0,-,0,245.15,245.15,245.15,245.15,0
5346,71238.0,SEQUENT,20210413,246.5,252.85,241.3,246.45,952126.0,233486417.65,9097.0,UP,0.53,245.8,245.8,245.8,245.8,0
5901,81761.0,SEQUENT,20210415,246.8,256.9,245.55,250.15,461271.0,115339106.75,12608.0,UP,1.5,247.25,247.25,247.25,247.25,0
6365,86533.0,SEQUENT,20210416,252.35,259.0,250.5,255.85,437620.0,111444974.2,8843.0,UP,2.28,249.4,249.4,249.4,249.4,0
6831,103299.0,SEQUENT,20210419,246.0,261.2,244.1,253.8,623065.0,158175288.45,19177.0,DOWN,-0.8,250.28000000000003,250.28000000000003,250.28000000000003,250.28000000000003,0
7000,107634.0,SEQUENT,20210420,257.95,260.0,252.1,253.45,344003.0,87785806.4,9957.0,DOWN,-0.14,250.8083333333333,250.8083333333333,250.8083333333333,250.8083333333333,0
7735,118660.0,SEQUENT,20210422,252.0,271.0,249.7,264.2,765588.0,201193565.1,16501.0,UP,4.24,252.72142857142856,252.72142857142856,252.72142857142856,252.72142857142856,0
8154,124896.0,SEQUENT,20210423,264.4,277.0,263.3,265.65,900984.0,244999771.2,13388.0,UP,0.55,254.33749999999998,254.33749999999998,254.33749999999998,254.33749999999998,0
8723,142183.0,SEQUENT,20210426,268.05,283.85,266.45,280.55,796596.0,219927970.1,14852.0,UP,5.61,257.25,257.25,257.25,257.25,0
8951,146972.0,SEQUENT,20210427,282.85,291.8,277.05,282.85,909041.0,258583642.9,16343.0,UP,0.82,259.81,259.81,259.81,259.81,0
9297,152719.0,SEQUENT,20210428,282.15,304.0,280.0,296.55,1800342.0,530987277.0,26547.0,UP,4.84,263.15000000000003,263.15000000000003,263.15000000000003,263.15000000000003,0
10125,158943.0,SEQUENT,20210429,298.0,301.0,286.55,293.55,937924.0,276371941.95,26783.0,DOWN,-1.01,265.68333333333334,265.68333333333334,265.68333333333334,265.68333333333334,0
10227,164704.0,SEQUENT,20210430,289.8,312.0,289.0,291.85,1691686.0,509628564.3,37537.0,DOWN,-0.58,267.69615384615383,267.69615384615383,267.69615384615383,267.69615384615383,0
10829,16668.0,SEQUENT,20210503,289.95,293.65,280.8,284.25,1411136.0,404829142.6,23273.0,DOWN,-2.6,268.87857142857143,268.87857142857143,268.87857142857143,268.87857142857143,0
11327,22388.0,SEQUENT,20210504,286.0,295.3,284.9,289.2,1229839.0,355406125.5,13904.0,UP,1.74,272.025,270.23333333333335,270.23333333333335,270.23333333333335,CROSSED_2
