,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
4861,65483.0,SFL,20210412,2108.0,2108.0,1932.75,1983.7,12046.0,24076671.7,2627.0,-,0,1983.7,1983.7,1983.7,1983.7,0
5345,71239.0,SFL,20210413,1983.7,2019.55,1955.85,1984.1,5898.0,11688486.65,1872.0,UP,0.02,1983.9,1983.9,1983.9,1983.9,0
5902,81762.0,SFL,20210415,1961.0,2046.75,1952.6,2002.65,28882.0,57729225.1,2529.0,UP,0.93,1990.1499999999999,1990.1499999999999,1990.1499999999999,1990.1499999999999,0
6366,86534.0,SFL,20210416,2012.0,2041.7,1976.0,1991.4,7983.0,16004747.9,2467.0,DOWN,-0.56,1990.4625,1990.4625,1990.4625,1990.4625,0
6832,103300.0,SFL,20210419,1980.0,2009.2,1940.0,1985.5,6502.0,12932003.75,2648.0,DOWN,-0.3,1989.47,1989.47,1989.47,1989.47,0
7001,107635.0,SFL,20210420,1975.6,2050.0,1961.05,2034.95,8192.0,16445171.85,2579.0,UP,2.49,1997.05,1997.05,1997.05,1997.05,0
7734,118661.0,SFL,20210422,2026.4,2076.25,2001.0,2042.0,8677.0,17672712.5,2034.0,UP,0.35,2003.4714285714285,2003.4714285714285,2003.4714285714285,2003.4714285714285,0
8155,124897.0,SFL,20210423,2078.0,2171.0,2040.0,2061.4,40959.0,86031112.25,8193.0,UP,0.95,2010.7125,2010.7125,2010.7125,2010.7125,0
8722,142184.0,SFL,20210426,2055.0,2075.7,1992.0,2008.5,10222.0,20695315.7,2071.0,DOWN,-2.57,2010.4666666666667,2010.4666666666667,2010.4666666666667,2010.4666666666667,0
8952,146973.0,SFL,20210427,2066.15,2066.15,2022.05,2032.6,3876.0,7904267.95,946.0,UP,1.2,2012.6799999999998,2012.6799999999998,2012.6799999999998,2012.6799999999998,0
9296,152720.0,SFL,20210428,2096.15,2128.0,2070.35,2082.55,16763.0,35200643.75,2643.0,UP,2.46,2019.0318181818182,2019.0318181818182,2019.0318181818182,2019.0318181818182,0
10126,158944.0,SFL,20210429,2093.5,2112.6,2055.0,2072.15,4678.0,9738433.2,1177.0,DOWN,-0.5,2023.4583333333333,2023.4583333333333,2023.4583333333333,2023.4583333333333,0
10226,164705.0,SFL,20210430,2053.3,2119.9,2025.9,2036.7,4419.0,9093052.75,1248.0,DOWN,-1.71,2024.4769230769232,2024.4769230769232,2024.4769230769232,2024.4769230769232,0
10830,16669.0,SFL,20210503,2005.0,2066.2,2002.3,2035.85,15789.0,32066244.25,3300.0,DOWN,-0.04,2025.2892857142856,2025.2892857142856,2025.2892857142856,2025.2892857142856,0
11328,22389.0,SFL,20210504,2046.0,2068.15,2010.3,2039.5,20647.0,41903716.9,3272.0,UP,0.18,2029.2749999999999,2026.2366666666667,2026.2366666666667,2026.2366666666667,CROSSED_2
11958,27637.0,SFL,20210505,2047.0,2049.7,2014.55,2032.65,12823.0,26024976.75,1908.0,DOWN,-0.34,2032.7428571428572,2026.6375,2026.6375,2026.6375,CROSSED_2
12334,33393.0,SFL,20210506,2026.0,2042.65,2012.0,2034.0,14823.0,30070569.75,2616.0,UP,0.07,2034.982142857143,2027.070588235294,2027.070588235294,2027.070588235294,CROSSED_2
12747,40599.0,SFL,20210507,2022.0,2034.0,2001.0,2020.2,22941.0,46422433.35,5459.0,DOWN,-0.68,2037.0392857142858,2026.6888888888889,2026.6888888888889,2026.6888888888889,CROSSED_2
13330,58776.0,SFL,20210510,2005.0,2035.0,2000.0,2022.9,6813.0,13734022.25,1884.0,UP,0.13,2039.7107142857144,2026.4894736842107,2026.4894736842107,2026.4894736842107,CROSSED_2
