,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
4863,65485.0,SHREECEM,20210412,31200.0,31497.4,29757.85,29881.05,114698.0,3479620443.1,33755.0,-,0,29881.05,29881.05,29881.05,29881.05,0
5342,71241.0,SHREECEM,20210413,30200.0,30699.9,30110.0,30356.05,91665.0,2785005211.65,29098.0,UP,1.59,30118.55,30118.55,30118.55,30118.55,0
5904,81764.0,SHREECEM,20210415,30599.0,30896.05,29514.0,30305.4,72414.0,2177313062.85,24202.0,DOWN,-0.17,30180.833333333332,30180.833333333332,30180.833333333332,30180.833333333332,0
6368,86536.0,SHREECEM,20210416,30440.0,30988.8,30056.15,30821.1,58345.0,1788756463.3,19632.0,UP,1.7,30340.9,30340.9,30340.9,30340.9,0
6834,103302.0,SHREECEM,20210419,30001.05,30490.3,29557.3,30057.75,52945.0,1586046295.95,18095.0,DOWN,-2.48,30284.27,30284.27,30284.27,30284.27,0
7003,107637.0,SHREECEM,20210420,30420.0,30655.8,29051.0,29320.7,72618.0,2146173243.1,22592.0,DOWN,-2.45,30123.675,30123.675,30123.675,30123.675,0
7732,118663.0,SHREECEM,20210422,29200.0,29200.0,28083.35,28521.95,83043.0,2359076487.0,25809.0,DOWN,-2.72,29894.85714285714,29894.85714285714,29894.85714285714,29894.85714285714,0
8157,124899.0,SHREECEM,20210423,28499.0,28673.35,27926.0,28106.3,70968.0,1997320451.8,24267.0,DOWN,-1.46,29671.2875,29671.2875,29671.2875,29671.2875,0
8720,142186.0,SHREECEM,20210426,28249.0,28444.15,27951.05,28062.6,40346.0,1135286257.4,15326.0,DOWN,-0.16,29492.544444444447,29492.544444444447,29492.544444444447,29492.544444444447,0
8954,146975.0,SHREECEM,20210427,28185.7,28325.0,27965.0,28098.55,31369.0,881081464.8,9763.0,UP,0.13,29353.145,29353.145,29353.145,29353.145,0
