,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
28133,133034.0,SHYAMMETL,20210624,380.0,399.0,370.0,376.15,27035744.0,10356901217.15,610360.0,-,0,376.15,376.15,376.15,376.15,0
28642,139314.0,SHYAMMETL,20210625,378.4,406.0,373.7,389.0,10269222.0,4016209722.05,193933.0,UP,3.42,382.575,382.575,382.575,382.575,0
28798,156085.0,SHYAMMETL,20210628,387.8,393.95,375.25,378.15,3087635.0,1180979218.5,73099.0,DOWN,-2.79,381.09999999999997,381.09999999999997,381.09999999999997,381.09999999999997,0
29497,161833.0,SHYAMMETL,20210629,378.15,382.95,362.2,364.3,2125937.0,789971747.1,42086.0,DOWN,-3.66,376.9,376.9,376.9,376.9,0
29705,167058.0,SHYAMMETL,20210630,368.0,377.45,361.1,369.6,1886702.0,696799220.05,42226.0,UP,1.45,375.44,375.44,375.44,375.44,0
30440,3236.0,SHYAMMETL,20210701,370.1,376.55,369.5,370.65,943360.0,350564717.85,18600.0,UP,0.28,374.64166666666665,374.64166666666665,374.64166666666665,374.64166666666665,0
30578,8969.0,SHYAMMETL,20210702,372.0,376.9,368.15,371.5,961818.0,358362766.05,21089.0,UP,0.23,374.1928571428571,374.1928571428571,374.1928571428571,374.1928571428571,0
31079,26675.0,SHYAMMETL,20210705,374.65,392.9,374.05,382.3,2291282.0,883470290.8,44223.0,UP,2.91,375.20625,375.20625,375.20625,375.20625,0
31762,31932.0,SHYAMMETL,20210706,384.0,408.75,384.0,390.85,6408745.0,2550119815.2,119663.0,UP,2.24,376.94444444444446,376.94444444444446,376.94444444444446,376.94444444444446,0
32196,38180.0,SHYAMMETL,20210707,392.0,417.0,392.0,412.9,5818253.0,2374943934.8,109409.0,UP,5.64,380.54,380.54,380.54,380.54,0
32554,44904.0,SHYAMMETL,20210708,417.65,424.4,402.2,416.65,8518828.0,3543962967.25,147009.0,UP,0.91,383.82272727272726,383.82272727272726,383.82272727272726,383.82272727272726,0
33067,51093.0,SHYAMMETL,20210709,420.0,428.4,413.5,418.65,4367357.0,1843586738.15,67656.0,UP,0.48,386.72499999999997,386.72499999999997,386.72499999999997,386.72499999999997,0
33271,67872.0,SHYAMMETL,20210712,427.0,428.5,413.7,419.8,1994569.0,841465603.4,33898.0,UP,0.27,389.2692307692308,389.2692307692308,389.2692307692308,389.2692307692308,0
34023,73608.0,SHYAMMETL,20210713,423.6,425.7,416.0,418.0,1193228.0,501447537.75,19936.0,DOWN,-0.43,391.32142857142856,391.32142857142856,391.32142857142856,391.32142857142856,0
