,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
4868,65490.0,SOBHA,20210412,506.0,506.05,461.55,466.5,366224.0,175915797.9,15812.0,-,0,466.5,466.5,466.5,466.5,0
5337,71246.0,SOBHA,20210413,473.0,548.5,473.0,527.8,1628292.0,855791122.05,58214.0,UP,13.14,497.15,497.15,497.15,497.15,0
5909,81769.0,SOBHA,20210415,522.5,533.15,492.15,522.85,629079.0,323271980.85,35985.0,DOWN,-0.94,505.7166666666667,505.7166666666667,505.7166666666667,505.7166666666667,0
6373,86541.0,SOBHA,20210416,521.0,526.0,499.2,504.2,187395.0,96327714.8,9570.0,DOWN,-3.57,505.3375,505.3375,505.3375,505.3375,0
6839,103307.0,SOBHA,20210419,495.0,497.0,467.35,483.5,258075.0,124124807.35,12406.0,DOWN,-4.11,500.96999999999997,500.96999999999997,500.96999999999997,500.96999999999997,0
7008,107642.0,SOBHA,20210420,484.0,537.8,484.0,502.85,898795.0,465110238.2,34017.0,UP,4.0,501.2833333333333,501.2833333333333,501.2833333333333,501.2833333333333,0
7727,118668.0,SOBHA,20210422,500.5,515.0,491.9,499.85,282284.0,141912721.1,13250.0,DOWN,-0.6,501.0785714285715,501.0785714285715,501.0785714285715,501.0785714285715,0
8162,124904.0,SOBHA,20210423,503.0,514.0,489.55,507.45,301196.0,152562893.6,11455.0,UP,1.52,501.875,501.875,501.875,501.875,0
8715,142191.0,SOBHA,20210426,510.0,515.2,491.05,492.85,182194.0,91222451.05,7565.0,DOWN,-2.88,500.87222222222226,500.87222222222226,500.87222222222226,500.87222222222226,0
8959,146980.0,SOBHA,20210427,497.5,503.0,486.95,490.8,151448.0,75103133.0,6531.0,DOWN,-0.42,499.86499999999995,499.86499999999995,499.86499999999995,499.86499999999995,0
9289,152727.0,SOBHA,20210428,494.4,509.0,491.75,504.85,211090.0,105871497.8,13865.0,UP,2.86,500.3181818181818,500.3181818181818,500.3181818181818,500.3181818181818,0
10133,158951.0,SOBHA,20210429,507.0,508.0,493.35,495.65,500596.0,250666993.5,5813.0,DOWN,-1.82,499.9291666666666,499.9291666666666,499.9291666666666,499.9291666666666,0
10219,164712.0,SOBHA,20210430,494.85,502.5,483.0,486.1,142379.0,70075019.4,6262.0,DOWN,-1.93,498.86538461538464,498.86538461538464,498.86538461538464,498.86538461538464,0
10837,16676.0,SOBHA,20210503,487.7,494.85,486.85,490.5,74677.0,36616401.7,3484.0,UP,0.91,498.26785714285717,498.26785714285717,498.26785714285717,498.26785714285717,0
11335,22396.0,SOBHA,20210504,493.05,499.0,474.9,479.8,158491.0,77076006.65,7518.0,DOWN,-2.18,499.21785714285716,497.0366666666667,497.0366666666667,497.0366666666667,CROSSED_2
11965,27644.0,SOBHA,20210505,484.4,489.75,483.1,485.0,66484.0,32305047.0,3877.0,UP,1.08,496.1607142857143,496.284375,496.284375,496.284375,WILL_CROSS_1
12327,33400.0,SOBHA,20210506,487.9,488.9,475.05,477.2,70656.0,33840294.75,3007.0,DOWN,-1.61,492.90000000000003,495.1617647058824,495.1617647058824,495.1617647058824,WILL_CROSS_1
