,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
4869,65491.0,SOLARA,20210412,1454.0,1529.95,1401.0,1440.1,1079610.0,1597817054.45,54847.0,-,0,1440.1,1440.1,1440.1,1440.1,0
5336,71247.0,SOLARA,20210413,1470.65,1512.0,1433.0,1473.05,215878.0,316857516.0,16368.0,UP,2.29,1456.5749999999998,1456.5749999999998,1456.5749999999998,1456.5749999999998,0
5910,81770.0,SOLARA,20210415,1477.0,1479.95,1410.3,1423.5,82883.0,118811965.9,12166.0,DOWN,-3.36,1445.55,1445.55,1445.55,1445.55,0
6374,86542.0,SOLARA,20210416,1425.0,1480.0,1409.15,1462.3,91704.0,133122025.2,7721.0,UP,2.73,1449.7375,1449.7375,1449.7375,1449.7375,0
6840,103308.0,SOLARA,20210419,1450.0,1498.8,1412.35,1461.55,682322.0,999755207.95,13083.0,DOWN,-0.05,1452.1,1452.1,1452.1,1452.1,0
7009,107643.0,SOLARA,20210420,1491.55,1517.0,1442.0,1452.7,121006.0,178551076.4,9539.0,DOWN,-0.61,1452.2,1452.2,1452.2,1452.2,0
7726,118669.0,SOLARA,20210422,1490.0,1559.0,1461.1,1529.15,315329.0,481133235.2,23179.0,UP,5.26,1463.1928571428573,1463.1928571428573,1463.1928571428573,1463.1928571428573,0
8163,124905.0,SOLARA,20210423,1536.95,1553.75,1500.0,1514.5,99719.0,152449908.05,9477.0,DOWN,-0.96,1469.60625,1469.60625,1469.60625,1469.60625,0
8714,142192.0,SOLARA,20210426,1537.0,1537.0,1494.0,1509.0,69445.0,104938846.85,6958.0,DOWN,-0.36,1473.9833333333333,1473.9833333333333,1473.9833333333333,1473.9833333333333,0
8960,146981.0,SOLARA,20210427,1514.0,1521.0,1500.0,1501.15,39291.0,59154507.35,3770.0,DOWN,-0.52,1476.7,1476.7,1476.7,1476.7,0
9288,152728.0,SOLARA,20210428,1519.0,1520.0,1499.6,1500.9,31069.0,46831499.85,3101.0,DOWN,-0.02,1478.8999999999999,1478.8999999999999,1478.8999999999999,1478.8999999999999,0
10134,158952.0,SOLARA,20210429,1509.0,1516.95,1499.4,1502.45,29342.0,44134896.9,2630.0,UP,0.1,1480.8625,1480.8625,1480.8625,1480.8625,0
10218,164713.0,SOLARA,20210430,1492.0,1545.0,1485.0,1522.3,89135.0,135948371.1,10023.0,UP,1.32,1484.0500000000002,1484.0500000000002,1484.0500000000002,1484.0500000000002,0
10838,16677.0,SOLARA,20210503,1538.0,1579.0,1505.95,1513.2,144163.0,221038933.95,9152.0,DOWN,-0.6,1486.1321428571428,1486.1321428571428,1486.1321428571428,1486.1321428571428,0
11336,22397.0,SOLARA,20210504,1548.0,1558.0,1503.0,1537.6,153400.0,234871905.9,7933.0,UP,1.61,1493.0964285714288,1489.5633333333333,1489.5633333333333,1489.5633333333333,CROSSED_2
11966,27645.0,SOLARA,20210505,1522.0,1647.0,1522.0,1611.5,517371.0,829781312.0,24803.0,UP,4.81,1502.9857142857143,1497.184375,1497.184375,1497.184375,CROSSED_2
12326,33401.0,SOLARA,20210506,1628.0,1684.4,1575.0,1648.75,482090.0,795482531.7,25262.0,UP,2.31,1519.075,1506.1000000000001,1506.1000000000001,1506.1000000000001,CROSSED_2
12756,40607.0,SOLARA,20210507,1597.5,1624.0,1551.0,1567.65,280744.0,443815660.85,18478.0,DOWN,-4.92,1526.6,1509.5194444444444,1509.5194444444444,1509.5194444444444,CROSSED_2
13322,58784.0,SOLARA,20210510,1596.8,1654.0,1575.0,1649.7,585910.0,951354164.75,23962.0,UP,5.23,1540.0392857142856,1516.8973684210525,1516.8973684210525,1516.8973684210525,CROSSED_2
13906,64083.0,SOLARA,20210511,1670.0,1730.0,1658.0,1695.65,459664.0,780253725.9,24006.0,UP,2.79,1557.392857142857,1525.835,1525.835,1525.835,CROSSED_2
14304,68842.0,SOLARA,20210512,1730.0,1795.9,1695.65,1744.8,510727.0,894168739.9,27762.0,UP,2.9,1572.7964285714286,1536.2619047619048,1536.2619047619048,1536.2619047619048,CROSSED_2
14455,80363.0,SOLARA,20210514,1748.0,1784.75,1683.1,1719.5,149368.0,258848850.2,12070.0,DOWN,-1.45,1587.439285714286,1549.5666666666668,1544.590909090909,1544.590909090909,CROSSED_2
15223,96116.0,SOLARA,20210517,1722.0,1754.4,1692.0,1706.25,111647.0,192318632.15,9969.0,DOWN,-0.77,1601.5285714285715,1560.6714285714286,1551.6195652173913,1551.6195652173913,CROSSED_2
15703,101396.0,SOLARA,20210518,1736.25,1770.0,1720.1,1756.95,203540.0,355422825.35,16601.0,UP,2.97,1619.8,1576.5499999999997,1560.175,1560.175,CROSSED_2
