,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
4872,65494.0,SPARC,20210412,167.6,167.6,155.05,157.1,1048124.0,169984381.35,13648.0,-,0,157.1,157.1,157.1,157.1,0
5333,71250.0,SPARC,20210413,158.0,164.8,158.0,162.05,478265.0,77767832.8,7343.0,UP,3.15,159.575,159.575,159.575,159.575,0
5913,81773.0,SPARC,20210415,161.9,165.0,160.5,162.2,457427.0,74387032.9,6318.0,UP,0.09,160.45000000000002,160.45000000000002,160.45000000000002,160.45000000000002,0
6377,86545.0,SPARC,20210416,162.6,167.65,161.25,164.65,1012044.0,166992322.65,12160.0,UP,1.51,161.5,161.5,161.5,161.5,0
6843,103311.0,SPARC,20210419,161.0,163.8,157.65,159.6,495468.0,79792956.0,6845.0,DOWN,-3.07,161.12,161.12,161.12,161.12,0
7012,107646.0,SPARC,20210420,161.15,171.3,159.65,165.5,1590667.0,265258997.95,18854.0,UP,3.7,161.85,161.85,161.85,161.85,0
7723,118672.0,SPARC,20210422,167.45,178.5,166.0,176.0,3100677.0,543441917.75,38333.0,UP,6.34,163.87142857142857,163.87142857142857,163.87142857142857,163.87142857142857,0
8166,124908.0,SPARC,20210423,178.0,181.65,173.1,175.65,1550398.0,275854109.45,19678.0,DOWN,-0.2,165.34375,165.34375,165.34375,165.34375,0
8710,142195.0,SPARC,20210426,177.0,179.05,170.0,171.0,653393.0,113965193.75,9556.0,DOWN,-2.65,165.97222222222223,165.97222222222223,165.97222222222223,165.97222222222223,0
8963,146984.0,SPARC,20210427,171.1,174.4,169.95,172.15,539345.0,92821637.5,7349.0,UP,0.67,166.59,166.59,166.59,166.59,0
9285,152731.0,SPARC,20210428,173.4,177.0,172.35,175.85,800890.0,140428052.0,8333.0,UP,2.15,167.4318181818182,167.4318181818182,167.4318181818182,167.4318181818182,0
10137,158955.0,SPARC,20210429,175.1,183.4,174.95,176.0,1515375.0,271497719.0,15145.0,UP,0.09,168.14583333333334,168.14583333333334,168.14583333333334,168.14583333333334,0
10215,164716.0,SPARC,20210430,173.85,182.3,172.55,174.9,1462493.0,260121624.5,15468.0,DOWN,-0.62,168.66538461538462,168.66538461538462,168.66538461538462,168.66538461538462,0
