,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
4873,65495.0,SPICEJET,20210412,68.0,69.0,65.2,66.35,4129554.0,276313686.05,25816.0,-,0,66.35,66.35,66.35,66.35,0
5332,71251.0,SPICEJET,20210413,65.2,70.45,65.2,68.2,3240671.0,219995849.0,22339.0,UP,2.79,67.275,67.275,67.275,67.275,0
5914,81774.0,SPICEJET,20210415,68.0,68.25,65.5,66.75,1943516.0,129772072.8,24933.0,DOWN,-2.13,67.10000000000001,67.10000000000001,67.10000000000001,67.10000000000001,0
6378,86546.0,SPICEJET,20210416,67.4,68.2,65.7,65.9,3231940.0,215626352.1,22895.0,DOWN,-1.27,66.8,66.8,66.8,66.8,0
6844,103312.0,SPICEJET,20210419,63.0,63.0,61.05,61.3,4685368.0,289511202.05,28509.0,DOWN,-6.98,65.7,65.7,65.7,65.7,0
7013,107647.0,SPICEJET,20210420,62.25,63.4,60.55,61.45,7257360.0,448973787.8,28130.0,UP,0.24,64.99166666666666,64.99166666666666,64.99166666666666,64.99166666666666,0
7722,118673.0,SPICEJET,20210422,60.55,60.9,59.4,60.05,3901769.0,234312039.9,27407.0,DOWN,-2.28,64.28571428571429,64.28571428571429,64.28571428571429,64.28571428571429,0
8167,124909.0,SPICEJET,20210423,60.0,61.3,59.55,60.8,2711526.0,164944880.0,16388.0,UP,1.25,63.85,63.85,63.85,63.85,0
8709,142196.0,SPICEJET,20210426,61.95,63.65,61.2,62.0,3191586.0,198673204.15,17063.0,UP,1.97,63.64444444444444,63.64444444444444,63.64444444444444,63.64444444444444,0
8964,146985.0,SPICEJET,20210427,63.0,65.0,62.6,64.75,4263300.0,272560418.75,21446.0,UP,4.44,63.754999999999995,63.754999999999995,63.754999999999995,63.754999999999995,0
9284,152732.0,SPICEJET,20210428,65.5,65.95,63.7,64.8,2146587.0,139090297.75,21535.0,UP,0.08,63.85,63.85,63.85,63.85,0
10138,158956.0,SPICEJET,20210429,65.65,66.1,63.55,63.95,1825321.0,117443484.45,11959.0,DOWN,-1.31,63.85833333333333,63.85833333333333,63.85833333333333,63.85833333333333,0
10214,164717.0,SPICEJET,20210430,63.0,64.0,62.5,62.8,2619607.0,165479685.25,18502.0,DOWN,-1.8,63.776923076923076,63.776923076923076,63.776923076923076,63.776923076923076,0
10842,16681.0,SPICEJET,20210503,62.8,62.8,60.7,61.4,1991235.0,122469950.3,15524.0,DOWN,-2.23,63.607142857142854,63.607142857142854,63.607142857142854,63.607142857142854,0
11340,22401.0,SPICEJET,20210504,62.0,63.3,61.0,61.65,2195915.0,137121278.2,14088.0,UP,0.41,63.271428571428565,63.47666666666667,63.47666666666667,63.47666666666667,WILL_CROSS_1
11970,27649.0,SPICEJET,20210505,61.9,63.6,61.25,62.9,2347880.0,146259358.85,17174.0,UP,2.03,62.892857142857146,63.440625,63.440625,63.440625,WILL_CROSS_1
12322,33405.0,SPICEJET,20210506,63.15,63.5,62.25,62.75,1205597.0,75686823.6,8533.0,DOWN,-0.24,62.607142857142854,63.4,63.4,63.4,WILL_CROSS_1
12760,40611.0,SPICEJET,20210507,62.75,63.4,62.5,62.6,1297919.0,81607605.85,8374.0,DOWN,-0.24,62.37142857142857,63.35555555555556,63.35555555555556,63.35555555555556,WILL_CROSS_1
13318,58788.0,SPICEJET,20210510,62.85,63.85,62.25,63.6,1879031.0,118634110.0,10587.0,UP,1.6,62.535714285714285,63.36842105263158,63.36842105263158,63.36842105263158,WILL_CROSS_1
13902,64087.0,SPICEJET,20210511,63.0,70.2,62.9,69.65,10225152.0,697128479.35,45900.0,UP,9.51,63.12142857142857,63.682500000000005,63.682500000000005,63.682500000000005,WILL_CROSS_1
14308,68846.0,SPICEJET,20210512,70.85,73.4,70.2,71.85,6769057.0,486778334.65,38401.0,UP,3.16,63.964285714285715,64.07142857142857,64.07142857142857,64.07142857142857,WILL_CROSS_1
14451,80367.0,SPICEJET,20210514,73.1,73.25,68.3,69.85,4083436.0,285900656.8,27704.0,DOWN,-2.78,64.6107142857143,64.23809523809524,64.3340909090909,64.3340909090909,CROSSED_2
15219,96120.0,SPICEJET,20210517,70.85,71.4,69.7,70.3,1964075.0,138114403.9,11708.0,UP,0.64,65.20357142857144,64.33809523809525,64.59347826086957,64.59347826086957,CROSSED_2
15707,101400.0,SPICEJET,20210518,71.85,77.35,71.25,76.45,10797465.0,809722576.05,45330.0,UP,8.75,66.03928571428573,64.8,65.08749999999999,65.08749999999999,CROSSED_2
16223,106212.0,SPICEJET,20210519,75.7,78.45,74.3,75.0,9981242.0,761329214.7,50079.0,DOWN,-1.9,66.76785714285714,65.23333333333332,65.484,65.484,CROSSED_2
16709,111480.0,SPICEJET,20210520,75.2,76.55,74.3,74.85,3135766.0,235848182.55,19277.0,DOWN,-0.2,67.54642857142858,65.87857142857143,65.84423076923078,65.84423076923078,CROSSED_2
17123,117271.0,SPICEJET,20210521,75.7,77.2,75.2,76.25,4912583.0,374803705.6,28282.0,UP,1.87,68.50714285714285,66.58333333333333,66.22962962962963,66.22962962962963,CROSSED_2
17241,134499.0,SPICEJET,20210524,78.8,82.15,77.0,81.25,15221781.0,1220668497.4,65342.0,UP,6.56,69.925,67.59285714285714,66.76607142857144,66.76607142857144,CROSSED_2
18082,140280.0,SPICEJET,20210525,82.4,83.9,80.1,82.25,12199447.0,1002655732.35,56654.0,UP,1.23,71.39642857142857,68.61428571428571,67.3,67.3,CROSSED_2
18127,145068.0,SPICEJET,20210526,83.1,83.3,80.75,81.0,5415507.0,443997979.55,27826.0,DOWN,-1.52,72.68928571428572,69.51904761904763,67.75666666666667,67.75666666666667,CROSSED_2
18634,150827.0,SPICEJET,20210527,81.25,81.9,77.5,78.65,6219489.0,497052174.0,29461.0,DOWN,-2.9,73.825,70.18095238095238,68.10806451612903,68.10806451612903,CROSSED_2
19254,157550.0,SPICEJET,20210528,78.7,80.75,78.5,79.2,5011495.0,398033430.0,28798.0,UP,0.7,75.01071428571429,70.86666666666667,68.4546875,68.4546875,CROSSED_2
19536,172814.0,SPICEJET,20210531,81.45,81.85,78.65,79.6,5177213.0,413604333.85,28583.0,UP,0.51,76.15357142857144,71.61190476190477,68.79242424242425,68.79242424242425,CROSSED_2
20354,4210.0,SPICEJET,20210601,79.6,80.0,75.8,76.2,5207553.0,403677891.65,31265.0,DOWN,-4.27,76.62142857142858,72.25,69.01029411764705,69.01029411764705,CROSSED_2
20837,9444.0,SPICEJET,20210602,76.0,77.4,74.55,76.0,4220956.0,322153090.05,22267.0,DOWN,-0.26,76.91785714285713,72.9452380952381,69.21,69.21,CROSSED_2
21098,15226.0,SPICEJET,20210603,76.45,78.6,76.3,77.9,4463933.0,345331086.1,24540.0,UP,2.5,77.49285714285715,73.71904761904761,69.45138888888889,69.45138888888889,CROSSED_2
21491,21445.0,SPICEJET,20210604,78.25,81.0,77.6,79.7,7248550.0,576564409.3,31632.0,UP,2.31,78.16428571428571,74.51904761904763,69.72837837837838,69.72837837837838,CROSSED_2
22246,39154.0,SPICEJET,20210607,80.2,81.7,79.75,80.6,11660992.0,941612451.85,41535.0,UP,1.13,78.46071428571429,75.36904761904762,70.01447368421053,70.01447368421053,CROSSED_2
22618,45878.0,SPICEJET,20210608,81.15,81.45,79.1,79.5,3787830.0,303481151.95,18896.0,DOWN,-1.36,78.78214285714286,76.17380952380952,70.25769230769231,70.25769230769231,CROSSED_2
23169,51558.0,SPICEJET,20210609,80.0,83.0,78.55,79.65,13842897.0,1123538927.2,55231.0,UP,0.19,79.125,76.93809523809524,70.49249999999999,70.49249999999999,CROSSED_2
23571,57334.0,SPICEJET,20210610,80.65,80.65,79.35,80.05,2897824.0,232022521.9,14283.0,UP,0.5,79.39642857142859,77.43333333333332,70.72560975609755,70.72560975609755,CROSSED_2
23993,63132.0,SPICEJET,20210611,80.1,81.2,79.35,79.7,3183302.0,255021999.0,29940.0,DOWN,-0.44,79.28571428571429,77.80714285714286,70.93928571428572,70.93928571428572,CROSSED_2
24529,78912.0,SPICEJET,20210614,80.4,80.4,77.05,78.55,3302618.0,259316532.85,22077.0,DOWN,-1.44,79.02142857142859,78.22142857142858,71.11627906976744,71.11627906976744,CROSSED_2
24811,84146.0,SPICEJET,20210615,79.05,79.75,78.35,78.55,2348276.0,185487436.15,17108.0,Const,0.0,78.84642857142858,78.61428571428571,71.28522727272728,71.28522727272728,CROSSED_2
25130,89374.0,SPICEJET,20210616,78.85,79.15,77.5,77.65,2328009.0,181862238.95,15630.0,DOWN,-1.15,78.77499999999999,78.67142857142858,71.42666666666666,71.42666666666666,CROSSED_2
25936,94665.0,SPICEJET,20210617,76.95,78.3,76.55,76.95,2461036.0,190372011.5,15789.0,DOWN,-0.9,78.61428571428573,78.76428571428572,71.54673913043479,71.54673913043479,CROSSED_2
26234,100936.0,SPICEJET,20210618,77.0,77.9,73.6,76.15,3025787.0,229346881.0,21546.0,DOWN,-1.04,78.36785714285715,78.82619047619048,71.64468085106384,71.64468085106384,CROSSED_2
26823,115816.0,SPICEJET,20210621,75.9,77.55,65.0,76.85,2731245.0,207204884.3,17233.0,UP,0.92,78.41428571428571,78.8547619047619,71.753125,71.753125,CROSSED_2
27143,122041.0,SPICEJET,20210622,77.0,81.9,76.95,80.5,7518052.0,600744803.05,30559.0,UP,4.75,78.73571428571428,78.81904761904762,71.93163265306123,71.93163265306123,CROSSED_2
27691,127743.0,SPICEJET,20210623,81.25,81.25,78.1,78.6,3974461.0,316432838.25,20020.0,DOWN,-2.36,78.78571428571429,78.6452380952381,72.065,72.065,CROSSED_2
