,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
4878,65500.0,SUDARSCHEM,20210412,540.0,542.0,520.0,526.3,256622.0,137067447.15,15308.0,-,0,526.3,526.3,526.3,526.3,0
5327,71256.0,SUDARSCHEM,20210413,521.15,552.75,521.15,548.1,124050.0,67204360.1,6458.0,UP,4.14,537.2,537.2,537.2,537.2,0
5919,81779.0,SUDARSCHEM,20210415,539.5,558.5,539.5,551.3,145405.0,80237386.9,8956.0,UP,0.58,541.9,541.9,541.9,541.9,0
6383,86551.0,SUDARSCHEM,20210416,550.5,568.0,542.0,551.95,108792.0,60595280.45,5528.0,UP,0.12,544.4125,544.4125,544.4125,544.4125,0
6849,103317.0,SUDARSCHEM,20210419,541.9,557.2,521.6,539.5,116834.0,63555782.8,11140.0,DOWN,-2.26,543.4300000000001,543.4300000000001,543.4300000000001,543.4300000000001,0
7018,107652.0,SUDARSCHEM,20210420,535.6,557.3,535.6,551.1,162007.0,89083968.1,6552.0,UP,2.15,544.7083333333334,544.7083333333334,544.7083333333334,544.7083333333334,0
7717,118678.0,SUDARSCHEM,20210422,541.0,551.1,538.6,540.25,73407.0,39837495.15,4539.0,DOWN,-1.97,544.0714285714286,544.0714285714286,544.0714285714286,544.0714285714286,0
8173,124914.0,SUDARSCHEM,20210423,544.5,554.55,535.6,547.2,117390.0,64287258.15,8683.0,UP,1.29,544.4625,544.4625,544.4625,544.4625,0
8704,142201.0,SUDARSCHEM,20210426,546.2,556.85,546.2,554.1,93088.0,51426669.0,3927.0,UP,1.26,545.5333333333333,545.5333333333333,545.5333333333333,545.5333333333333,0
8969,146990.0,SUDARSCHEM,20210427,556.9,662.55,555.35,645.35,2895077.0,1804490213.95,93451.0,UP,16.47,555.515,555.515,555.515,555.515,0
9279,152737.0,SUDARSCHEM,20210428,649.8,730.0,624.85,650.9,4041797.0,2760874466.55,145150.0,UP,0.86,564.1863636363637,564.1863636363637,564.1863636363637,564.1863636363637,0
10143,158961.0,SUDARSCHEM,20210429,646.0,678.0,634.65,642.75,891993.0,581424910.7,31228.0,DOWN,-1.25,570.7333333333333,570.7333333333333,570.7333333333333,570.7333333333333,0
10209,164722.0,SUDARSCHEM,20210430,638.0,674.95,632.55,657.1,859381.0,563868143.4,22264.0,UP,2.23,577.376923076923,577.376923076923,577.376923076923,577.376923076923,0
10847,16686.0,SUDARSCHEM,20210503,659.0,684.9,654.0,666.3,628226.0,421370324.2,16735.0,UP,1.4,583.7285714285714,583.7285714285714,583.7285714285714,583.7285714285714,0
11345,22406.0,SUDARSCHEM,20210504,672.0,676.95,636.65,643.7,250527.0,164920052.1,9333.0,DOWN,-3.39,592.1142857142858,587.7266666666667,587.7266666666667,587.7266666666667,CROSSED_2
11975,27654.0,SUDARSCHEM,20210505,647.0,660.9,633.3,637.15,206593.0,133465213.65,9207.0,DOWN,-1.02,598.475,590.815625,590.815625,590.815625,CROSSED_2
12317,33410.0,SUDARSCHEM,20210506,641.65,665.15,631.2,634.35,328553.0,212763009.8,11637.0,DOWN,-0.44,604.407142857143,593.3764705882353,593.3764705882353,593.3764705882353,CROSSED_2
12765,40616.0,SUDARSCHEM,20210507,640.4,647.0,630.0,632.6,154734.0,98828398.65,5792.0,DOWN,-0.28,610.1678571428572,595.5555555555555,595.5555555555555,595.5555555555555,CROSSED_2
13313,58793.0,SUDARSCHEM,20210510,638.1,658.0,630.0,641.25,252224.0,162763829.95,11057.0,UP,1.37,617.4357142857143,597.9605263157895,597.9605263157895,597.9605263157895,CROSSED_2
13897,64092.0,SUDARSCHEM,20210511,638.5,713.7,635.1,696.95,1766976.0,1207125696.15,51634.0,UP,8.69,627.8535714285715,602.9100000000001,602.9100000000001,602.9100000000001,CROSSED_2
14313,68851.0,SUDARSCHEM,20210512,695.9,717.0,670.0,685.25,802243.0,555459828.5,33772.0,DOWN,-1.68,638.2107142857143,606.8309523809525,606.8309523809525,606.8309523809525,CROSSED_2
14446,80372.0,SUDARSCHEM,20210514,687.3,698.0,658.4,664.9,324947.0,220767946.0,14406.0,DOWN,-2.97,646.6178571428571,613.4309523809525,609.4704545454546,609.4704545454546,CROSSED_2
15214,96125.0,SUDARSCHEM,20210517,666.5,668.6,650.1,652.55,164755.0,108297612.15,8548.0,DOWN,-1.86,653.65,618.4047619047619,611.3434782608696,611.3434782608696,CROSSED_2
15712,101405.0,SUDARSCHEM,20210518,656.9,676.7,655.5,667.85,213670.0,142667748.4,7248.0,UP,2.34,655.2571428571429,623.9547619047619,613.6979166666666,613.6979166666666,CROSSED_2
16218,106217.0,SUDARSCHEM,20210519,667.85,673.8,658.0,660.75,105117.0,70004313.5,4325.0,DOWN,-1.06,655.9607142857143,629.1357142857144,615.58,615.58,CROSSED_2
16714,111485.0,SUDARSCHEM,20210520,663.5,696.4,660.9,686.05,438847.0,301372152.45,14597.0,UP,3.83,659.0535714285714,636.1142857142856,618.2903846153846,618.2903846153846,CROSSED_2
17128,117276.0,SUDARSCHEM,20210521,690.0,714.4,681.35,692.7,640997.0,448167501.5,18769.0,UP,0.97,661.5964285714286,642.8571428571429,621.0462962962963,621.0462962962963,CROSSED_2
17246,134504.0,SUDARSCHEM,20210524,696.0,706.2,670.0,675.25,249349.0,171127357.05,10153.0,DOWN,-2.52,662.2357142857143,649.2857142857143,622.9821428571429,622.9821428571429,CROSSED_2
18077,140285.0,SUDARSCHEM,20210525,681.0,689.9,665.95,669.8,196185.0,133037177.3,9095.0,DOWN,-0.81,664.1,655.1238095238094,624.596551724138,624.596551724138,CROSSED_2
18514,145073.0,SUDARSCHEM,20210526,673.15,686.3,665.0,667.7,274716.0,185350409.85,12393.0,DOWN,-0.31,666.282142857143,660.5333333333334,626.0333333333333,626.0333333333333,CROSSED_2
18639,150832.0,SUDARSCHEM,20210527,672.0,673.0,658.7,660.15,165601.0,110058095.2,5083.0,DOWN,-1.13,668.125,661.2380952380952,627.1338709677419,627.1338709677419,CROSSED_2
