,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
4886,65508.0,SUPREMEIND,20210412,1990.0,2006.95,1943.75,1971.1,56128.0,110465834.65,12668.0,-,0,1971.1,1971.1,1971.1,1971.1,0
5319,71264.0,SUPREMEIND,20210413,1997.95,1998.0,1930.0,1971.95,76776.0,149996599.25,13071.0,UP,0.04,1971.525,1971.525,1971.525,1971.525,0
5927,81787.0,SUPREMEIND,20210415,1956.0,1979.95,1944.05,1956.35,78318.0,152998295.1,17837.0,DOWN,-0.79,1966.4666666666665,1966.4666666666665,1966.4666666666665,1966.4666666666665,0
6391,86559.0,SUPREMEIND,20210416,1979.0,1991.85,1941.75,1983.0,36664.0,72338107.2,8477.0,UP,1.36,1970.6,1970.6,1970.6,1970.6,0
6857,103325.0,SUPREMEIND,20210419,1975.0,2006.1,1945.25,1990.05,31219.0,62089014.45,7171.0,UP,0.36,1974.4900000000002,1974.4900000000002,1974.4900000000002,1974.4900000000002,0
7026,107660.0,SUPREMEIND,20210420,2003.0,2003.95,1975.0,1989.75,73634.0,146842283.1,14158.0,DOWN,-0.02,1977.0333333333335,1977.0333333333335,1977.0333333333335,1977.0333333333335,0
7709,118686.0,SUPREMEIND,20210422,1985.0,1990.05,1950.0,1977.05,44234.0,87422892.0,7838.0,DOWN,-0.64,1977.0357142857142,1977.0357142857142,1977.0357142857142,1977.0357142857142,0
8181,124922.0,SUPREMEIND,20210423,1977.0,2002.95,1952.55,1993.2,47383.0,93909256.95,13450.0,UP,0.82,1979.05625,1979.05625,1979.05625,1979.05625,0
8712,142209.0,SUPREMEIND,20210426,2003.0,2003.0,1979.6,1992.85,67053.0,133808951.65,9715.0,DOWN,-0.02,1980.5888888888887,1980.5888888888887,1980.5888888888887,1980.5888888888887,0
8977,146998.0,SUPREMEIND,20210427,2000.0,2063.0,1985.0,2050.35,140856.0,288304307.25,19686.0,UP,2.89,1987.565,1987.565,1987.565,1987.565,0
9271,152745.0,SUPREMEIND,20210428,2060.0,2100.0,2035.05,2048.3,54009.0,111472616.6,6087.0,DOWN,-0.1,1993.0863636363638,1993.0863636363638,1993.0863636363638,1993.0863636363638,0
10151,158969.0,SUPREMEIND,20210429,2059.1,2076.15,2024.15,2049.2,44139.0,90406295.9,6378.0,UP,0.04,1997.7625,1997.7625,1997.7625,1997.7625,0
