,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
4890,65512.0,SYMPHONY,20210412,1290.0,1290.0,1162.7,1177.05,96372.0,115773170.1,9870.0,-,0,1177.05,1177.05,1177.05,1177.05,0
5315,71268.0,SYMPHONY,20210413,1200.0,1219.45,1180.55,1205.2,39058.0,46804102.5,3673.0,UP,2.39,1191.125,1191.125,1191.125,1191.125,0
5931,81791.0,SYMPHONY,20210415,1205.0,1205.3,1170.05,1182.0,32436.0,38409324.9,4600.0,DOWN,-1.92,1188.0833333333333,1188.0833333333333,1188.0833333333333,1188.0833333333333,0
6395,86563.0,SYMPHONY,20210416,1187.95,1209.95,1176.9,1192.55,23610.0,28250094.75,3654.0,UP,0.89,1189.2,1189.2,1189.2,1189.2,0
6861,103329.0,SYMPHONY,20210419,1150.0,1163.65,1100.0,1141.45,30942.0,35523290.8,4475.0,DOWN,-4.28,1179.65,1179.65,1179.65,1179.65,0
7030,107664.0,SYMPHONY,20210420,1170.0,1355.0,1140.2,1214.9,1365609.0,1739316685.75,78531.0,UP,6.43,1185.5249999999999,1185.5249999999999,1185.5249999999999,1185.5249999999999,0
7705,118690.0,SYMPHONY,20210422,1199.0,1241.95,1190.0,1205.2,157388.0,191062127.65,15216.0,DOWN,-0.8,1188.3357142857144,1188.3357142857144,1188.3357142857144,1188.3357142857144,0
8185,124926.0,SYMPHONY,20210423,1205.2,1220.0,1177.15,1188.65,59527.0,71457227.55,7220.0,DOWN,-1.37,1188.375,1188.375,1188.375,1188.375,0
8357,142213.0,SYMPHONY,20210426,1190.95,1214.8,1190.95,1208.65,56676.0,68281130.9,6953.0,UP,1.68,1190.6277777777777,1190.6277777777777,1190.6277777777777,1190.6277777777777,0
8981,147002.0,SYMPHONY,20210427,1218.0,1322.0,1186.45,1295.7,616809.0,790738975.35,50195.0,UP,7.2,1201.135,1201.135,1201.135,1201.135,0
9267,152749.0,SYMPHONY,20210428,1293.5,1310.0,1200.05,1217.45,327541.0,408438133.05,21914.0,DOWN,-6.04,1202.618181818182,1202.618181818182,1202.618181818182,1202.618181818182,0
10155,158973.0,SYMPHONY,20210429,1223.9,1235.0,1175.0,1183.65,258668.0,309086033.45,21408.0,DOWN,-2.78,1201.0375000000001,1201.0375000000001,1201.0375000000001,1201.0375000000001,0
10197,164734.0,SYMPHONY,20210430,1188.0,1205.0,1170.0,1176.65,93980.0,111969363.9,6692.0,DOWN,-0.59,1199.1615384615384,1199.1615384615384,1199.1615384615384,1199.1615384615384,0
10859,16698.0,SYMPHONY,20210503,1165.0,1180.0,1152.0,1170.65,60138.0,70420498.35,5969.0,DOWN,-0.51,1197.125,1197.125,1197.125,1197.125,0
11357,22418.0,SYMPHONY,20210504,1188.0,1194.95,1124.0,1132.0,89489.0,103814057.55,6694.0,DOWN,-3.3,1193.9071428571428,1192.7833333333333,1192.7833333333333,1192.7833333333333,CROSSED_2
11987,27666.0,SYMPHONY,20210505,1130.0,1146.5,1090.4,1095.1,120203.0,133385062.45,8632.0,DOWN,-3.26,1186.0428571428572,1186.6781250000001,1186.6781250000001,1186.6781250000001,WILL_CROSS_1
12305,33422.0,SYMPHONY,20210506,1144.0,1144.0,1090.1,1098.3,262290.0,292043679.3,16516.0,UP,0.29,1180.064285714286,1181.479411764706,1181.479411764706,1181.479411764706,WILL_CROSS_1
