,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
287,2821.0,TATASTLLP,20210101,555.1,580.1,555.1,572.4,150546.0,86308627.35,4904.0,-,0,572.4,572.4,572.4,572.4,0
828,20023.0,TATASTLLP,20210104,577.0,624.8,572.95,622.35,640746.0,389984841.0,20204.0,UP,8.73,597.375,597.375,597.375,597.375,0
1067,168058.0,TATASTLLP,20210330,679.5,711.15,679.3,711.15,118510.0,83260092.3,2683.0,UP,14.27,635.3000000000001,635.3000000000001,635.3000000000001,635.3000000000001,0
1673,171886.0,TATASTLLP,20210331,720.0,738.0,716.15,722.95,110156.0,80193813.8,4170.0,UP,1.66,657.2125,657.2125,657.2125,657.2125,0
2122,414.0,TATASTLLP,20210401,727.0,759.05,723.5,755.3,166252.0,124308541.55,5594.0,UP,4.47,676.83,676.83,676.83,676.83,0
2598,24328.0,TATASTLLP,20210405,765.0,776.95,725.0,736.8,139986.0,104447594.3,5431.0,DOWN,-2.45,686.8249999999999,686.8249999999999,686.8249999999999,686.8249999999999,0
2885,29605.0,TATASTLLP,20210406,741.95,768.0,739.65,748.5,115215.0,86847012.15,3520.0,UP,1.59,695.6357142857142,695.6357142857142,695.6357142857142,695.6357142857142,0
3271,35820.0,TATASTLLP,20210407,780.0,785.9,766.25,785.9,197273.0,153862405.35,6107.0,UP,5.0,706.91875,706.91875,706.91875,706.91875,0
3929,42531.0,TATASTLLP,20210408,803.0,825.15,789.8,805.75,289809.0,234678240.8,10484.0,UP,2.53,717.9000000000001,717.9000000000001,717.9000000000001,717.9000000000001,0
4554,49260.0,TATASTLLP,20210409,814.0,827.0,805.0,818.75,108774.0,88954009.35,3864.0,UP,1.61,727.985,727.985,727.985,727.985,0
4903,65525.0,TATASTLLP,20210412,799.0,800.0,777.85,777.85,74459.0,58150822.65,2113.0,DOWN,-5.0,732.5181818181818,732.5181818181818,732.5181818181818,732.5181818181818,0
5302,71281.0,TATASTLLP,20210413,761.0,788.05,740.0,770.8,155550.0,119170235.15,4418.0,DOWN,-0.91,735.7083333333334,735.7083333333334,735.7083333333334,735.7083333333334,0
5944,81804.0,TATASTLLP,20210415,780.0,799.0,762.2,772.65,106311.0,82683424.75,4336.0,UP,0.24,738.55,738.55,738.55,738.55,0
6408,86576.0,TATASTLLP,20210416,780.0,811.25,780.0,811.25,147378.0,118548191.6,4130.0,UP,5.0,743.7428571428571,743.7428571428571,743.7428571428571,743.7428571428571,0
6874,103342.0,TATASTLLP,20210419,798.0,828.65,774.0,805.55,221532.0,177642614.15,8180.0,DOWN,-0.7,760.3964285714285,747.8633333333333,747.8633333333333,747.8633333333333,CROSSED_2
7044,107677.0,TATASTLLP,20210420,815.55,845.5,811.0,836.15,259740.0,215926564.55,7887.0,UP,3.8,775.6678571428572,753.38125,753.38125,753.38125,CROSSED_2
7692,118703.0,TATASTLLP,20210422,877.95,877.95,830.25,834.9,496782.0,424235174.55,15877.0,DOWN,-0.15,784.5071428571429,758.1764705882352,758.1764705882352,758.1764705882352,CROSSED_2
8025,124939.0,TATASTLLP,20210423,843.0,843.0,812.05,817.95,190753.0,157441818.85,6173.0,DOWN,-2.03,791.2928571428571,761.4972222222223,761.4972222222223,761.4972222222223,CROSSED_2
8344,142226.0,TATASTLLP,20210426,812.6,842.5,812.6,833.0,158949.0,132613135.15,5165.0,UP,1.84,796.842857142857,765.2605263157895,765.2605263157895,765.2605263157895,CROSSED_2
8994,147015.0,TATASTLLP,20210427,839.95,863.2,839.0,849.05,163889.0,140027109.25,10849.0,UP,1.93,804.8607142857143,769.45,769.45,769.45,CROSSED_2
9254,152762.0,TATASTLLP,20210428,851.0,862.0,822.95,826.2,107893.0,90265065.7,4558.0,DOWN,-2.69,810.4107142857143,772.152380952381,772.152380952381,772.152380952381,CROSSED_2
10168,158986.0,TATASTLLP,20210429,845.0,860.0,836.5,853.05,150512.0,128321625.15,5645.0,UP,3.25,815.2071428571428,785.5166666666667,775.8295454545455,775.8295454545455,CROSSED_2
10184,164747.0,TATASTLLP,20210430,848.0,895.7,847.0,895.7,164711.0,145584166.9,4174.0,UP,5.0,821.6321428571428,798.5333333333334,781.0413043478261,781.0413043478261,CROSSED_2
10872,16711.0,TATASTLLP,20210503,940.45,940.45,940.45,940.45,36892.0,34695081.4,779.0,UP,5.0,830.3249999999999,809.452380952381,787.6833333333334,787.6833333333334,CROSSED_2
11370,22431.0,TATASTLLP,20210504,987.45,987.45,987.45,987.45,42486.0,41952800.7,669.0,UP,5.0,845.2964285714286,822.047619047619,795.674,795.674,CROSSED_2
12000,27679.0,TATASTLLP,20210505,980.0,999.0,938.1,971.95,414096.0,401566621.6,13738.0,DOWN,-1.57,859.6642857142857,832.3642857142858,802.4538461538461,802.4538461538461,CROSSED_2
12292,33435.0,TATASTLLP,20210506,989.6,1020.5,951.0,986.65,492861.0,495940800.8,10482.0,UP,1.51,874.95,844.2619047619048,809.275925925926,809.275925925926,CROSSED_2
12790,40641.0,TATASTLLP,20210507,995.7,1035.95,995.05,1035.95,318212.0,326506231.85,8605.0,UP,5.0,891.0,857.95,817.3714285714286,817.3714285714286,CROSSED_2
13287,58818.0,TATASTLLP,20210510,1078.8,1087.7,1051.0,1053.9,214405.0,229307966.15,9997.0,UP,1.73,908.7392857142859,870.7119047619047,825.5275862068966,825.5275862068966,CROSSED_2
13872,64117.0,TATASTLLP,20210511,1016.0,1049.0,1010.0,1030.6,149679.0,154964512.45,7851.0,DOWN,-2.21,922.6285714285714,881.4190476190475,832.3633333333333,832.3633333333333,CROSSED_2
14338,68876.0,TATASTLLP,20210512,1030.0,1042.7,985.0,988.0,109712.0,110457166.45,6886.0,DOWN,-4.13,933.5642857142857,889.4785714285714,837.3838709677419,837.3838709677419,CROSSED_2
14421,80397.0,TATASTLLP,20210514,991.0,1001.05,938.6,938.6,163357.0,154990865.6,6600.0,DOWN,-5.0,942.1821428571429,897.1333333333334,840.546875,840.546875,CROSSED_2
15190,96150.0,TATASTLLP,20210517,938.0,985.5,902.2,985.5,175145.0,164692564.5,8768.0,UP,5.0,953.0749999999999,907.357142857143,844.939393939394,844.939393939394,CROSSED_2
15737,101430.0,TATASTLLP,20210518,1009.0,1029.0,984.3,988.05,135775.0,135883354.25,5855.0,UP,0.26,963.0035714285714,917.6142857142858,849.1485294117647,849.1485294117647,CROSSED_2
16193,106242.0,TATASTLLP,20210519,990.0,993.55,950.0,961.3,88283.0,85552365.4,4371.0,DOWN,-2.71,972.6535714285714,924.7595238095239,852.3528571428571,852.3528571428571,CROSSED_2
16271,111510.0,TATASTLLP,20210520,950.0,977.1,921.05,926.25,152370.0,141966092.15,7042.0,DOWN,-3.65,977.8821428571429,930.507142857143,854.4055555555556,854.4055555555556,CROSSED_2
17153,117301.0,TATASTLLP,20210521,931.0,957.0,919.5,926.3,61905.0,57762663.35,3725.0,UP,0.01,980.0678571428572,934.8,856.3486486486487,856.3486486486487,CROSSED_2
17271,134529.0,TATASTLLP,20210524,947.0,947.0,902.0,914.45,120459.0,110279277.3,5191.0,DOWN,-1.28,978.2107142857143,938.5880952380953,857.8776315789473,857.8776315789473,CROSSED_2
18052,140310.0,TATASTLLP,20210525,922.4,960.15,922.05,943.8,200354.0,190687951.35,5513.0,UP,3.21,975.092857142857,944.5809523809525,860.0807692307693,860.0807692307693,CROSSED_2
18539,145098.0,TATASTLLP,20210526,939.0,945.0,921.05,924.95,60566.0,56302480.25,3247.0,DOWN,-2.0,971.7357142857144,948.9595238095238,861.7025,861.7025,CROSSED_2
