,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
4904,65526.0,TCIEXP,20210412,867.0,871.0,837.05,842.8,24092.0,20493331.3,2827.0,-,0,842.8,842.8,842.8,842.8,0
5301,71282.0,TCIEXP,20210413,847.2,874.1,840.1,869.75,14842.0,12683254.05,1514.0,UP,3.2,856.275,856.275,856.275,856.275,0
5945,81805.0,TCIEXP,20210415,872.0,872.7,846.05,854.0,7761.0,6626484.1,1640.0,DOWN,-1.81,855.5166666666668,855.5166666666668,855.5166666666668,855.5166666666668,0
6409,86577.0,TCIEXP,20210416,856.0,859.9,835.0,840.65,15387.0,13017958.3,2016.0,DOWN,-1.56,851.8,851.8,851.8,851.8,0
6875,103343.0,TCIEXP,20210419,841.0,847.6,821.35,829.7,29471.0,24492612.55,2873.0,DOWN,-1.3,847.3799999999999,847.3799999999999,847.3799999999999,847.3799999999999,0
7045,107678.0,TCIEXP,20210420,839.95,847.0,817.7,833.35,13935.0,11548299.1,3163.0,UP,0.44,845.0416666666666,845.0416666666666,845.0416666666666,845.0416666666666,0
7691,118704.0,TCIEXP,20210422,825.0,855.0,811.05,846.55,12720.0,10717396.2,1942.0,UP,1.58,845.2571428571429,845.2571428571429,845.2571428571429,845.2571428571429,0
8199,124940.0,TCIEXP,20210423,844.0,885.0,840.0,883.1,40653.0,35610933.25,7982.0,UP,4.32,849.9875,849.9875,849.9875,849.9875,0
8343,142227.0,TCIEXP,20210426,888.0,900.0,867.35,877.6,18681.0,16509696.25,3046.0,DOWN,-0.62,853.0555555555555,853.0555555555555,853.0555555555555,853.0555555555555,0
8995,147016.0,TCIEXP,20210427,881.9,891.85,871.15,876.25,20065.0,17674608.7,911.0,DOWN,-0.15,855.375,855.375,855.375,855.375,0
9253,152763.0,TCIEXP,20210428,886.8,900.0,880.9,889.8,14105.0,12540914.7,897.0,UP,1.55,858.5045454545453,858.5045454545453,858.5045454545453,858.5045454545453,0
