,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
4905,65527.0,TCNSBRANDS,20210412,495.0,495.0,470.45,480.0,56239.0,26965183.15,2558.0,-,0,480.0,480.0,480.0,480.0,0
5300,71283.0,TCNSBRANDS,20210413,482.5,483.0,461.6,468.0,61970.0,29495164.2,2792.0,DOWN,-2.5,474.0,474.0,474.0,474.0,0
5946,81806.0,TCNSBRANDS,20210415,465.0,477.75,461.6,463.7,21141.0,9824557.25,985.0,DOWN,-0.92,470.56666666666666,470.56666666666666,470.56666666666666,470.56666666666666,0
6410,86578.0,TCNSBRANDS,20210416,466.1,479.9,466.1,469.7,14292.0,6746785.55,694.0,UP,1.29,470.35,470.35,470.35,470.35,0
6876,103344.0,TCNSBRANDS,20210419,468.7,468.7,447.6,449.95,82004.0,36955130.7,1740.0,DOWN,-4.2,466.27,466.27,466.27,466.27,0
7046,107679.0,TCNSBRANDS,20210420,452.3,459.55,442.35,449.0,18701.0,8393530.05,1023.0,DOWN,-0.21,463.39166666666665,463.39166666666665,463.39166666666665,463.39166666666665,0
7690,118705.0,TCNSBRANDS,20210422,437.35,460.0,437.35,451.35,309484.0,138146472.5,2639.0,UP,0.52,461.6714285714285,461.6714285714285,461.6714285714285,461.6714285714285,0
8200,124941.0,TCNSBRANDS,20210423,458.0,495.0,454.4,478.0,258785.0,125198190.3,15524.0,UP,5.9,463.7125,463.7125,463.7125,463.7125,0
8342,142228.0,TCNSBRANDS,20210426,488.0,494.4,482.7,487.1,22354.0,10920611.2,1639.0,UP,1.9,466.31111111111113,466.31111111111113,466.31111111111113,466.31111111111113,0
8996,147017.0,TCNSBRANDS,20210427,489.7,502.0,485.5,489.75,26427.0,13080535.4,2221.0,UP,0.54,468.65500000000003,468.65500000000003,468.65500000000003,468.65500000000003,0
9252,152764.0,TCNSBRANDS,20210428,492.3,500.0,481.2,484.5,13695.0,6755172.3,1251.0,DOWN,-1.07,470.0954545454546,470.0954545454546,470.0954545454546,470.0954545454546,0
10170,158988.0,TCNSBRANDS,20210429,488.0,491.7,480.7,483.9,5149.0,2493880.55,527.0,DOWN,-0.12,471.24583333333334,471.24583333333334,471.24583333333334,471.24583333333334,0
10649,164749.0,TCNSBRANDS,20210430,483.0,490.5,479.65,484.15,4992.0,2423726.85,433.0,UP,0.05,472.2384615384616,472.2384615384616,472.2384615384616,472.2384615384616,0
10874,16713.0,TCNSBRANDS,20210503,485.5,514.75,480.0,501.6,59314.0,29916715.1,3785.0,UP,3.6,474.3357142857143,474.3357142857143,474.3357142857143,474.3357142857143,0
11372,22433.0,TCNSBRANDS,20210504,513.4,529.4,498.0,501.25,501342.0,258159610.1,5138.0,DOWN,-0.07,475.8535714285714,476.13,476.13,476.13,WILL_CROSS_1
12002,27681.0,TCNSBRANDS,20210505,505.0,530.0,502.0,513.6,64667.0,33412000.15,4117.0,UP,2.46,479.1107142857143,478.471875,478.471875,478.471875,CROSSED_2
12290,33437.0,TCNSBRANDS,20210506,518.4,524.95,490.2,496.35,36972.0,18549083.55,1806.0,DOWN,-3.36,481.4428571428571,479.5235294117647,479.5235294117647,479.5235294117647,CROSSED_2
12792,40643.0,TCNSBRANDS,20210507,496.6,515.0,496.35,500.35,38488.0,19396638.25,1810.0,UP,0.81,483.63214285714287,480.68055555555554,480.68055555555554,480.68055555555554,CROSSED_2
13285,58820.0,TCNSBRANDS,20210510,505.5,519.25,504.9,508.7,26739.0,13676147.6,1791.0,UP,1.67,487.82857142857137,482.15526315789475,482.15526315789475,482.15526315789475,CROSSED_2
13870,64119.0,TCNSBRANDS,20210511,509.85,532.5,504.9,524.95,53603.0,28055338.5,2365.0,UP,3.19,493.2535714285714,484.29499999999996,484.29499999999996,484.29499999999996,CROSSED_2
