,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
4908,65530.0,TECHM,20210412,1051.0,1059.05,1016.8,1039.85,7896295.0,8175635553.55,138618.0,-,0,1039.85,1039.85,1039.85,1039.85,0
5297,71286.0,TECHM,20210413,1045.0,1050.25,983.0,1001.85,6448995.0,6467768163.9,120182.0,DOWN,-3.65,1020.8499999999999,1020.8499999999999,1020.8499999999999,1020.8499999999999,0
5949,81809.0,TECHM,20210415,1001.85,1007.8,970.3,993.15,4373215.0,4340486471.65,109988.0,DOWN,-0.87,1011.6166666666667,1011.6166666666667,1011.6166666666667,1011.6166666666667,0
6413,86581.0,TECHM,20210416,998.0,1013.5,996.0,1010.3,2660763.0,2676180540.3,59313.0,UP,1.73,1011.2874999999999,1011.2874999999999,1011.2874999999999,1011.2874999999999,0
6879,103347.0,TECHM,20210419,999.1,1009.4,983.3,1000.1,2777425.0,2772205628.0,80377.0,DOWN,-1.01,1009.05,1009.05,1009.05,1009.05,0
7049,107682.0,TECHM,20210420,996.0,1007.5,973.35,983.4,4028636.0,3975899486.85,80344.0,DOWN,-1.67,1004.775,1004.775,1004.775,1004.775,0
7687,118708.0,TECHM,20210422,973.6,985.5,960.65,967.8,5085190.0,4937406514.0,127360.0,DOWN,-1.59,999.4928571428571,999.4928571428571,999.4928571428571,999.4928571428571,0
8203,124944.0,TECHM,20210423,966.5,970.95,945.4,950.2,3916517.0,3747659078.75,88645.0,DOWN,-1.82,993.33125,993.33125,993.33125,993.33125,0
8339,142231.0,TECHM,20210426,951.0,970.0,937.0,962.2,5053998.0,4800042349.5,84936.0,UP,1.26,989.8722222222223,989.8722222222223,989.8722222222223,989.8722222222223,0
8999,147020.0,TECHM,20210427,962.7,987.6,944.15,969.25,10497935.0,10105775202.9,209748.0,UP,0.73,987.8100000000001,987.8100000000001,987.8100000000001,987.8100000000001,0
9715,152767.0,TECHM,20210428,975.0,980.0,968.0,977.4,2968625.0,2892098130.6,83143.0,UP,0.84,986.8636363636364,986.8636363636364,986.8636363636364,986.8636363636364,0
10172,158991.0,TECHM,20210429,985.0,985.0,970.55,976.9,2747579.0,2685149399.0,62023.0,DOWN,-0.05,986.0333333333333,986.0333333333333,986.0333333333333,986.0333333333333,0
10646,164752.0,TECHM,20210430,973.8,976.9,955.4,960.4,3129105.0,3029643105.85,70097.0,DOWN,-1.69,984.0615384615384,984.0615384615384,984.0615384615384,984.0615384615384,0
10877,16716.0,TECHM,20210503,960.0,965.0,955.0,957.7,3506839.0,3367999259.55,54536.0,DOWN,-0.28,982.1785714285714,982.1785714285714,982.1785714285714,982.1785714285714,0
11375,22436.0,TECHM,20210504,964.0,969.9,955.6,960.4,4064221.0,3909103882.15,58350.0,UP,0.28,976.5035714285714,980.7266666666667,980.7266666666667,980.7266666666667,WILL_CROSS_1
12005,27684.0,TECHM,20210505,972.6,972.6,953.75,960.4,3041045.0,2922499103.85,57954.0,Const,0.0,973.5428571428571,979.45625,979.45625,979.45625,WILL_CROSS_1
12287,33440.0,TECHM,20210506,965.0,984.7,957.85,977.95,4620827.0,4488041988.65,82089.0,UP,1.83,972.4571428571428,979.3676470588235,979.3676470588235,979.3676470588235,WILL_CROSS_1
12795,40646.0,TECHM,20210507,980.0,984.25,972.1,980.95,2002597.0,1959642840.4,53912.0,UP,0.31,970.3607142857144,979.4555555555556,979.4555555555556,979.4555555555556,WILL_CROSS_1
13282,58823.0,TECHM,20210510,985.0,992.65,973.1,990.5,2036101.0,2003477320.15,59426.0,UP,0.97,969.6750000000001,980.0368421052632,980.0368421052632,980.0368421052632,WILL_CROSS_1
