,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
4921,65542.0,TTKPRESTIG,20210412,7438.9,7438.9,7273.55,7314.05,33554.0,245172844.85,2270.0,-,0,7314.05,7314.05,7314.05,7314.05,0
5285,71298.0,TTKPRESTIG,20210413,7314.05,7647.95,7300.0,7517.25,19522.0,146834531.25,4307.0,UP,2.78,7415.65,7415.65,7415.65,7415.65,0
5961,81821.0,TTKPRESTIG,20210415,7510.0,7510.0,7355.3,7437.15,23886.0,176882571.9,2736.0,DOWN,-1.07,7422.816666666667,7422.816666666667,7422.816666666667,7422.816666666667,0
6425,86593.0,TTKPRESTIG,20210416,7437.0,7495.0,7319.8,7348.7,2457.0,18196049.7,1042.0,DOWN,-1.19,7404.2875,7404.2875,7404.2875,7404.2875,0
6891,103359.0,TTKPRESTIG,20210419,7320.0,7490.0,7255.35,7448.55,23408.0,171681176.75,1320.0,UP,1.36,7413.139999999999,7413.139999999999,7413.139999999999,7413.139999999999,0
7061,107694.0,TTKPRESTIG,20210420,7500.0,7777.0,7417.4,7523.65,6703.0,50427635.8,1802.0,UP,1.01,7431.558333333333,7431.558333333333,7431.558333333333,7431.558333333333,0
7674,118720.0,TTKPRESTIG,20210422,7417.2,7550.0,7417.0,7509.05,16792.0,125966238.05,1711.0,DOWN,-0.19,7442.628571428571,7442.628571428571,7442.628571428571,7442.628571428571,0
8215,124956.0,TTKPRESTIG,20210423,7509.0,7897.45,7500.0,7671.45,18078.0,139839723.3,6371.0,UP,2.16,7471.23125,7471.23125,7471.23125,7471.23125,0
8327,142243.0,TTKPRESTIG,20210426,7671.45,7745.8,7515.0,7687.8,6566.0,50185170.45,2401.0,UP,0.21,7495.294444444444,7495.294444444444,7495.294444444444,7495.294444444444,0
9011,147032.0,TTKPRESTIG,20210427,7627.3,7688.0,7550.0,7640.15,4372.0,33464210.3,1877.0,DOWN,-0.62,7509.780000000001,7509.780000000001,7509.780000000001,7509.780000000001,0
9703,152779.0,TTKPRESTIG,20210428,7848.85,7848.85,7603.95,7684.45,4949.0,38082165.55,2143.0,UP,0.58,7525.659090909091,7525.659090909091,7525.659090909091,7525.659090909091,0
9718,159003.0,TTKPRESTIG,20210429,7679.0,7684.6,7500.0,7550.7,4561.0,34551371.6,1527.0,DOWN,-1.74,7527.745833333333,7527.745833333333,7527.745833333333,7527.745833333333,0
10634,164764.0,TTKPRESTIG,20210430,7560.05,7760.05,7368.0,7401.25,11224.0,85098126.45,3045.0,DOWN,-1.98,7518.015384615384,7518.015384615384,7518.015384615384,7518.015384615384,0
10889,16728.0,TTKPRESTIG,20210503,7400.0,7650.0,7389.0,7499.95,7301.0,55167671.6,3052.0,UP,1.33,7516.724999999999,7516.724999999999,7516.724999999999,7516.724999999999,0
11387,22448.0,TTKPRESTIG,20210504,7550.6,7557.5,7400.0,7425.8,5081.0,37935272.1,1527.0,DOWN,-0.99,7524.707142857143,7510.663333333333,7510.663333333333,7510.663333333333,CROSSED_2
12017,27696.0,TTKPRESTIG,20210505,7475.6,7484.3,7400.0,7426.95,2613.0,19399966.0,761.0,UP,0.02,7518.257142857142,7505.43125,7505.43125,7505.43125,CROSSED_2
12275,33452.0,TTKPRESTIG,20210506,7400.05,7575.6,7354.0,7418.7,9032.0,67370444.75,1123.0,DOWN,-0.11,7516.939285714286,7500.3294117647065,7500.3294117647065,7500.3294117647065,CROSSED_2
12807,40658.0,TTKPRESTIG,20210507,7400.0,7475.6,7350.05,7374.9,2303.0,17038099.45,1025.0,DOWN,-0.59,7518.810714285714,7493.361111111111,7493.361111111111,7493.361111111111,CROSSED_2
13271,58835.0,TTKPRESTIG,20210510,7354.05,7405.0,7210.1,7257.5,6993.0,51225680.7,2940.0,DOWN,-1.59,7505.164285714286,7480.9473684210525,7480.9473684210525,7480.9473684210525,CROSSED_2
