,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
4925,65546.0,UCOBANK,20210412,11.65,11.65,11.0,11.15,11054408.0,123704178.55,21645.0,-,0,11.15,11.15,11.15,11.15,0
5281,71302.0,UCOBANK,20210413,11.25,11.65,11.15,11.5,11182122.0,127362726.35,17580.0,UP,3.14,11.325,11.325,11.325,11.325,0
5965,81825.0,UCOBANK,20210415,11.5,11.5,11.1,11.4,8625738.0,97413167.3,15047.0,DOWN,-0.87,11.35,11.35,11.35,11.35,0
6429,86597.0,UCOBANK,20210416,11.4,11.65,11.15,11.2,6565267.0,74773887.45,15371.0,DOWN,-1.75,11.3125,11.3125,11.3125,11.3125,0
6895,103363.0,UCOBANK,20210419,10.95,11.0,10.75,10.9,6400165.0,69597738.75,15728.0,DOWN,-2.68,11.23,11.23,11.23,11.23,0
7065,107698.0,UCOBANK,20210420,11.0,11.25,10.85,10.95,6029567.0,66294928.75,13478.0,UP,0.46,11.183333333333332,11.183333333333332,11.183333333333332,11.183333333333332,0
7670,118724.0,UCOBANK,20210422,10.85,11.0,10.75,10.9,5644652.0,61413330.35,14499.0,DOWN,-0.46,11.142857142857142,11.142857142857142,11.142857142857142,11.142857142857142,0
8270,124960.0,UCOBANK,20210423,10.9,11.0,10.85,10.9,3628604.0,39604919.05,13384.0,Const,0.0,11.1125,11.1125,11.1125,11.1125,0
8323,142247.0,UCOBANK,20210426,11.0,11.05,10.95,10.95,3374462.0,37058162.4,12745.0,UP,0.46,11.094444444444443,11.094444444444443,11.094444444444443,11.094444444444443,0
9016,147037.0,UCOBANK,20210427,11.0,11.1,10.95,11.05,3268716.0,36094756.75,12685.0,UP,0.91,11.09,11.09,11.09,11.09,0
9698,152784.0,UCOBANK,20210428,11.1,11.2,11.05,11.1,4007209.0,44608487.2,12719.0,UP,0.45,11.090909090909092,11.090909090909092,11.090909090909092,11.090909090909092,0
9723,159008.0,UCOBANK,20210429,11.15,11.25,11.0,11.05,4193586.0,46449764.9,3596.0,DOWN,-0.45,11.0875,11.0875,11.0875,11.0875,0
10629,164769.0,UCOBANK,20210430,10.9,11.1,10.9,11.0,3709688.0,40865326.75,14100.0,DOWN,-0.45,11.080769230769231,11.080769230769231,11.080769230769231,11.080769230769231,0
10895,16733.0,UCOBANK,20210503,10.95,11.3,10.85,11.2,5808516.0,64371368.05,13570.0,UP,1.82,11.089285714285714,11.089285714285714,11.089285714285714,11.089285714285714,0
11392,22453.0,UCOBANK,20210504,11.25,11.75,11.2,11.4,13582628.0,156052863.95,19537.0,UP,1.79,11.107142857142858,11.110000000000001,11.110000000000001,11.110000000000001,WILL_CROSS_1
12022,27701.0,UCOBANK,20210505,11.45,11.6,11.35,11.4,4968945.0,57024714.6,13865.0,Const,0.0,11.1,11.128125,11.128125,11.128125,WILL_CROSS_1
12270,33457.0,UCOBANK,20210506,11.45,11.55,11.3,11.35,2909164.0,33175465.2,3187.0,DOWN,-0.44,11.096428571428572,11.141176470588235,11.141176470588235,11.141176470588235,WILL_CROSS_1
12812,40663.0,UCOBANK,20210507,11.45,11.5,11.25,11.3,3235460.0,36723104.05,13539.0,DOWN,-0.44,11.103571428571428,11.149999999999999,11.149999999999999,11.149999999999999,WILL_CROSS_1
13266,58840.0,UCOBANK,20210510,11.4,11.5,11.3,11.4,4181285.0,47657720.1,4711.0,UP,0.88,11.139285714285714,11.163157894736841,11.163157894736841,11.163157894736841,WILL_CROSS_1
13850,64139.0,UCOBANK,20210511,11.4,11.8,11.3,11.7,8756095.0,101457003.9,16361.0,UP,2.63,11.192857142857145,11.190000000000001,11.190000000000001,11.190000000000001,CROSSED_2
14360,68898.0,UCOBANK,20210512,11.75,13.05,11.65,12.6,50070757.0,625816741.6,39348.0,UP,7.69,11.314285714285715,11.257142857142858,11.257142857142858,11.257142857142858,CROSSED_2
14399,80419.0,UCOBANK,20210514,12.9,13.45,12.65,12.8,33704777.0,437404290.9,34563.0,UP,1.59,11.45,11.335714285714285,11.327272727272726,11.327272727272726,CROSSED_2
