,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
4930,65551.0,UTIAMC,20210412,571.05,581.0,538.0,545.4,180323.0,100363772.15,9846.0,-,0,545.4,545.4,545.4,545.4,0
5525,71307.0,UTIAMC,20210413,540.25,564.0,540.25,550.7,177235.0,98627450.9,5307.0,UP,0.97,548.05,548.05,548.05,548.05,0
5970,81830.0,UTIAMC,20210415,553.0,561.85,549.25,551.8,345166.0,191222441.15,9589.0,UP,0.2,549.3000000000001,549.3000000000001,549.3000000000001,549.3000000000001,0
6434,86602.0,UTIAMC,20210416,555.0,570.8,553.05,559.75,176820.0,99171352.85,10061.0,UP,1.44,551.9125,551.9125,551.9125,551.9125,0
6900,103368.0,UTIAMC,20210419,554.25,567.4,542.25,555.35,156956.0,87411029.35,8596.0,DOWN,-0.79,552.6,552.6,552.6,552.6,0
7070,107703.0,UTIAMC,20210420,560.35,566.25,553.0,555.55,102123.0,57202835.95,5857.0,UP,0.04,553.0916666666667,553.0916666666667,553.0916666666667,553.0916666666667,0
7665,118729.0,UTIAMC,20210422,550.1,566.9,550.1,565.15,120852.0,67701009.7,4911.0,UP,1.73,554.8142857142857,554.8142857142857,554.8142857142857,554.8142857142857,0
8265,124965.0,UTIAMC,20210423,563.0,573.0,559.05,567.4,438619.0,247937439.6,8050.0,UP,0.4,556.3875,556.3875,556.3875,556.3875,0
8781,142252.0,UTIAMC,20210426,568.8,593.05,567.45,591.1,214794.0,125254689.3,10749.0,UP,4.18,560.2444444444444,560.2444444444444,560.2444444444444,560.2444444444444,0
9021,147042.0,UTIAMC,20210427,595.0,631.0,595.0,605.15,685038.0,418841952.5,23256.0,UP,2.38,564.735,564.735,564.735,564.735,0
9693,152789.0,UTIAMC,20210428,610.0,623.0,605.5,609.35,443120.0,272555043.6,13159.0,UP,0.69,568.790909090909,568.790909090909,568.790909090909,568.790909090909,0
9728,159013.0,UTIAMC,20210429,626.35,642.0,615.0,625.55,1101034.0,689965908.55,28688.0,UP,2.66,573.5208333333334,573.5208333333334,573.5208333333334,573.5208333333334,0
