,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
4935,65556.0,VEDL,20210412,225.9,225.9,209.75,213.2,14765942.0,3196983424.2,74376.0,-,0,213.2,213.2,213.2,213.2,0
5520,71312.0,VEDL,20210413,213.3,219.5,212.1,218.45,9623854.0,2081644049.6,42604.0,UP,2.46,215.825,215.825,215.825,215.825,0
5975,81835.0,VEDL,20210415,221.55,226.4,218.6,225.35,9752896.0,2176590466.3,48860.0,UP,3.16,219.0,219.0,219.0,219.0,0
6439,86607.0,VEDL,20210416,226.2,235.25,224.15,231.8,11975438.0,2764997238.95,63978.0,UP,2.86,222.2,222.2,222.2,222.2,0
6905,103373.0,VEDL,20210419,225.8,229.6,223.8,228.05,8509541.0,1934125322.6,43253.0,DOWN,-1.62,223.36999999999998,223.36999999999998,223.36999999999998,223.36999999999998,0
7075,107708.0,VEDL,20210420,228.8,231.9,222.55,226.1,7754673.0,1765139797.65,31641.0,DOWN,-0.86,223.82500000000002,223.82500000000002,223.82500000000002,223.82500000000002,0
7660,118734.0,VEDL,20210422,223.8,228.85,223.8,226.5,5431482.0,1233138501.65,28346.0,UP,0.18,224.20714285714286,224.20714285714286,224.20714285714286,224.20714285714286,0
8260,124970.0,VEDL,20210423,227.9,234.0,226.3,228.0,12023111.0,2764295067.05,50824.0,UP,0.66,224.68125,224.68125,224.68125,224.68125,0
8776,142257.0,VEDL,20210426,229.6,239.7,229.6,236.65,16763872.0,3953339418.1,70776.0,UP,3.79,226.0111111111111,226.0111111111111,226.0111111111111,226.0111111111111,0
9026,147047.0,VEDL,20210427,239.75,244.55,239.1,243.35,15648609.0,3790099894.5,80210.0,UP,2.83,227.74499999999998,227.74499999999998,227.74499999999998,227.74499999999998,0
9688,152794.0,VEDL,20210428,243.15,247.7,239.3,243.9,13518520.0,3278688658.25,62700.0,UP,0.23,229.21363636363637,229.21363636363637,229.21363636363637,229.21363636363637,0
9733,159018.0,VEDL,20210429,245.75,256.5,242.5,255.05,25110119.0,6268063667.8,110599.0,UP,4.57,231.36666666666667,231.36666666666667,231.36666666666667,231.36666666666667,0
10619,164779.0,VEDL,20210430,255.05,266.2,252.55,257.25,21911292.0,5689740652.8,117226.0,UP,0.86,233.3576923076923,233.3576923076923,233.3576923076923,233.3576923076923,0
10755,16743.0,VEDL,20210503,255.4,262.4,252.6,256.45,12835262.0,3309783573.15,69884.0,DOWN,-0.31,235.00714285714284,235.00714285714284,235.00714285714284,235.00714285714284,0
11402,22463.0,VEDL,20210504,256.0,262.4,251.0,258.55,30234483.0,7793373108.5,93368.0,UP,0.82,238.2464285714286,236.57666666666668,236.57666666666668,236.57666666666668,CROSSED_2
12032,27711.0,VEDL,20210505,258.35,270.05,256.5,264.3,83074283.0,21903760500.3,157439.0,UP,2.22,241.52142857142854,238.309375,238.309375,238.309375,CROSSED_2
12260,33467.0,VEDL,20210506,266.75,271.5,263.85,268.85,20191746.0,5412594620.8,110599.0,UP,1.72,244.62857142857143,240.1058823529412,240.1058823529412,240.1058823529412,CROSSED_2
12822,40673.0,VEDL,20210507,275.0,288.35,271.0,283.05,38947011.0,10992870935.15,203416.0,UP,5.28,248.28928571428568,242.49166666666667,242.49166666666667,242.49166666666667,CROSSED_2
13256,58850.0,VEDL,20210510,289.0,296.3,287.05,293.85,23353138.0,6816927097.25,146622.0,UP,3.82,252.98928571428573,245.19473684210524,245.19473684210524,245.19473684210524,CROSSED_2
13840,64149.0,VEDL,20210511,288.2,295.75,282.2,288.6,18065603.0,5256104190.05,119763.0,DOWN,-1.79,257.4535714285715,247.365,247.365,247.365,CROSSED_2
14370,68908.0,VEDL,20210512,290.7,292.25,275.25,282.1,19900414.0,5699115389.6,125998.0,DOWN,-2.25,261.425,249.0190476190476,249.0190476190476,249.0190476190476,CROSSED_2
14389,80429.0,VEDL,20210514,284.95,287.0,268.3,272.4,37836764.0,10507327153.75,234770.0,DOWN,-3.44,264.5964285714286,251.83809523809526,250.0818181818182,250.0818181818182,CROSSED_2
15158,96182.0,VEDL,20210517,276.0,279.7,273.05,278.65,15818894.0,4375593485.1,104668.0,UP,2.29,267.5964285714286,254.7047619047619,251.32391304347826,251.32391304347826,CROSSED_2
15769,101462.0,VEDL,20210518,283.9,288.15,279.8,285.5,17186313.0,4889550830.85,143850.0,UP,2.46,270.60714285714283,257.56904761904764,252.74791666666667,252.74791666666667,CROSSED_2
16162,106274.0,VEDL,20210519,285.75,287.5,280.7,282.7,12079521.0,3432603314.5,76278.0,DOWN,-0.98,273.37857142857143,259.99285714285713,253.946,253.946,CROSSED_2
16303,111542.0,VEDL,20210520,278.0,280.8,270.0,275.8,25259296.0,6989722476.95,147334.0,DOWN,-2.44,274.8607142857143,262.26666666666665,254.78653846153844,254.78653846153844,CROSSED_2
17185,117333.0,VEDL,20210521,277.75,280.3,271.2,273.65,17094902.0,4731303783.7,143161.0,DOWN,-0.78,276.03214285714284,264.5309523809524,255.4851851851852,255.4851851851852,CROSSED_2
17303,134561.0,VEDL,20210524,272.0,277.15,265.6,274.95,20475771.0,5584320594.05,132232.0,UP,0.48,277.35357142857146,266.83809523809526,256.18035714285713,256.18035714285713,CROSSED_2
18020,140342.0,VEDL,20210525,278.1,280.55,273.05,273.9,10686256.0,2963331968.55,81429.0,DOWN,-0.38,278.45,269.0238095238095,256.79137931034484,256.79137931034484,CROSSED_2
18571,145130.0,VEDL,20210526,273.75,277.45,267.3,268.85,10302553.0,2804475380.5,64462.0,DOWN,-1.84,278.77500000000003,270.5571428571428,257.1933333333333,257.1933333333333,CROSSED_2
18696,150889.0,VEDL,20210527,270.15,273.0,266.8,267.7,19501514.0,5253256783.2,106298.0,DOWN,-0.43,278.6928571428571,271.7166666666667,257.53225806451616,257.53225806451616,CROSSED_2
19191,157612.0,VEDL,20210528,273.9,275.0,263.75,266.25,10107966.0,2738907050.95,57245.0,DOWN,-0.54,277.49285714285713,272.7809523809524,257.8046875,257.8046875,CROSSED_2
19598,172876.0,VEDL,20210531,266.5,275.1,264.65,274.2,11125660.0,3019042898.85,60857.0,UP,2.99,276.0892857142857,273.6928571428572,258.30151515151516,258.30151515151516,CROSSED_2
20325,4272.0,VEDL,20210601,276.5,276.8,265.85,268.25,11911215.0,3206986406.85,75550.0,DOWN,-2.17,274.63571428571424,274.2166666666667,258.59411764705885,258.59411764705885,CROSSED_2
20899,9506.0,VEDL,20210602,269.55,276.45,269.55,275.2,9303223.0,2540332697.2,58079.0,UP,2.59,274.14285714285717,275.10952380952375,259.06857142857143,259.06857142857143,CROSSED_2
21159,15288.0,VEDL,20210603,277.5,281.2,275.4,277.45,11241144.0,3127473560.45,65994.0,UP,0.82,274.50357142857143,276.00952380952384,259.57916666666665,259.57916666666665,CROSSED_2
21553,21507.0,VEDL,20210604,274.85,282.35,271.3,280.85,12113422.0,3358516619.65,64912.0,UP,1.23,274.6607142857143,276.79761904761904,260.1540540540541,260.1540540540541,CROSSED_2
22308,39216.0,VEDL,20210607,281.05,282.75,276.6,278.0,10293892.0,2885604701.1,49646.0,DOWN,-1.01,274.125,277.2333333333333,260.62368421052633,260.62368421052633,CROSSED_2
22677,45940.0,VEDL,20210608,277.4,277.85,270.7,273.05,10114133.0,2770415870.4,53280.0,DOWN,-1.78,273.43571428571425,276.75714285714287,260.9423076923077,260.9423076923077,CROSSED_2
23228,51617.0,VEDL,20210609,275.65,277.5,268.0,269.95,14702921.0,4016440214.75,68285.0,DOWN,-1.14,273.01785714285717,275.6190476190476,261.1675,261.1675,CROSSED_2
23629,57393.0,VEDL,20210610,270.9,274.2,269.5,271.55,6951260.0,1891577926.5,31433.0,UP,0.59,272.86785714285713,274.8071428571428,261.4207317073171,261.4207317073171,CROSSED_2
24052,63191.0,VEDL,20210611,272.25,278.75,271.05,276.25,10489641.0,2885256581.35,67651.0,UP,1.73,272.9607142857143,274.52857142857147,261.7738095238095,261.7738095238095,CROSSED_2
24588,78971.0,VEDL,20210614,276.95,277.45,268.1,273.9,5854545.0,1603537446.65,40858.0,DOWN,-0.85,272.9607142857143,274.59999999999997,262.0558139534884,262.0558139534884,CROSSED_2
24869,84205.0,VEDL,20210615,274.05,275.75,270.5,270.95,6063128.0,1655087118.85,38627.0,DOWN,-1.08,273.11071428571427,274.23333333333335,262.25795454545454,262.25795454545454,CROSSED_2
25190,89433.0,VEDL,20210616,269.75,271.35,262.4,264.35,13188440.0,3507836521.5,81562.0,DOWN,-2.44,272.87142857142857,273.2261904761905,262.30444444444447,262.30444444444447,CROSSED_2
25543,94724.0,VEDL,20210617,262.8,268.2,258.65,261.25,7487331.0,1974956938.55,68567.0,DOWN,-1.17,272.5142857142857,272.20476190476194,262.2815217391304,262.2815217391304,CROSSED_2
26292,100995.0,VEDL,20210618,258.6,259.5,242.5,251.65,25178889.0,6298394271.4,144407.0,DOWN,-3.67,270.9035714285714,271.0547619047619,262.0553191489362,262.0553191489362,CROSSED_2
26764,115875.0,VEDL,20210621,246.0,255.7,244.1,254.35,10259127.0,2573145772.85,68370.0,UP,1.07,269.9107142857143,270.13571428571424,261.89479166666666,261.89479166666666,CROSSED_2
27202,122100.0,VEDL,20210622,258.55,259.7,251.35,252.4,7080988.0,1811214503.05,42761.0,DOWN,-0.77,268.28214285714284,269.06190476190477,261.7010204081633,261.7010204081633,CROSSED_2
27750,127802.0,VEDL,20210623,254.8,256.85,249.9,251.25,6708344.0,1700981245.4,53907.0,DOWN,-0.46,266.4107142857143,267.98333333333335,261.492,261.492,CROSSED_2
28203,133104.0,VEDL,20210624,252.25,255.2,249.45,250.95,6777996.0,1710434902.5,35347.0,DOWN,-0.12,264.27500000000003,267.1309523809524,262.24699999999996,261.285294117647,CROSSED_2
