,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
4936,65557.0,VENKEYS,20210412,1611.0,1611.0,1514.0,1542.3,80015.0,123793426.8,7094.0,-,0,1542.3,1542.3,1542.3,1542.3,0
5519,71313.0,VENKEYS,20210413,1547.85,1582.0,1538.0,1568.9,35903.0,56061091.6,3634.0,UP,1.72,1555.6,1555.6,1555.6,1555.6,0
5976,81836.0,VENKEYS,20210415,1525.0,1571.0,1522.0,1543.55,32909.0,50735398.9,3073.0,DOWN,-1.62,1551.5833333333333,1551.5833333333333,1551.5833333333333,1551.5833333333333,0
6440,86608.0,VENKEYS,20210416,1550.0,1575.8,1542.0,1555.95,37701.0,58720720.35,3696.0,UP,0.8,1552.675,1552.675,1552.675,1552.675,0
6906,103374.0,VENKEYS,20210419,1529.8,1529.8,1506.55,1518.3,34799.0,52790215.5,3441.0,DOWN,-2.42,1545.8,1545.8,1545.8,1545.8,0
7076,107709.0,VENKEYS,20210420,1525.45,1549.95,1515.0,1523.2,29433.0,45079522.7,3276.0,UP,0.32,1542.0333333333335,1542.0333333333335,1542.0333333333335,1542.0333333333335,0
7659,118735.0,VENKEYS,20210422,1525.0,1540.0,1516.0,1525.75,34589.0,52797047.9,3541.0,UP,0.17,1539.707142857143,1539.707142857143,1539.707142857143,1539.707142857143,0
8259,124971.0,VENKEYS,20210423,1530.0,1559.0,1521.0,1528.5,31309.0,48087938.95,3179.0,UP,0.18,1538.30625,1538.30625,1538.30625,1538.30625,0
8775,142258.0,VENKEYS,20210426,1545.0,1545.0,1518.0,1525.9,28316.0,43280233.7,2363.0,DOWN,-0.17,1536.927777777778,1536.927777777778,1536.927777777778,1536.927777777778,0
9027,147048.0,VENKEYS,20210427,1525.9,1540.0,1522.4,1526.3,21602.0,33087813.3,2121.0,UP,0.03,1535.865,1535.865,1535.865,1535.865,0
9687,152795.0,VENKEYS,20210428,1535.0,1579.45,1525.0,1552.05,67823.0,105268059.95,5951.0,UP,1.69,1537.3363636363638,1537.3363636363638,1537.3363636363638,1537.3363636363638,0
9734,159019.0,VENKEYS,20210429,1558.2,1599.95,1552.0,1572.95,47653.0,74799621.4,4175.0,UP,1.35,1540.3041666666668,1540.3041666666668,1540.3041666666668,1540.3041666666668,0
10618,164780.0,VENKEYS,20210430,1569.75,1584.0,1552.1,1556.55,29084.0,45529189.4,2451.0,DOWN,-1.04,1541.5538461538463,1541.5538461538463,1541.5538461538463,1541.5538461538463,0
10756,16744.0,VENKEYS,20210503,1565.0,1587.0,1550.05,1566.6,32416.0,50883160.5,3087.0,UP,0.65,1543.3428571428572,1543.3428571428572,1543.3428571428572,1543.3428571428572,0
11403,22464.0,VENKEYS,20210504,1575.0,1672.0,1562.2,1580.8,281380.0,454898550.35,20117.0,UP,0.91,1546.0928571428572,1545.84,1545.84,1545.84,CROSSED_2
12033,27712.0,VENKEYS,20210505,1586.0,1641.9,1586.0,1618.25,97448.0,157520653.0,8538.0,UP,2.37,1549.617857142857,1550.365625,1550.365625,1550.365625,WILL_CROSS_1
12259,33468.0,VENKEYS,20210506,1631.2,1666.9,1610.0,1631.9,94838.0,154808217.6,7844.0,UP,0.84,1555.9285714285713,1555.1617647058824,1555.1617647058824,1555.1617647058824,CROSSED_2
12823,40674.0,VENKEYS,20210507,1642.0,1665.0,1631.9,1638.75,71236.0,117207291.85,5754.0,UP,0.42,1561.8428571428572,1559.8055555555557,1559.8055555555557,1559.8055555555557,CROSSED_2
13255,58851.0,VENKEYS,20210510,1694.0,1765.0,1668.15,1685.15,1075684.0,1852359071.5,78318.0,UP,2.83,1573.7607142857144,1566.4026315789474,1566.4026315789474,1566.4026315789474,CROSSED_2
13839,64150.0,VENKEYS,20210511,1679.0,1800.0,1665.0,1776.95,495700.0,863565458.6,35428.0,UP,5.45,1591.8857142857141,1576.9299999999998,1576.9299999999998,1576.9299999999998,CROSSED_2
14110,68909.0,VENKEYS,20210512,1800.0,2132.3,1799.95,2090.55,2768188.0,5567021099.9,203191.0,UP,17.65,1632.2285714285715,1601.3880952380953,1601.3880952380953,1601.3880952380953,CROSSED_2
14388,80430.0,VENKEYS,20210514,2214.4,2299.0,2160.0,2195.3,2096232.0,4668209481.95,151638.0,UP,5.01,1679.857142857143,1632.4833333333333,1628.3840909090907,1628.3840909090907,CROSSED_2
15157,96183.0,VENKEYS,20210517,2190.0,2444.0,2101.65,2384.9,1584911.0,3627510404.95,106441.0,UP,8.64,1741.214285714286,1671.3404761904762,1661.2760869565216,1661.2760869565216,CROSSED_2
15770,101463.0,VENKEYS,20210518,2370.0,2488.0,2335.0,2380.35,531892.0,1277469501.85,50874.0,DOWN,-0.19,1802.2178571428572,1711.1880952380955,1691.2375,1691.2375,CROSSED_2
16161,106275.0,VENKEYS,20210519,2360.0,2444.0,2360.0,2372.9,206666.0,495242688.1,21922.0,DOWN,-0.31,1860.8500000000001,1750.0904761904762,1718.504,1718.504,CROSSED_2
16304,111543.0,VENKEYS,20210520,2371.0,2395.95,2244.95,2266.55,107817.0,249654714.75,9625.0,DOWN,-4.48,1910.392857142857,1785.7214285714285,1739.5826923076925,1739.5826923076925,CROSSED_2
17186,117334.0,VENKEYS,20210521,2274.0,2374.0,2244.55,2274.35,101978.0,234392872.05,10163.0,UP,0.34,1961.6642857142856,1821.4904761904763,1759.388888888889,1759.388888888889,CROSSED_2
17304,134562.0,VENKEYS,20210524,2288.95,2308.8,2235.0,2245.45,54879.0,124038142.5,5514.0,DOWN,-1.27,2010.1535714285715,1855.7619047619048,1776.748214285714,1776.748214285714,CROSSED_2
18019,140343.0,VENKEYS,20210525,2250.0,2344.95,2249.95,2298.75,127313.0,293566811.65,11215.0,UP,2.37,2061.4357142857143,1892.4404761904761,1794.7482758620688,1794.7482758620688,CROSSED_2
18572,145131.0,VENKEYS,20210526,2305.0,2336.0,2251.4,2285.35,46128.0,106515935.35,4986.0,DOWN,-0.58,2109.0857142857144,1928.6047619047617,1811.1016666666667,1811.1016666666667,CROSSED_2
18697,150890.0,VENKEYS,20210527,2288.0,2323.0,2250.0,2289.3,50059.0,114659827.15,5268.0,UP,0.17,2156.0428571428574,1964.9380952380955,1826.5274193548387,1826.5274193548387,CROSSED_2
19190,157613.0,VENKEYS,20210528,2298.4,2492.0,2298.4,2359.45,434102.0,1050181251.85,40518.0,UP,3.06,2207.5214285714287,2003.3857142857141,1843.18125,1843.18125,CROSSED_2
19599,172877.0,VENKEYS,20210531,2369.0,2424.9,2304.65,2363.75,148091.0,350660401.0,16226.0,UP,0.18,2255.992857142857,2041.0428571428572,1858.9560606060606,1858.9560606060606,CROSSED_2
20326,4273.0,VENKEYS,20210601,2365.0,2600.1,2352.0,2600.1,452583.0,1127940399.5,39790.0,UP,10.0,2314.789285714286,2090.735714285714,1880.754411764706,1880.754411764706,CROSSED_2
20900,9507.0,VENKEYS,20210602,2630.0,2744.0,2536.35,2650.45,708198.0,1886224510.4,62722.0,UP,1.94,2354.782142857143,2142.347619047619,1902.7457142857145,1902.7457142857145,CROSSED_2
21160,15289.0,VENKEYS,20210603,2643.3,2770.0,2636.0,2704.1,257307.0,697842084.85,27218.0,UP,2.02,2391.125,2195.8380952380953,1925.0055555555555,1925.0055555555555,CROSSED_2
21554,21508.0,VENKEYS,20210604,2699.0,2730.0,2664.0,2677.0,124885.0,337230194.25,12666.0,DOWN,-1.0,2411.9892857142854,2246.254761904762,1945.3297297297297,1945.3297297297297,CROSSED_2
22309,39217.0,VENKEYS,20210607,2697.25,2814.35,2690.0,2710.55,311201.0,857673076.85,26041.0,UP,1.25,2435.5750000000003,2297.6190476190477,1965.467105263158,1965.467105263158,CROSSED_2
22676,45941.0,VENKEYS,20210608,2719.0,2810.0,2711.05,2722.55,172961.0,475917816.3,14510.0,UP,0.44,2460.5499999999997,2349.2285714285713,1984.8794871794873,1984.8794871794873,CROSSED_2
23229,51618.0,VENKEYS,20210609,2740.0,2778.0,2640.9,2652.85,130347.0,352409232.8,13090.0,DOWN,-2.56,2488.1428571428573,2395.309523809524,2001.57875,2001.57875,CROSSED_2
23630,57394.0,VENKEYS,20210610,2668.0,2725.0,2645.0,2652.5,109383.0,293078421.55,9687.0,DOWN,-0.01,2515.1535714285715,2437.002380952381,2017.4548780487803,2017.4548780487803,CROSSED_2
24053,63192.0,VENKEYS,20210611,2668.05,2703.55,2585.7,2619.45,133481.0,351548585.6,12516.0,DOWN,-1.25,2541.867857142857,2462.1880952380952,2031.7880952380954,2031.7880952380954,CROSSED_2
24589,78972.0,VENKEYS,20210614,2619.0,2619.0,2553.25,2569.85,67959.0,175330796.15,6802.0,DOWN,-1.89,2561.232142857142,2480.0238095238096,2044.3011627906976,2044.3011627906976,CROSSED_2
24870,84206.0,VENKEYS,20210615,2588.0,2750.0,2582.7,2684.75,370977.0,1002549838.7,31592.0,UP,4.47,2589.7607142857137,2494.302380952381,2058.856818181818,2058.856818181818,CROSSED_2
25191,89434.0,VENKEYS,20210616,2686.0,2726.0,2640.0,2653.45,103436.0,277841502.2,9372.0,DOWN,-1.17,2615.7714285714287,2507.307142857143,2072.0699999999997,2072.0699999999997,CROSSED_2
25544,94725.0,VENKEYS,20210617,2624.0,2694.0,2600.1,2611.3,66549.0,176261397.8,7602.0,DOWN,-1.59,2633.7607142857137,2518.6595238095238,2083.792391304348,2083.792391304348,CROSSED_2
26293,100996.0,VENKEYS,20210618,2668.0,2728.8,2600.1,2664.0,183516.0,490081563.8,19175.0,UP,2.02,2655.2071428571426,2537.5857142857144,2096.1372340425532,2096.1372340425532,CROSSED_2
26763,115876.0,VENKEYS,20210621,2606.6,2973.3,2599.9,2886.9,679458.0,1919934594.2,57510.0,UP,8.37,2675.692857142857,2566.754761904762,2112.6114583333333,2112.6114583333333,CROSSED_2
27203,122101.0,VENKEYS,20210622,2991.2,3464.25,2991.0,3420.3,2452599.0,7923272282.15,206605.0,UP,18.48,2730.682142857143,2622.7,2139.2989795918365,2139.2989795918365,CROSSED_2
27751,127803.0,VENKEYS,20210623,3459.95,3955.0,3375.0,3668.8,5777218.0,21546274890.25,463667.0,UP,7.27,2799.589285714286,2687.940476190476,2169.889,2169.889,CROSSED_2
28204,133105.0,VENKEYS,20210624,3549.95,3783.75,3495.05,3548.2,1155668.0,4218093068.45,103935.0,DOWN,-3.29,2861.8178571428575,2748.0761904761903,2210.0069999999996,2196.914705882353,CROSSED_2
28259,139385.0,VENKEYS,20210625,3545.0,3645.85,3382.65,3425.55,550471.0,1924970371.3,47548.0,DOWN,-3.46,2912.8892857142855,2802.1833333333334,2247.14,2220.5423076923075,CROSSED_2
28869,156156.0,VENKEYS,20210628,3444.0,3530.4,3380.0,3408.75,206793.0,715939618.8,24848.0,DOWN,-0.49,2961.903571428571,2852.15,2284.444,2242.961320754717,CROSSED_2
29426,161904.0,VENKEYS,20210629,3428.05,3720.0,3352.8,3599.45,699518.0,2515220814.5,76772.0,UP,5.59,3029.5178571428573,2910.9928571428572,2325.314,2268.081481481481,CROSSED_2
29776,167129.0,VENKEYS,20210630,3629.1,3746.0,3571.0,3585.5,379439.0,1387669312.55,40834.0,DOWN,-0.39,3096.160714285714,2957.9166666666665,2366.658,2292.0345454545454,CROSSED_2
30410,3307.0,VENKEYS,20210701,3610.0,3719.0,3566.0,3638.7,298096.0,1088624077.1,31425.0,UP,1.48,3168.964285714286,3004.9761904761904,2408.9680000000003,2316.082142857143,CROSSED_2
30506,9040.0,VENKEYS,20210702,3653.4,3663.65,3560.0,3580.25,140905.0,508922707.35,15214.0,DOWN,-1.61,3241.1357142857146,3046.697619047619,2450.058,2338.26052631579,CROSSED_2
31009,26746.0,VENKEYS,20210705,3601.75,3645.0,3520.0,3541.35,179671.0,644720020.9,18058.0,DOWN,-1.09,3302.3214285714284,3087.8571428571427,2490.315,2359.0034482758624,CROSSED_2
31833,32003.0,VENKEYS,20210706,3544.0,3592.0,3425.35,3447.0,120865.0,424710161.45,13050.0,DOWN,-2.66,3359.003571428571,3122.92619047619,2528.7369999999996,2377.4440677966104,CROSSED_2
32266,38251.0,VENKEYS,20210707,3459.9,3495.0,3400.1,3436.05,101432.0,349186673.85,11134.0,DOWN,-0.32,3417.914285714286,3156.902380952381,2566.9320000000002,2395.0875,CROSSED_2
32624,44975.0,VENKEYS,20210708,3453.0,3544.0,3420.0,3442.25,142110.0,493861656.5,16173.0,UP,0.18,3473.503571428572,3194.4928571428572,2604.736,2412.254098360656,CROSSED_2
32998,51164.0,VENKEYS,20210709,3434.0,3439.9,3375.0,3386.6,76216.0,259883041.75,8923.0,DOWN,-1.62,3509.1964285714284,3229.45,2641.009,2427.96935483871,CROSSED_2
33343,67943.0,VENKEYS,20210712,3399.0,3533.0,3395.0,3466.85,104273.0,361771685.4,11862.0,UP,2.37,3512.5214285714283,3269.8023809523806,2679.215,2444.459523809524,CROSSED_2
34094,73679.0,VENKEYS,20210713,3495.0,3628.0,3490.0,3507.4,264468.0,941756847.6,27494.0,UP,1.17,3500.9928571428572,3314.4476190476194,2718.031,2461.06796875,CROSSED_2
