,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
52469,81372.0,VIJAYA,20210914,540.0,648.0,532.5,620.1,22194857.0,13036701164.85,418379.0,-,0,620.1,620.1,620.1,620.1,0
52963,86144.0,VIJAYA,20210915,618.5,658.0,591.2,640.5,7226253.0,4601486190.45,188556.0,UP,3.29,630.3,630.3,630.3,630.3,0
53684,97622.0,VIJAYA,20210917,644.05,649.3,592.5,627.0,1823087.0,1130473371.85,70186.0,DOWN,-2.11,629.1999999999999,629.1999999999999,629.1999999999999,629.1999999999999,0
53972,112978.0,VIJAYA,20210920,613.5,617.8,575.55,584.5,873363.0,523750256.35,36698.0,DOWN,-6.78,618.025,618.025,618.025,618.025,0
54446,118270.0,VIJAYA,20210921,583.5,594.1,535.1,575.4,1333438.0,750723013.1,46040.0,DOWN,-1.56,609.5,609.5,609.5,609.5,0
55042,124506.0,VIJAYA,20210922,580.0,614.9,574.3,578.7,1007133.0,597071676.2,48851.0,UP,0.57,604.3666666666667,604.3666666666667,604.3666666666667,604.3666666666667,0
55349,130237.0,VIJAYA,20210923,586.0,600.0,577.0,579.35,480924.0,280616574.35,20843.0,UP,0.11,600.7928571428572,600.7928571428572,600.7928571428572,600.7928571428572,0
55824,136006.0,VIJAYA,20210924,585.0,591.0,568.5,579.75,378162.0,218662359.65,19367.0,UP,0.07,598.1625,598.1625,598.1625,598.1625,0
56086,152328.0,VIJAYA,20210927,581.1,585.7,573.4,578.3,428695.0,249199575.1,23981.0,DOWN,-0.25,595.9555555555556,595.9555555555556,595.9555555555556,595.9555555555556,0
56931,158552.0,VIJAYA,20210928,575.0,580.9,570.3,578.15,503432.0,289462755.95,17487.0,DOWN,-0.03,594.175,594.175,594.175,594.175,0
57414,164313.0,VIJAYA,20210929,575.0,575.0,550.55,565.55,262342.0,149159268.8,15313.0,DOWN,-2.18,591.5727272727273,591.5727272727273,591.5727272727273,591.5727272727273,0
57630,170027.0,VIJAYA,20210930,562.5,571.85,562.5,569.95,170329.0,97070409.1,7120.0,UP,0.78,589.7708333333334,589.7708333333334,589.7708333333334,589.7708333333334,0
58265,5711.0,VIJAYA,20211001,562.2,572.0,550.0,551.3,292272.0,163985896.55,12944.0,DOWN,-3.27,586.8115384615385,586.8115384615385,586.8115384615385,586.8115384615385,0
58513,23898.0,VIJAYA,20211004,552.05,561.15,547.7,551.6,202460.0,112651160.0,11641.0,UP,0.05,584.2964285714286,584.2964285714286,584.2964285714286,584.2964285714286,0
58887,28674.0,VIJAYA,20211005,551.65,585.35,551.65,580.7,498976.0,287430620.4,17967.0,UP,5.28,581.4821428571429,584.0566666666667,584.0566666666667,584.0566666666667,WILL_CROSS_1
59355,34430.0,VIJAYA,20211006,576.1,580.65,576.1,579.35,142636.0,82584820.2,10264.0,DOWN,-0.23,577.1142857142856,583.7625,583.7625,583.7625,WILL_CROSS_1
59957,41141.0,VIJAYA,20211007,578.0,581.65,568.6,572.8,90526.0,52081272.95,10976.0,DOWN,-1.13,573.2428571428571,583.1176470588235,583.1176470588235,583.1176470588235,WILL_CROSS_1
60735,47870.0,VIJAYA,20211008,568.0,586.8,566.15,581.5,542408.0,310690359.3,11453.0,UP,1.52,573.0285714285714,583.0277777777778,583.0277777777778,583.0277777777778,WILL_CROSS_1
61068,65093.0,VIJAYA,20211011,581.0,585.85,564.0,567.4,137082.0,78383622.8,7002.0,DOWN,-2.42,572.4571428571428,582.2052631578947,582.2052631578947,582.2052631578947,WILL_CROSS_1
61415,70349.0,VIJAYA,20211012,561.25,573.4,561.25,564.7,96581.0,54638326.5,5289.0,DOWN,-0.48,571.4571428571429,581.33,581.33,581.33,WILL_CROSS_1
62020,75643.0,VIJAYA,20211013,563.0,569.9,542.0,559.75,235075.0,132688150.5,15695.0,DOWN,-0.88,570.0571428571428,580.302380952381,580.302380952381,580.302380952381,WILL_CROSS_1
62559,80900.0,VIJAYA,20211014,560.0,565.65,560.0,562.4,1003444.0,564015552.2,16298.0,UP,0.47,568.8178571428572,577.5547619047619,579.4886363636364,579.4886363636364,WILL_CROSS_1
62882,102909.0,VIJAYA,20211018,565.0,575.7,565.0,574.95,534218.0,305190816.7,11794.0,UP,2.23,568.5785714285714,574.4333333333334,579.2913043478261,579.2913043478261,WILL_CROSS_1
63340,107244.0,VIJAYA,20211019,574.95,574.95,558.05,561.25,155138.0,87764734.45,12375.0,DOWN,-2.38,567.3714285714285,571.302380952381,578.5395833333333,578.5395833333333,WILL_CROSS_1
63727,112512.0,VIJAYA,20211020,560.0,630.0,548.65,584.4,973120.0,561070308.9,38340.0,UP,4.12,568.7178571428572,571.297619047619,578.774,578.774,WILL_CROSS_1
64256,117804.0,VIJAYA,20211021,584.4,587.0,571.0,572.35,432567.0,248505940.5,8735.0,DOWN,-2.06,568.8892857142857,571.152380952381,578.5269230769231,578.5269230769231,WILL_CROSS_1
64726,124040.0,VIJAYA,20211022,573.95,579.5,571.0,573.9,91127.0,52264564.65,5504.0,UP,0.27,570.5035714285715,570.9238095238095,578.3555555555556,578.3555555555556,WILL_CROSS_1
64993,141793.0,VIJAYA,20211025,580.45,600.0,561.0,569.0,218191.0,124773465.4,17546.0,DOWN,-0.85,571.7464285714286,570.4309523809525,578.0214285714286,578.0214285714286,WILL_CROSS_1
65680,146581.0,VIJAYA,20211026,568.5,574.9,553.65,569.1,452600.0,255908508.6,15338.0,UP,0.02,570.9178571428571,569.9238095238096,577.7137931034483,577.7137931034483,WILL_CROSS_1
66213,151861.0,VIJAYA,20211027,563.0,577.0,560.0,568.55,75036.0,42669628.7,5703.0,DOWN,-0.1,570.1464285714286,569.4595238095238,577.4083333333333,577.4083333333333,WILL_CROSS_1
66418,158085.0,VIJAYA,20211028,566.7,575.0,561.15,569.25,293756.0,167285125.65,6273.0,UP,0.12,569.8928571428571,569.0357142857143,577.1451612903226,577.1451612903226,WILL_CROSS_1
67305,163846.0,VIJAYA,20211029,562.15,568.95,550.0,564.5,205433.0,115703806.05,6407.0,DOWN,-0.83,568.6785714285714,568.9857142857143,576.75,576.75,WILL_CROSS_1
67658,5244.0,VIJAYA,20211101,560.0,572.35,560.0,569.55,120429.0,68345875.65,11380.0,UP,0.89,568.8321428571429,568.9666666666666,576.5318181818182,576.5318181818182,WILL_CROSS_1
67817,11462.0,VIJAYA,20211102,565.6,574.0,561.25,569.1,84285.0,47817306.85,6056.0,DOWN,-0.08,569.1464285714285,569.8142857142857,576.3132352941177,576.3132352941177,WILL_CROSS_1
68694,17216.0,VIJAYA,20211103,563.1,568.75,562.15,564.9,36302.0,20510113.5,3390.0,DOWN,-0.74,569.5142857142857,570.447619047619,575.9871428571429,575.9871428571429,WILL_CROSS_1
68766,23431.0,VIJAYA,20211104,537.1,574.0,537.1,559.75,19974.0,11225722.65,1255.0,DOWN,-0.91,569.325,569.4499999999999,575.536111111111,575.536111111111,WILL_CROSS_1
69279,47403.0,VIJAYA,20211108,560.6,582.45,560.6,564.5,216811.0,123645112.65,7346.0,UP,0.85,568.5785714285714,568.742857142857,575.2378378378378,575.2378378378378,WILL_CROSS_1
