,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
4940,65561.0,VMART,20210412,2790.0,2825.0,2690.0,2762.15,15707.0,43244048.85,3410.0,-,0,2762.15,2762.15,2762.15,2762.15,0
5515,71317.0,VMART,20210413,2776.0,2789.55,2750.0,2776.75,6142.0,17035236.6,1648.0,UP,0.53,2769.45,2769.45,2769.45,2769.45,0
5980,81840.0,VMART,20210415,2820.0,3084.0,2752.8,2926.25,55805.0,161211296.45,8738.0,UP,5.38,2821.7166666666667,2821.7166666666667,2821.7166666666667,2821.7166666666667,0
6444,86612.0,VMART,20210416,2901.0,2931.15,2800.0,2814.3,32871.0,94543710.4,8820.0,DOWN,-3.83,2819.8625,2819.8625,2819.8625,2819.8625,0
6910,103378.0,VMART,20210419,2819.9,2819.9,2601.4,2659.05,18127.0,48819995.05,4421.0,DOWN,-5.52,2787.7,2787.7,2787.7,2787.7,0
7080,107713.0,VMART,20210420,2669.0,2688.7,2611.55,2631.8,15868.0,42269106.5,2963.0,DOWN,-1.02,2761.7166666666667,2761.7166666666667,2761.7166666666667,2761.7166666666667,0
7655,118739.0,VMART,20210422,2608.5,2631.75,2493.0,2590.1,69424.0,175208276.55,5681.0,DOWN,-1.58,2737.2000000000003,2737.2000000000003,2737.2000000000003,2737.2000000000003,0
8255,124975.0,VMART,20210423,2565.05,2642.1,2550.0,2560.95,14881.0,38499176.3,2726.0,DOWN,-1.13,2715.16875,2715.16875,2715.16875,2715.16875,0
8771,142262.0,VMART,20210426,2573.8,2644.85,2564.9,2616.8,8203.0,21411592.15,1740.0,UP,2.18,2704.238888888889,2704.238888888889,2704.238888888889,2704.238888888889,0
9031,147052.0,VMART,20210427,2621.0,2657.15,2611.0,2630.4,5380.0,14189770.75,1211.0,UP,0.52,2696.855,2696.855,2696.855,2696.855,0
9683,152799.0,VMART,20210428,2644.2,2673.55,2630.9,2645.7,6779.0,17951444.65,1633.0,UP,0.58,2692.2045454545455,2692.2045454545455,2692.2045454545455,2692.2045454545455,0
9738,159023.0,VMART,20210429,2659.6,2792.15,2629.55,2704.2,20795.0,55689738.8,4079.0,UP,2.21,2693.204166666667,2693.204166666667,2693.204166666667,2693.204166666667,0
10614,164784.0,VMART,20210430,2704.2,2709.4,2642.65,2652.6,9742.0,25943419.0,1942.0,DOWN,-1.91,2690.0807692307694,2690.0807692307694,2690.0807692307694,2690.0807692307694,0
10760,16748.0,VMART,20210503,2652.0,2750.0,2628.55,2721.85,8874.0,23942125.1,2257.0,UP,2.61,2692.35,2692.35,2692.35,2692.35,0
11407,22468.0,VMART,20210504,2730.0,2767.0,2711.0,2730.15,7498.0,20573087.4,1834.0,UP,0.3,2690.0642857142857,2694.8700000000003,2694.8700000000003,2694.8700000000003,WILL_CROSS_1
12037,27716.0,VMART,20210505,2735.0,2743.85,2690.0,2696.7,4572.0,12353033.15,2017.0,DOWN,-1.23,2684.3464285714285,2694.984375,2694.984375,2694.984375,WILL_CROSS_1
12255,33472.0,VMART,20210506,2696.7,2705.05,2668.7,2681.95,7497.0,20119102.5,1752.0,DOWN,-0.55,2666.8964285714283,2694.2176470588233,2694.2176470588233,2694.2176470588233,WILL_CROSS_1
12827,40678.0,VMART,20210507,2700.0,2760.0,2680.0,2724.4,12947.0,35278347.3,4844.0,UP,1.58,2660.475,2695.894444444444,2695.894444444444,2695.894444444444,WILL_CROSS_1
13251,58855.0,VMART,20210510,2700.2,2789.9,2681.0,2708.0,17905.0,48903261.6,4985.0,DOWN,-0.6,2663.9714285714285,2696.5315789473684,2696.5315789473684,2696.5315789473684,WILL_CROSS_1
13835,64154.0,VMART,20210511,2721.55,2749.9,2682.0,2707.7,8747.0,23672344.2,2455.0,DOWN,-0.01,2669.3928571428573,2697.09,2697.09,2697.09,WILL_CROSS_1
14374,68913.0,VMART,20210512,2692.0,2745.0,2660.0,2676.25,14844.0,39883972.65,3314.0,DOWN,-1.16,2675.546428571429,2696.097619047619,2696.097619047619,2696.097619047619,WILL_CROSS_1
14850,80434.0,VMART,20210514,2652.05,2702.65,2561.35,2588.35,34111.0,89465549.25,11409.0,DOWN,-3.28,2677.503571428572,2687.8214285714284,2691.2000000000003,2691.2000000000003,WILL_CROSS_1
15153,96187.0,VMART,20210517,2590.0,2624.25,2563.55,2598.75,14943.0,38758331.9,4426.0,UP,0.4,2676.214285714286,2679.345238095238,2687.1804347826087,2687.1804347826087,WILL_CROSS_1
15774,101467.0,VMART,20210518,2600.15,2623.5,2555.55,2610.95,134823.0,347297352.75,5619.0,UP,0.47,2674.825,2664.330952380952,2684.0041666666666,2684.0041666666666,WILL_CROSS_1
16157,106279.0,VMART,20210519,2611.0,2720.25,2611.0,2654.1,30437.0,80993826.6,8024.0,UP,1.65,2675.4249999999997,2656.7023809523807,2682.808,2682.808,WILL_CROSS_1
16308,111547.0,VMART,20210520,2670.0,2725.0,2670.0,2705.85,13030.0,35130552.45,2313.0,UP,1.95,2675.5428571428574,2658.9309523809525,2683.6942307692307,2683.6942307692307,WILL_CROSS_1
16723,117338.0,VMART,20210521,2719.4,2730.0,2675.0,2705.45,11139.0,30130299.5,2708.0,DOWN,-0.01,2679.317857142857,2662.4380952380952,2684.5,2684.5,WILL_CROSS_1
17308,134566.0,VMART,20210524,2719.0,2836.65,2676.05,2806.65,31498.0,86558866.55,5741.0,UP,3.74,2685.375,2672.75,2688.8624999999997,2688.8624999999997,WILL_CROSS_1
