,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
4917,65563.0,VTL,20210412,1250.05,1250.65,1183.0,1199.6,41193.0,49847942.6,5542.0,-,0,1199.6,1199.6,1199.6,1199.6,0
5513,71319.0,VTL,20210413,1205.6,1225.95,1180.1,1187.05,43993.0,52840707.5,2390.0,DOWN,-1.05,1193.3249999999998,1193.3249999999998,1193.3249999999998,1193.3249999999998,0
5982,81842.0,VTL,20210415,1189.95,1236.0,1160.0,1189.1,41200.0,49619439.4,2925.0,UP,0.17,1191.9166666666667,1191.9166666666667,1191.9166666666667,1191.9166666666667,0
6446,86614.0,VTL,20210416,1195.05,1210.7,1176.25,1188.55,43730.0,52128902.35,4429.0,DOWN,-0.05,1191.0749999999998,1191.0749999999998,1191.0749999999998,1191.0749999999998,0
6912,103380.0,VTL,20210419,1177.7,1188.85,1153.9,1169.2,29574.0,34580446.5,7002.0,DOWN,-1.63,1186.7,1186.7,1186.7,1186.7,0
7082,107715.0,VTL,20210420,1175.05,1190.0,1150.0,1159.05,19248.0,22521292.25,2803.0,DOWN,-0.87,1182.0916666666665,1182.0916666666665,1182.0916666666665,1182.0916666666665,0
7653,118741.0,VTL,20210422,1164.8,1178.8,1150.0,1151.7,62304.0,72802290.0,1151.0,DOWN,-0.63,1177.75,1177.75,1177.75,1177.75,0
8253,124977.0,VTL,20210423,1157.45,1167.6,1120.0,1124.15,21131.0,23967364.85,2076.0,DOWN,-2.39,1171.05,1171.05,1171.05,1171.05,0
8769,142264.0,VTL,20210426,1129.8,1210.0,1126.7,1195.75,53748.0,63073710.45,5553.0,UP,6.37,1173.7944444444445,1173.7944444444445,1173.7944444444445,1173.7944444444445,0
9033,147054.0,VTL,20210427,1234.0,1248.8,1190.0,1221.3,40923.0,50285320.65,5106.0,UP,2.14,1178.545,1178.545,1178.545,1178.545,0
9681,152801.0,VTL,20210428,1225.0,1225.0,1175.0,1184.0,25205.0,30041378.8,3458.0,DOWN,-3.05,1179.040909090909,1179.040909090909,1179.040909090909,1179.040909090909,0
9740,159025.0,VTL,20210429,1206.0,1206.0,1166.0,1170.85,11602.0,13757376.1,1325.0,DOWN,-1.11,1178.3583333333333,1178.3583333333333,1178.3583333333333,1178.3583333333333,0
10612,164786.0,VTL,20210430,1155.0,1191.4,1150.0,1171.9,37845.0,44418838.05,4828.0,UP,0.09,1177.8615384615384,1177.8615384615384,1177.8615384615384,1177.8615384615384,0
10762,16750.0,VTL,20210503,1157.0,1240.0,1157.0,1189.85,76080.0,91782479.25,5689.0,UP,1.53,1178.7178571428572,1178.7178571428572,1178.7178571428572,1178.7178571428572,0
