,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
4950,65565.0,WELSPUNIND,20210412,81.0,82.6,76.9,77.75,2460342.0,194799538.7,18753.0,-,0,77.75,77.75,77.75,77.75,0
5511,71321.0,WELSPUNIND,20210413,78.25,80.95,77.25,77.55,1153840.0,90660157.5,8540.0,DOWN,-0.26,77.65,77.65,77.65,77.65,0
5984,81844.0,WELSPUNIND,20210415,78.5,79.5,75.55,77.65,1158909.0,89697392.75,8706.0,UP,0.13,77.64999999999999,77.64999999999999,77.64999999999999,77.64999999999999,0
6448,86616.0,WELSPUNIND,20210416,77.8,82.0,77.7,81.2,1879724.0,150549370.35,13212.0,UP,4.57,78.5375,78.5375,78.5375,78.5375,0
6914,103382.0,WELSPUNIND,20210419,79.5,80.0,76.0,77.1,1627251.0,125458328.75,10555.0,DOWN,-5.05,78.25,78.25,78.25,78.25,0
7084,107717.0,WELSPUNIND,20210420,79.9,79.9,76.0,76.9,2055247.0,161063421.65,15462.0,DOWN,-0.26,78.02499999999999,78.02499999999999,78.02499999999999,78.02499999999999,0
7651,118743.0,WELSPUNIND,20210422,77.25,80.6,77.25,78.8,1282715.0,101256852.9,11239.0,UP,2.47,78.13571428571429,78.13571428571429,78.13571428571429,78.13571428571429,0
8251,124979.0,WELSPUNIND,20210423,79.0,80.25,77.9,78.5,963552.0,75961335.7,8513.0,DOWN,-0.38,78.18125,78.18125,78.18125,78.18125,0
8767,142266.0,WELSPUNIND,20210426,79.05,80.9,78.5,79.35,894825.0,71118514.3,8991.0,UP,1.08,78.3111111111111,78.3111111111111,78.3111111111111,78.3111111111111,0
9035,147056.0,WELSPUNIND,20210427,78.9,80.75,78.9,79.75,532791.0,42708838.85,5293.0,UP,0.5,78.455,78.455,78.455,78.455,0
9679,152803.0,WELSPUNIND,20210428,81.25,84.5,81.0,82.35,2150522.0,178480334.05,15724.0,UP,3.26,78.80909090909091,78.80909090909091,78.80909090909091,78.80909090909091,0
9742,159027.0,WELSPUNIND,20210429,83.7,83.8,81.1,81.95,831953.0,68394799.85,8867.0,DOWN,-0.49,79.07083333333334,79.07083333333334,79.07083333333334,79.07083333333334,0
10610,164788.0,WELSPUNIND,20210430,81.0,81.75,79.05,79.5,1293844.0,103764454.75,11145.0,DOWN,-2.99,79.10384615384615,79.10384615384615,79.10384615384615,79.10384615384615,0
10764,16752.0,WELSPUNIND,20210503,79.6,82.4,79.45,81.95,1449070.0,118064018.0,12128.0,UP,3.08,79.30714285714285,79.30714285714285,79.30714285714285,79.30714285714285,0
11411,22472.0,WELSPUNIND,20210504,82.7,85.0,81.75,82.35,2107135.0,175549108.45,15341.0,UP,0.49,79.63571428571429,79.51,79.51,79.51,CROSSED_2
12041,27720.0,WELSPUNIND,20210505,83.7,84.5,82.4,82.95,707791.0,58987736.25,7062.0,UP,0.73,80.02142857142857,79.725,79.725,79.725,CROSSED_2
12251,33476.0,WELSPUNIND,20210506,83.9,86.15,82.7,84.2,2042135.0,172263859.75,13795.0,UP,1.51,80.48928571428571,79.98823529411764,79.98823529411764,79.98823529411764,CROSSED_2
12831,40682.0,WELSPUNIND,20210507,84.6,95.0,84.2,93.55,13851520.0,1254367244.0,64300.0,UP,11.1,81.37142857142855,80.74166666666666,80.74166666666666,80.74166666666666,CROSSED_2
13247,58859.0,WELSPUNIND,20210510,97.6,100.0,95.15,96.45,5991051.0,583580050.85,34335.0,UP,3.1,82.75357142857142,81.56842105263158,81.56842105263158,81.56842105263158,CROSSED_2
13831,64158.0,WELSPUNIND,20210511,95.95,97.95,91.5,93.6,2679553.0,255228591.35,18448.0,DOWN,-2.95,83.94642857142857,82.17,82.17,82.17,CROSSED_2
14378,68917.0,WELSPUNIND,20210512,93.65,95.95,88.7,91.25,2550540.0,235010553.85,16688.0,DOWN,-2.51,84.83571428571429,82.60238095238095,82.60238095238095,82.60238095238095,CROSSED_2
14846,80438.0,WELSPUNIND,20210514,93.7,104.4,91.0,101.35,37469729.0,3738726197.45,179970.0,UP,11.07,86.46785714285714,83.72619047619048,83.45454545454545,83.45454545454545,CROSSED_2
15149,96191.0,WELSPUNIND,20210517,104.0,104.0,96.45,98.05,8973183.0,888604180.2,75816.0,DOWN,-3.26,87.80357142857143,84.70238095238095,84.0891304347826,84.0891304347826,CROSSED_2
15778,101471.0,WELSPUNIND,20210518,99.0,100.45,97.05,97.25,4052115.0,398186805.15,47333.0,DOWN,-0.82,89.05357142857143,85.63571428571429,84.6375,84.6375,CROSSED_2
16153,106283.0,WELSPUNIND,20210519,97.45,98.0,95.6,95.8,2109331.0,202872941.45,36671.0,DOWN,-1.49,90.0142857142857,86.33095238095237,85.084,85.084,CROSSED_2
16312,111551.0,WELSPUNIND,20210520,96.2,97.5,95.35,96.0,2066871.0,198812620.0,35767.0,UP,0.21,91.01785714285714,87.23095238095237,85.50384615384615,85.50384615384615,CROSSED_2
16727,117342.0,WELSPUNIND,20210521,96.95,100.3,95.8,98.65,5636201.0,554727296.45,54444.0,UP,2.76,92.38571428571429,88.26666666666667,85.99074074074075,85.99074074074075,CROSSED_2
17312,134570.0,WELSPUNIND,20210524,98.0,98.4,96.1,96.6,1676271.0,162338806.25,34596.0,DOWN,-2.08,93.43214285714285,89.11428571428571,86.36964285714285,86.36964285714285,CROSSED_2
18011,140351.0,WELSPUNIND,20210525,96.05,96.95,91.8,92.35,2582636.0,243123996.85,38407.0,DOWN,-4.4,94.14642857142857,89.77380952380952,86.5758620689655,86.5758620689655,CROSSED_2
18580,145139.0,WELSPUNIND,20210526,93.0,94.4,92.25,93.05,1850135.0,172545947.55,37037.0,UP,0.76,94.86785714285715,90.42619047619048,86.79166666666667,86.79166666666667,CROSSED_2
18705,150898.0,WELSPUNIND,20210527,92.5,95.75,89.1,90.6,3233409.0,299038988.05,42590.0,DOWN,-2.63,95.325,90.94285714285714,86.91451612903225,86.91451612903225,CROSSED_2
19182,157621.0,WELSPUNIND,20210528,91.0,92.75,89.3,90.25,2091646.0,190136490.55,39866.0,DOWN,-0.39,95.08928571428571,91.31904761904761,87.01875,87.01875,CROSSED_2
19607,172885.0,WELSPUNIND,20210531,90.5,91.2,88.65,88.95,1561103.0,139544087.75,34777.0,DOWN,-1.44,94.55357142857143,91.65238095238095,87.07727272727273,87.07727272727273,CROSSED_2
20334,4281.0,WELSPUNIND,20210601,89.0,90.25,86.0,87.3,1969392.0,172037378.5,26615.0,DOWN,-1.85,94.10357142857141,92.02380952380952,87.08382352941176,87.08382352941176,CROSSED_2
20908,9515.0,WELSPUNIND,20210602,87.3,95.0,87.3,94.3,6615198.0,608704795.55,57450.0,UP,8.02,94.32142857142856,92.61190476190475,87.29,87.29,CROSSED_2
21168,15297.0,WELSPUNIND,20210603,95.5,95.9,92.65,94.1,3582215.0,338380133.9,49391.0,DOWN,-0.21,93.80357142857143,93.17142857142856,87.47916666666667,87.47916666666667,CROSSED_2
21562,21516.0,WELSPUNIND,20210604,93.55,94.6,91.8,92.35,1799454.0,167361268.9,33819.0,DOWN,-1.86,93.39642857142857,93.61904761904762,87.6108108108108,87.6108108108108,CROSSED_2
22317,39225.0,WELSPUNIND,20210607,92.9,95.05,91.25,92.6,2239861.0,207753941.3,25104.0,UP,0.27,93.06428571428572,94.01904761904763,87.7421052631579,87.7421052631579,CROSSED_2
22668,45949.0,WELSPUNIND,20210608,93.0,94.3,92.15,92.4,2132894.0,198271654.3,25614.0,DOWN,-0.22,92.82142857142857,93.96428571428571,87.86153846153846,87.86153846153846,CROSSED_2
23237,51626.0,WELSPUNIND,20210609,93.4,95.6,91.65,92.05,3849384.0,361890298.65,22121.0,DOWN,-0.38,92.53928571428571,93.7547619047619,87.96625,87.96625,CROSSED_2
23638,57402.0,WELSPUNIND,20210610,92.85,95.3,92.8,94.9,2835795.0,266927576.9,16784.0,UP,3.1,92.27142857142857,93.81666666666666,88.13536585365854,88.13536585365854,CROSSED_2
24061,63200.0,WELSPUNIND,20210611,95.2,97.1,94.5,95.6,5504554.0,528207352.6,28825.0,UP,0.74,92.2,94.02380952380952,88.31309523809524,88.31309523809524,CROSSED_2
24597,78980.0,WELSPUNIND,20210614,96.5,97.0,92.05,96.1,2770080.0,263013159.2,17941.0,UP,0.52,92.46785714285714,93.77380952380952,88.49418604651163,88.49418604651163,CROSSED_2
24878,84214.0,WELSPUNIND,20210615,95.9,97.25,95.1,95.4,2804746.0,269934515.1,17662.0,DOWN,-0.73,92.63571428571427,93.64761904761905,88.65113636363637,88.65113636363637,CROSSED_2
25199,89442.0,WELSPUNIND,20210616,95.5,96.6,92.3,93.0,3200178.0,302077116.85,22021.0,DOWN,-2.52,92.80714285714285,93.4452380952381,88.74777777777778,88.74777777777778,CROSSED_2
25552,94733.0,WELSPUNIND,20210617,92.0,94.8,91.5,92.55,1816727.0,169734399.2,15940.0,DOWN,-0.48,92.97142857142858,93.2904761904762,88.83043478260869,88.83043478260869,CROSSED_2
