,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
4946,65569.0,WOCKPHARMA,20210412,473.0,473.2,435.05,439.6,1097341.0,498351125.8,27400.0,-,0,439.6,439.6,439.6,439.6,0
5507,71325.0,WOCKPHARMA,20210413,443.0,453.5,438.1,446.15,573493.0,255332597.1,18453.0,UP,1.49,442.875,442.875,442.875,442.875,0
5988,81848.0,WOCKPHARMA,20210415,445.4,452.0,434.35,445.9,492433.0,218764595.3,17409.0,DOWN,-0.06,443.8833333333334,443.8833333333334,443.8833333333334,443.8833333333334,0
6452,86620.0,WOCKPHARMA,20210416,448.2,464.35,444.05,456.5,636372.0,290576365.3,17945.0,UP,2.38,447.0375,447.0375,447.0375,447.0375,0
6918,103386.0,WOCKPHARMA,20210419,456.0,468.0,443.1,457.65,921502.0,423367500.2,27994.0,UP,0.25,449.16,449.16,449.16,449.16,0
7088,107721.0,WOCKPHARMA,20210420,462.8,530.0,460.05,506.25,12676520.0,6459438408.8,258884.0,UP,10.62,458.675,458.675,458.675,458.675,0
7647,118747.0,WOCKPHARMA,20210422,512.0,547.7,508.55,518.2,7605759.0,4050539522.75,165735.0,UP,2.36,467.17857142857144,467.17857142857144,467.17857142857144,467.17857142857144,0
8247,124983.0,WOCKPHARMA,20210423,517.15,533.0,500.05,504.05,2569992.0,1320155440.35,53462.0,DOWN,-2.73,471.7875,471.7875,471.7875,471.7875,0
8763,142270.0,WOCKPHARMA,20210426,509.9,529.6,503.5,516.9,3425189.0,1778615514.85,70564.0,UP,2.55,476.79999999999995,476.79999999999995,476.79999999999995,476.79999999999995,0
9041,147060.0,WOCKPHARMA,20210427,518.9,523.0,510.1,513.65,715186.0,368947869.85,17214.0,DOWN,-0.63,480.485,480.485,480.485,480.485,0
9675,152807.0,WOCKPHARMA,20210428,516.0,526.0,507.05,510.75,1011755.0,523170645.45,22026.0,DOWN,-0.56,483.23636363636365,483.23636363636365,483.23636363636365,483.23636363636365,0
9746,159031.0,WOCKPHARMA,20210429,512.0,528.8,504.1,512.55,2021096.0,1045748593.2,45373.0,UP,0.35,485.6791666666666,485.6791666666666,485.6791666666666,485.6791666666666,0
10606,164792.0,WOCKPHARMA,20210430,505.1,532.75,505.0,514.65,2313729.0,1209080255.75,51292.0,UP,0.41,487.90769230769234,487.90769230769234,487.90769230769234,487.90769230769234,0
10768,16756.0,WOCKPHARMA,20210503,512.4,525.45,512.4,518.95,871715.0,451885072.3,20319.0,UP,0.84,490.125,490.125,490.125,490.125,0
11414,22476.0,WOCKPHARMA,20210504,522.15,540.0,513.35,516.95,2581336.0,1360659335.9,50613.0,DOWN,-0.39,495.65,491.9133333333333,491.9133333333333,491.9133333333333,CROSSED_2
12045,27724.0,WOCKPHARMA,20210505,521.0,557.4,518.0,534.35,6853772.0,3717730201.15,136599.0,UP,3.37,501.95,494.565625,494.565625,494.565625,CROSSED_2
12247,33480.0,WOCKPHARMA,20210506,540.0,602.0,534.0,587.8,10151276.0,5845058576.0,200964.0,UP,10.0,512.0857142857143,500.05,500.05,500.05,CROSSED_2
12520,40686.0,WOCKPHARMA,20210507,590.0,607.7,570.0,573.05,5152198.0,3038114664.95,104523.0,DOWN,-2.51,520.4107142857143,504.10555555555555,504.10555555555555,504.10555555555555,CROSSED_2
13243,58863.0,WOCKPHARMA,20210510,578.25,611.7,576.0,597.05,4529931.0,2723421346.4,87554.0,UP,4.19,530.3678571428571,508.99736842105267,508.99736842105267,508.99736842105267,CROSSED_2
13827,64162.0,WOCKPHARMA,20210511,591.4,631.0,585.0,621.1,3844485.0,2355101969.25,73506.0,UP,4.03,538.5714285714286,514.6025,514.6025,514.6025,CROSSED_2
14382,68921.0,WOCKPHARMA,20210512,627.0,656.0,618.05,630.85,5615989.0,3593659772.7,118930.0,UP,1.57,546.6178571428571,520.1380952380953,520.1380952380953,520.1380952380953,CROSSED_2
14842,80442.0,WOCKPHARMA,20210514,635.0,648.4,625.65,633.8,2369338.0,1510279714.65,55350.0,UP,0.47,555.8857142857142,529.3857142857144,525.3045454545455,525.3045454545455,CROSSED_2
15145,96195.0,WOCKPHARMA,20210517,639.3,662.0,627.25,639.45,3545011.0,2296173112.45,77742.0,UP,0.89,564.6392857142857,538.5904761904761,530.2673913043478,530.2673913043478,CROSSED_2
15782,101475.0,WOCKPHARMA,20210518,644.85,647.0,625.6,629.5,1205485.0,767425472.6,28945.0,DOWN,-1.56,572.9142857142857,547.3333333333334,534.4020833333333,534.4020833333333,CROSSED_2
16149,106287.0,WOCKPHARMA,20210519,629.4,691.25,625.15,678.0,8211285.0,5479706423.1,150257.0,UP,7.7,584.8607142857143,557.8809523809524,540.146,540.146,CROSSED_2
16316,111555.0,WOCKPHARMA,20210520,685.05,715.0,678.1,690.1,5955484.0,4166020372.65,124832.0,UP,1.78,597.5428571428572,568.95,545.9134615384615,545.9134615384615,CROSSED_2
16731,117346.0,WOCKPHARMA,20210521,695.95,698.6,675.1,681.8,1770770.0,1215231559.1,37827.0,DOWN,-1.2,609.4821428571429,577.3095238095239,550.9462962962963,550.9462962962963,CROSSED_2
17316,134574.0,WOCKPHARMA,20210524,685.0,702.0,679.0,689.95,1584897.0,1095940753.2,35123.0,UP,1.2,621.6964285714286,585.4880952380952,555.9107142857143,555.9107142857143,CROSSED_2
18007,140355.0,WOCKPHARMA,20210525,694.75,737.0,681.65,723.7,3261113.0,2335142795.35,66642.0,UP,4.89,636.4642857142857,595.9476190476191,561.696551724138,561.696551724138,CROSSED_2
18584,145143.0,WOCKPHARMA,20210526,736.8,804.9,732.0,786.65,8982799.0,6966601203.05,196435.0,UP,8.7,654.4857142857143,608.7928571428571,569.1949999999999,569.1949999999999,CROSSED_2
18709,150902.0,WOCKPHARMA,20210527,789.7,797.95,662.0,674.6,9451285.0,6701464749.2,249011.0,DOWN,-14.24,660.6857142857143,616.4571428571429,572.5951612903226,572.5951612903226,CROSSED_2
19178,157625.0,WOCKPHARMA,20210528,660.0,691.4,648.0,658.45,3684015.0,2473752583.6,87935.0,DOWN,-2.39,666.7857142857143,623.4904761904761,575.278125,575.278125,CROSSED_2
19611,172889.0,WOCKPHARMA,20210531,660.0,675.0,640.0,650.5,1353533.0,895784757.7,34652.0,DOWN,-1.21,670.6035714285715,630.0595238095239,577.5575757575758,577.5575757575758,CROSSED_2
20338,4285.0,WOCKPHARMA,20210601,649.9,655.0,617.0,620.65,2256663.0,1426141793.05,57478.0,DOWN,-4.59,670.5714285714286,635.1071428571429,578.8249999999999,578.8249999999999,CROSSED_2
20912,9519.0,WOCKPHARMA,20210602,624.6,653.0,622.25,647.55,1857642.0,1190417618.4,45522.0,UP,4.33,671.7642857142856,641.2309523809524,580.7885714285713,580.7885714285713,CROSSED_2
21172,15301.0,WOCKPHARMA,20210603,654.5,664.8,638.45,654.45,1266104.0,828592184.3,30216.0,UP,1.07,673.2392857142858,647.7785714285714,582.8347222222222,582.8347222222222,CROSSED_2
21566,21520.0,WOCKPHARMA,20210604,659.4,666.0,650.05,655.1,864463.0,569004902.6,20943.0,UP,0.1,674.3571428571429,653.5285714285715,584.7878378378379,584.7878378378379,CROSSED_2
22321,39229.0,WOCKPHARMA,20210607,660.75,660.75,650.05,652.2,529848.0,346719304.65,12670.0,DOWN,-0.44,675.9785714285714,656.5952380952381,586.5618421052632,586.5618421052632,CROSSED_2
22664,45953.0,WOCKPHARMA,20210608,654.95,656.55,640.25,651.3,785520.0,510161364.6,17966.0,DOWN,-0.14,674.0714285714286,660.3214285714286,588.2217948717949,588.2217948717949,CROSSED_2
23241,51630.0,WOCKPHARMA,20210609,653.7,677.0,648.5,656.8,1537228.0,1019916413.0,33358.0,UP,0.84,671.6928571428572,663.1666666666666,589.93625,589.93625,CROSSED_2
23642,57406.0,WOCKPHARMA,20210610,664.9,669.55,656.0,663.4,557398.0,369728217.2,13765.0,UP,1.0,670.3785714285714,665.1809523809525,591.7280487804878,591.7280487804878,CROSSED_2
24065,63204.0,WOCKPHARMA,20210611,667.95,669.0,652.8,659.4,557909.0,368649401.55,13690.0,DOWN,-0.6,668.1964285714286,666.5404761904762,593.3392857142857,593.3392857142857,CROSSED_2
24601,78984.0,WOCKPHARMA,20210614,656.9,656.9,631.85,646.55,487059.0,314221480.8,12563.0,DOWN,-1.95,662.6857142857143,667.147619047619,594.5767441860465,594.5767441860465,CROSSED_2
24882,84218.0,WOCKPHARMA,20210615,647.0,658.7,640.0,642.1,382739.0,247769110.0,9915.0,DOWN,-0.69,652.3607142857144,667.2738095238095,595.6568181818183,595.6568181818183,CROSSED_2
25203,89446.0,WOCKPHARMA,20210616,645.5,648.6,626.0,628.05,398748.0,253322229.9,12120.0,DOWN,-2.19,649.0357142857143,667.204761904762,596.3766666666667,596.3766666666667,CROSSED_2
25556,94737.0,WOCKPHARMA,20210617,625.5,635.45,608.65,614.45,448705.0,278360380.1,13616.0,DOWN,-2.17,645.8928571428571,664.1785714285714,596.7695652173913,596.7695652173913,CROSSED_2
26305,101008.0,WOCKPHARMA,20210618,605.0,617.95,581.2,590.55,654712.0,388585205.1,20693.0,DOWN,-3.89,641.6107142857143,659.4380952380952,596.6372340425532,596.6372340425532,CROSSED_2
26751,115888.0,WOCKPHARMA,20210621,583.0,608.9,578.5,599.95,598296.0,358779481.75,17674.0,UP,1.59,640.1321428571429,655.5404761904762,596.7062500000001,596.7062500000001,CROSSED_2
27215,122113.0,WOCKPHARMA,20210622,605.5,613.9,595.0,596.5,355101.0,215033685.9,10114.0,DOWN,-0.58,636.4857142857144,651.0904761904761,596.7020408163265,596.7020408163265,CROSSED_2
27763,127815.0,WOCKPHARMA,20210623,604.0,608.0,558.4,561.35,2068194.0,1198805251.9,44671.0,DOWN,-5.89,629.8357142857143,643.3595238095238,595.995,595.995,CROSSED_2
28216,133117.0,WOCKPHARMA,20210624,568.9,575.0,539.2,541.85,1281604.0,715460205.15,32456.0,DOWN,-3.47,621.7464285714285,631.702380952381,598.04,594.9333333333333,CROSSED_2
28271,139397.0,WOCKPHARMA,20210625,546.0,578.5,541.1,565.6,1675144.0,942385614.7,34194.0,UP,4.38,615.5607142857143,626.5119047619048,600.429,594.3692307692307,CROSSED_2
28881,156168.0,WOCKPHARMA,20210628,565.0,568.1,533.0,538.4,2153968.0,1176881859.8,38365.0,DOWN,-4.81,607.4964285714286,620.7952380952381,602.279,593.3132075471698,CROSSED_2
29413,161916.0,WOCKPHARMA,20210629,540.0,550.1,524.5,528.65,1058287.0,567170821.35,25828.0,DOWN,-1.81,598.342857142857,614.9928571428571,603.722,592.1157407407408,0
29788,167141.0,WOCKPHARMA,20210630,531.7,545.5,516.0,518.05,2446051.0,1293282622.8,34683.0,DOWN,-2.01,587.9607142857142,610.1071428571429,604.93,590.7690909090909,WILL_CROSS_1
30422,3319.0,WOCKPHARMA,20210701,520.7,544.3,515.1,540.5,1399594.0,747934658.75,34271.0,UP,4.33,579.4678571428572,605.0095238095238,605.615,589.8714285714286,WILL_CROSS_1
30494,9052.0,WOCKPHARMA,20210702,545.5,545.5,530.0,533.45,594279.0,317960874.4,15023.0,DOWN,-1.3,571.3892857142857,599.2476190476191,605.92,588.8815789473684,WILL_CROSS_1
30997,26758.0,WOCKPHARMA,20210705,538.0,549.95,532.5,542.45,899135.0,488391715.15,19071.0,UP,1.69,564.2714285714286,593.8833333333334,606.688,588.0810344827586,WILL_CROSS_1
31845,32015.0,WOCKPHARMA,20210706,544.0,565.0,543.0,554.45,1868960.0,1038912721.35,38270.0,UP,2.21,559.0142857142857,589.2285714285714,607.439,587.5110169491526,WILL_CROSS_1
32277,38263.0,WOCKPHARMA,20210707,555.95,561.0,544.1,552.7,634627.0,350571862.55,16276.0,DOWN,-0.32,554.6035714285715,584.5333333333334,608.22,586.9308333333333,WILL_CROSS_1
32636,44987.0,WOCKPHARMA,20210708,552.7,555.75,535.7,543.35,472189.0,257699429.55,12696.0,DOWN,-1.69,551.2321428571429,579.1309523809524,608.8720000000001,586.2163934426229,WILL_CROSS_1
32986,51176.0,WOCKPHARMA,20210709,545.0,547.0,536.9,540.05,278384.0,150627794.3,7338.0,DOWN,-0.61,546.9535714285714,573.2571428571429,609.422,585.4717741935484,WILL_CROSS_1
33355,67955.0,WOCKPHARMA,20210712,545.0,549.75,538.2,543.5,301295.0,163914322.25,9260.0,UP,0.64,543.1678571428572,567.7380952380952,609.999,584.8055555555555,WILL_CROSS_1
34106,73691.0,WOCKPHARMA,20210713,546.95,555.0,542.5,546.25,433978.0,238210602.1,11693.0,UP,0.51,542.0892857142857,562.9619047619047,610.545,584.203125,WILL_CROSS_1
34558,78032.0,WOCKPHARMA,20210714,547.7,549.4,536.4,537.9,342865.0,185295507.75,8601.0,DOWN,-1.53,541.8071428571428,558.0,610.964,583.4907692307693,WILL_CROSS_1
34792,83266.0,WOCKPHARMA,20210715,540.75,545.9,531.85,534.95,369695.0,198881392.25,10977.0,DOWN,-0.55,539.6178571428571,553.5666666666666,610.976,582.755303030303,WILL_CROSS_1
35156,88993.0,WOCKPHARMA,20210716,540.0,576.15,536.3,572.7,2548571.0,1436963033.7,60270.0,UP,7.06,542.0678571428572,551.5785714285715,610.674,582.605223880597,WILL_CROSS_1
35819,105321.0,WOCKPHARMA,20210719,568.65,592.0,566.05,580.85,1314200.0,765138874.0,31705.0,UP,1.42,545.7964285714286,551.1166666666666,610.83,582.5794117647059,WILL_CROSS_1
