,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
4944,65571.0,ZEEL,20210412,201.2,201.25,176.1,181.1,24875466.0,4642818562.45,157611.0,-,0,181.1,181.1,181.1,181.1,0
5505,71327.0,ZEEL,20210413,184.85,189.25,182.1,188.05,9965317.0,1858300179.6,82129.0,UP,3.84,184.575,184.575,184.575,184.575,0
5990,81850.0,ZEEL,20210415,189.4,190.5,184.9,189.2,10404058.0,1954978382.7,59592.0,UP,0.61,186.11666666666667,186.11666666666667,186.11666666666667,186.11666666666667,0
6454,86622.0,ZEEL,20210416,189.2,196.9,189.2,193.95,7952202.0,1535853800.1,52127.0,UP,2.51,188.075,188.075,188.075,188.075,0
6920,103388.0,ZEEL,20210419,187.0,191.2,185.1,190.35,9346956.0,1759878514.1,58935.0,DOWN,-1.86,188.53,188.53,188.53,188.53,0
7090,107723.0,ZEEL,20210420,193.0,201.75,192.2,197.4,15709132.0,3097436910.7,77021.0,UP,3.7,190.00833333333333,190.00833333333333,190.00833333333333,190.00833333333333,0
7645,118749.0,ZEEL,20210422,195.5,199.8,191.7,192.3,10203121.0,1987114065.9,70603.0,DOWN,-2.58,190.33571428571426,190.33571428571426,190.33571428571426,190.33571428571426,0
8245,124985.0,ZEEL,20210423,192.0,193.0,187.0,188.0,8529439.0,1620901980.8,60790.0,DOWN,-2.24,190.04375,190.04375,190.04375,190.04375,0
8761,142272.0,ZEEL,20210426,190.6,191.1,185.1,186.4,8542755.0,1600450913.2,52374.0,DOWN,-0.85,189.63888888888889,189.63888888888889,189.63888888888889,189.63888888888889,0
9039,147062.0,ZEEL,20210427,188.0,192.95,186.8,188.15,14247767.0,2698635614.55,73673.0,UP,0.94,189.49,189.49,189.49,189.49,0
9673,152809.0,ZEEL,20210428,188.8,190.6,187.1,189.1,8429439.0,1591916706.7,44056.0,UP,0.5,189.45454545454547,189.45454545454547,189.45454545454547,189.45454545454547,0
9748,159033.0,ZEEL,20210429,190.8,191.65,186.0,186.55,9483009.0,1777471019.5,60932.0,DOWN,-1.35,189.2125,189.2125,189.2125,189.2125,0
10604,164794.0,ZEEL,20210430,185.3,190.95,183.65,185.6,11435285.0,2144439864.3,62607.0,DOWN,-0.51,188.9346153846154,188.9346153846154,188.9346153846154,188.9346153846154,0
10770,16758.0,ZEEL,20210503,184.05,184.5,181.15,183.75,6894289.0,1262115800.35,48727.0,DOWN,-1.0,188.56428571428572,188.56428571428572,188.56428571428572,188.56428571428572,0
11416,22478.0,ZEEL,20210504,185.4,187.35,180.8,182.1,6677740.0,1229364887.05,45745.0,DOWN,-0.9,188.6357142857143,188.13333333333333,188.13333333333333,188.13333333333333,CROSSED_2
12047,27726.0,ZEEL,20210505,183.65,184.85,181.0,182.95,5766913.0,1053410101.2,37879.0,UP,0.47,188.27142857142854,187.809375,187.809375,187.809375,CROSSED_2
12245,33482.0,ZEEL,20210506,184.0,184.2,179.6,182.25,7055520.0,1280961264.25,48199.0,DOWN,-0.38,187.775,187.48235294117646,187.48235294117646,187.48235294117646,CROSSED_2
12522,40688.0,ZEEL,20210507,183.95,190.75,181.4,186.25,21179867.0,3958929251.95,108167.0,UP,2.19,187.22499999999997,187.4138888888889,187.4138888888889,187.4138888888889,WILL_CROSS_1
13241,58865.0,ZEEL,20210510,187.2,193.6,186.55,189.0,13695685.0,2605599557.9,79673.0,UP,1.48,187.1285714285714,187.4973684210526,187.4973684210526,187.4973684210526,WILL_CROSS_1
13825,64164.0,ZEEL,20210511,188.0,189.8,185.05,186.85,9111997.0,1707009860.4,57669.0,DOWN,-1.14,186.375,187.465,187.465,187.465,WILL_CROSS_1
14384,68923.0,ZEEL,20210512,186.5,198.2,183.0,193.0,30610882.0,5878105476.65,160206.0,UP,3.29,186.425,187.72857142857143,187.72857142857143,187.72857142857143,WILL_CROSS_1
14840,80444.0,ZEEL,20210514,194.15,195.0,186.2,191.6,18946472.0,3625940656.75,91776.0,DOWN,-0.73,186.68214285714288,188.22857142857143,187.90454545454543,187.90454545454543,WILL_CROSS_1
15143,96197.0,ZEEL,20210517,192.2,194.0,187.15,188.2,16998275.0,3212357864.0,77585.0,DOWN,-1.77,186.81071428571428,188.23571428571427,187.91739130434783,187.91739130434783,WILL_CROSS_1
15784,101477.0,ZEEL,20210518,190.0,195.0,189.65,190.45,16370272.0,3150245282.75,80543.0,UP,1.2,186.97499999999997,188.2952380952381,188.02291666666667,188.02291666666667,WILL_CROSS_1
16147,106289.0,ZEEL,20210519,191.8,195.75,190.75,192.65,17744630.0,3431503114.6,97905.0,UP,1.16,187.22857142857143,188.23333333333332,188.208,188.208,WILL_CROSS_1
16318,111557.0,ZEEL,20210520,194.65,194.7,189.25,191.6,14928706.0,2864267577.45,74020.0,DOWN,-0.55,187.58928571428572,188.29285714285712,188.33846153846156,188.33846153846156,WILL_CROSS_1
16733,117348.0,ZEEL,20210521,196.0,199.0,190.2,190.7,36903604.0,7155356551.0,168919.0,DOWN,-0.47,187.95357142857142,187.9738095238095,188.42592592592592,188.42592592592592,WILL_CROSS_1
17318,134576.0,ZEEL,20210524,192.75,200.65,190.75,198.05,26696689.0,5245644527.2,139600.0,UP,3.85,188.97499999999997,188.24761904761903,188.76964285714286,188.76964285714286,CROSSED_2
18005,140357.0,ZEEL,20210525,200.0,204.25,198.5,201.55,25885294.0,5216723872.9,146839.0,UP,1.77,190.3642857142857,188.89285714285714,189.21034482758623,189.21034482758623,CROSSED_2
18586,145145.0,ZEEL,20210526,204.0,207.05,203.05,205.95,17320393.0,3561199468.6,97929.0,UP,2.18,192.0071428571429,189.82380952380953,189.76833333333335,189.76833333333335,CROSSED_2
18711,150904.0,ZEEL,20210527,206.45,214.45,203.7,209.75,102639504.0,21508932453.45,194812.0,UP,1.85,193.9714285714286,190.85238095238094,190.41290322580645,190.41290322580645,CROSSED_2
19176,157627.0,ZEEL,20210528,214.0,216.3,210.25,211.75,24722072.0,5280937973.7,136208.0,UP,0.95,195.79285714285717,191.9309523809524,191.0796875,191.0796875,CROSSED_2
19613,172891.0,ZEEL,20210531,212.1,214.95,208.15,209.35,15441552.0,3267038233.05,69393.0,DOWN,-1.13,197.2464285714286,193.01666666666665,191.63333333333333,191.63333333333333,CROSSED_2
20340,4287.0,ZEEL,20210601,210.5,213.7,204.55,213.2,27473056.0,5772715441.25,125475.0,UP,1.84,199.1285714285714,194.33095238095237,192.26764705882354,192.26764705882354,CROSSED_2
20914,9521.0,ZEEL,20210602,212.3,215.3,210.75,212.8,21107780.0,4493876232.9,88289.0,DOWN,-0.19,200.54285714285714,195.71428571428572,192.8542857142857,192.8542857142857,CROSSED_2
