,ID,Symbol,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,UP_DOWN,CHNAGE_%,SMA_14,SMA_21,SMA_50,SMA_200,ABT_cases
4942,65573.0,ZYDUSWELL,20210412,2120.0,2145.05,2050.0,2115.1,131462.0,277742050.6,9472.0,-,0,2115.1,2115.1,2115.1,2115.1,0
5241,71329.0,ZYDUSWELL,20210413,2120.0,2133.0,2069.95,2086.4,137917.0,290994936.25,4872.0,DOWN,-1.36,2100.75,2100.75,2100.75,2100.75,0
5992,81852.0,ZYDUSWELL,20210415,2087.3,2112.2,2032.0,2081.45,33321.0,69131753.6,3916.0,DOWN,-0.24,2094.3166666666666,2094.3166666666666,2094.3166666666666,2094.3166666666666,0
6456,86624.0,ZYDUSWELL,20210416,2092.4,2122.0,2052.0,2105.1,152256.0,319265924.5,6281.0,UP,1.14,2097.0125,2097.0125,2097.0125,2097.0125,0
6633,103390.0,ZYDUSWELL,20210419,2091.0,2129.45,2055.1,2100.0,141136.0,296366303.0,7375.0,DOWN,-0.24,2097.6099999999997,2097.6099999999997,2097.6099999999997,2097.6099999999997,0
7092,107725.0,ZYDUSWELL,20210420,2118.95,2119.45,2055.65,2076.65,52553.0,110115278.4,3128.0,DOWN,-1.11,2094.116666666667,2094.116666666667,2094.116666666667,2094.116666666667,0
7643,118751.0,ZYDUSWELL,20210422,2094.1,2105.0,2055.3,2072.1,19814.0,41254848.5,3110.0,DOWN,-0.22,2090.9714285714285,2090.9714285714285,2090.9714285714285,2090.9714285714285,0
8243,124987.0,ZYDUSWELL,20210423,2061.1,2163.8,2061.1,2138.1,151666.0,323082460.05,16837.0,UP,3.19,2096.8625,2096.8625,2096.8625,2096.8625,0
8759,142274.0,ZYDUSWELL,20210426,2299.0,2299.0,2131.6,2162.7,398597.0,877574868.5,46424.0,UP,1.15,2104.1777777777775,2104.1777777777775,2104.1777777777775,2104.1777777777775,0
9037,147064.0,ZYDUSWELL,20210427,2169.0,2203.95,2062.7,2102.8,132412.0,281790248.4,16843.0,DOWN,-2.77,2104.04,2104.04,2104.04,2104.04,0
9440,152811.0,ZYDUSWELL,20210428,2119.6,2155.7,2074.8,2123.9,94221.0,199609129.2,9480.0,UP,1.0,2105.8454545454547,2105.8454545454547,2105.8454545454547,2105.8454545454547,0
9750,159035.0,ZYDUSWELL,20210429,2135.0,2139.15,2090.0,2096.2,38076.0,80170958.25,5200.0,DOWN,-1.3,2105.0416666666665,2105.0416666666665,2105.0416666666665,2105.0416666666665,0
10602,164796.0,ZYDUSWELL,20210430,2095.0,2117.0,2083.6,2097.9,26694.0,56018519.75,3377.0,UP,0.08,2104.492307692308,2104.492307692308,2104.492307692308,2104.492307692308,0
10772,16760.0,ZYDUSWELL,20210503,2100.0,2115.0,2064.95,2072.4,26242.0,54696395.45,3361.0,DOWN,-1.22,2102.2,2102.2,2102.2,2102.2,0
11418,22480.0,ZYDUSWELL,20210504,2085.0,2099.85,2060.05,2072.35,30837.0,64361293.2,2845.0,DOWN,-0.0,2099.1464285714287,2100.21,2100.21,2100.21,WILL_CROSS_1
12049,27728.0,ZYDUSWELL,20210505,2072.35,2129.8,2068.0,2110.35,39555.0,82942625.75,3528.0,UP,1.83,2100.8571428571427,2100.84375,2100.84375,2100.84375,CROSSED_2
12243,33484.0,ZYDUSWELL,20210506,2114.1,2120.3,2073.0,2076.95,21019.0,43977392.1,3068.0,DOWN,-1.58,2100.535714285714,2099.4382352941175,2099.4382352941175,2099.4382352941175,CROSSED_2
12524,40690.0,ZYDUSWELL,20210507,2097.0,2137.9,2070.3,2118.2,93339.0,195022699.2,3027.0,UP,1.99,2101.4714285714285,2100.480555555556,2100.480555555556,2100.480555555556,CROSSED_2
13239,58867.0,ZYDUSWELL,20210510,2198.8,2220.0,2081.6,2108.85,650400.0,1410430459.65,64049.0,DOWN,-0.44,2102.1035714285713,2100.9210526315787,2100.9210526315787,2100.9210526315787,CROSSED_2
13823,64166.0,ZYDUSWELL,20210511,2110.0,2155.0,2100.05,2110.65,117713.0,250189938.45,8004.0,UP,0.09,2104.532142857143,2101.4075000000003,2101.4075000000003,2101.4075000000003,CROSSED_2
14033,68925.0,ZYDUSWELL,20210512,2125.2,2145.0,2081.0,2096.2,67821.0,143656890.7,5602.0,DOWN,-0.68,2106.2535714285714,2101.1595238095238,2101.1595238095238,2101.1595238095238,CROSSED_2
14692,80446.0,ZYDUSWELL,20210514,2112.6,2160.0,2080.1,2144.5,77995.0,165754839.1,6016.0,UP,2.3,2106.710714285714,2102.559523809524,2103.129545454545,2103.129545454545,CROSSED_2
15141,96199.0,ZYDUSWELL,20210517,2166.45,2178.4,2121.0,2131.8,50664.0,108621706.65,4837.0,DOWN,-0.59,2104.5035714285714,2104.7214285714285,2104.3760869565217,2104.3760869565217,CROSSED_2
15786,101479.0,ZYDUSWELL,20210518,2136.9,2138.8,2111.0,2123.1,39848.0,84703482.65,4106.0,DOWN,-0.41,2105.9535714285716,2106.704761904762,2105.15625,2105.15625,CROSSED_2
16145,106291.0,ZYDUSWELL,20210519,2126.9,2128.8,2091.3,2111.75,32117.0,67614586.8,4621.0,DOWN,-0.53,2105.0857142857144,2107.0214285714283,2105.42,2105.42,WILL_CROSS_1
16320,111559.0,ZYDUSWELL,20210520,2128.45,2136.7,2112.55,2122.3,86265.0,183737859.85,3717.0,UP,0.5,2106.95,2108.0833333333335,2106.0692307692307,2106.0692307692307,CROSSED_2
16735,117350.0,ZYDUSWELL,20210521,2120.0,2120.0,2105.05,2110.15,24030.0,50746733.3,2627.0,DOWN,-0.57,2107.8250000000003,2109.6785714285716,2106.2203703703703,2106.2203703703703,CROSSED_2
17320,134578.0,ZYDUSWELL,20210524,2119.0,2119.95,2086.0,2094.85,31676.0,66376327.15,3117.0,DOWN,-0.73,2109.4285714285716,2110.7619047619046,2105.8142857142857,2105.8142857142857,CROSSED_2
18003,140359.0,ZYDUSWELL,20210525,2098.0,2122.0,2090.2,2116.75,74343.0,157165088.8,2671.0,UP,1.05,2112.6,2109.7452380952377,2106.191379310345,2106.191379310345,CROSSED_2
18588,145147.0,ZYDUSWELL,20210526,2118.0,2146.45,2095.1,2113.55,38147.0,80983556.3,4284.0,DOWN,-0.15,2112.828571428571,2107.404761904762,2106.4366666666665,2106.4366666666665,CROSSED_2
18713,150906.0,ZYDUSWELL,20210527,2128.0,2129.15,2095.95,2102.35,28806.0,60880592.1,3234.0,DOWN,-0.53,2114.6428571428573,2107.383333333333,2106.3048387096774,2106.3048387096774,CROSSED_2
19174,157629.0,ZYDUSWELL,20210528,2112.0,2112.7,2092.75,2102.05,17429.0,36651222.3,2116.0,DOWN,-0.01,2113.489285714286,2106.342857142857,2106.171875,2106.171875,CROSSED_2
19615,172893.0,ZYDUSWELL,20210531,2105.35,2120.0,2090.0,2096.2,29795.0,62709572.7,3372.0,DOWN,-0.28,2112.5857142857144,2106.342857142857,2105.869696969697,2105.869696969697,CROSSED_2
20342,4289.0,ZYDUSWELL,20210601,2096.2,2100.0,2064.3,2079.3,21248.0,44291384.3,2662.0,DOWN,-0.81,2110.3464285714285,2105.4571428571426,2105.0882352941176,2105.0882352941176,CROSSED_2
